"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d004_CGA_QEA",1,"\N",1,34699,1,1
"y1_d004_CGA_QEA",1,"\N",1,35161,2,2
"y1_d004_CGA_QEA",2,"1",2,47470,1,1
"y1_d004_CGA_QEA",2,"1",2,47932,2,2
"y1_d004_CGA_QEA",3,"1",3,62452,1,1
"y1_d004_CGA_QEA",3,"1",3,62947,2,2
"y1_d004_CGA_QEA",4,"1",4,76114,1,1
"y1_d004_CGA_QEA",4,"1",4,76543,10,4
"y1_d004_CGA_QEA",4,"1",4,76741,255,16
"y1_d004_CGA_QEA",4,"1",4,77335,255,16
"y1_d004_CGA_QEA",4,"1",4,77533,1,2
"y1_d004_CGA_QEA",4,"1",4,79183,1,3
"y1_d004_CGA_QEA",4,"1",4,80041,3,2
"y1_d004_CGA_QEA",5,"1",5,108124,1,1
"y1_d004_CGA_QEA",5,"1",5,108586,2,2
"y1_d004_CGA_QEA",6,"2",6,122479,1,1
"y1_d004_CGA_QEA",6,"2",6,122941,10,4
"y1_d004_CGA_QEA",6,"2",6,124690,255,16
"y1_d004_CGA_QEA",6,"2",6,125383,255,16
"y1_d004_CGA_QEA",6,"2",6,125944,255,16
"y1_d004_CGA_QEA",6,"2",6,127033,8,2
"y1_d004_CGA_QEA",6,"2",6,128617,8,3
"y1_d004_CGA_QEA",6,"2",6,130003,6,2
"y1_d004_CGA_QEA",7,"2",7,163234,1,1
"y1_d004_CGA_QEA",7,"2",7,163696,2,2
"y1_d004_CGA_QEA",8,"3",8,182572,1,6
"y1_d004_CGA_QEA",8,"3",8,183100,3,2
"y1_d004_CGA_QEA",9,"3",9,202471,1,1
"y1_d004_CGA_QEA",9,"3",9,202933,2,2
"y1_d004_CGA_QEA",10,"3",10,229300,1,1
"y1_d004_CGA_QEA",10,"3",10,229696,10,4
"y1_d004_CGA_QEA",11,"3",11,256426,1,1
"y1_d004_CGA_QEA",11,"3",11,256888,10,4
"y1_d004_CGA_QEA",11,"3",11,259297,7,2
"y1_d004_CGA_QEA",11,"3",11,261442,7,3
"y1_d004_CGA_QEA",11,"3",11,262366,6,2
"y1_d004_CGA_QEA",12,"3",12,294640,1,1
"y1_d004_CGA_QEA",12,"3",12,295102,2,2
"y1_d004_CGA_QEA",13,"4",13,317014,1,6
"y1_d004_CGA_QEA",13,"4",13,317542,3,2
"y1_d004_CGA_QEA",14,"4",14,338002,1,1
