"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d013_IXC_QEA",1,"1",1,38125,1,1
"y1_d013_IXC_QEA",1,"1",1,38525,10,4
"y1_d013_IXC_QEA",1,"1",1,43825,6,2
"y1_d013_IXC_QEA",1,"1",1,44125,0,5
"y1_d013_IXC_QEA",2,"2",2,71925,1,1
"y1_d013_IXC_QEA",2,"2",2,72425,2,2
"y1_d013_IXC_QEA",2,"2",2,72425,0,5
"y1_d013_IXC_QEA",3,"2",3,87025,1,1
"y1_d013_IXC_QEA",3,"2",3,87475,10,4
"y1_d013_IXC_QEA",3,"2",3,87625,255,16
"y1_d013_IXC_QEA",3,"2",3,88025,255,16
"y1_d013_IXC_QEA",3,"2",3,88325,255,16
"y1_d013_IXC_QEA",3,"2",3,88575,255,16
"y1_d013_IXC_QEA",3,"2",3,91575,7,2
"y1_d013_IXC_QEA",3,"2",3,94275,7,3
"y1_d013_IXC_QEA",3,"2",3,95825,255,16
"y1_d013_IXC_QEA",3,"2",3,96425,4,2
"y1_d013_IXC_QEA",3,"2",3,96575,0,5
"y1_d013_IXC_QEA",4,"3",4,124175,1,1
"y1_d013_IXC_QEA",4,"3",4,124675,2,2
"y1_d013_IXC_QEA",4,"3",4,124675,0,5
"y1_d013_IXC_QEA",5,"3",5,144675,1,1
"y1_d013_IXC_QEA",5,"3",5,145075,10,4
"y1_d013_IXC_QEA",5,"3",5,146425,255,16
"y1_d013_IXC_QEA",5,"3",5,147125,255,16
"y1_d013_IXC_QEA",5,"3",5,147525,255,16
"y1_d013_IXC_QEA",5,"3",5,149125,9,2
"y1_d013_IXC_QEA",5,"3",5,151925,9,3
"y1_d013_IXC_QEA",5,"3",5,154525,5,2
"y1_d013_IXC_QEA",5,"3",5,154725,0,5
"y1_d013_IXC_QEA",6,"4",6,218925,1,1
"y1_d013_IXC_QEA",6,"4",6,219525,2,2
"y1_d013_IXC_QEA",6,"4",6,219525,0,5
