"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d004_BEJ_RZQ",1,"\N",1,39179,1,1
"y2_d004_BEJ_RZQ",1,"\N",1,39629,2,2
"y2_d004_BEJ_RZQ",1,"\N",1,39629,0,5
"y2_d004_BEJ_RZQ",2,"1",2,52279,1,1
"y2_d004_BEJ_RZQ",2,"1",2,52779,2,2
"y2_d004_BEJ_RZQ",2,"1",2,52779,0,5
"y2_d004_BEJ_RZQ",3,"1",3,66679,1,1
"y2_d004_BEJ_RZQ",3,"1",3,67129,2,2
"y2_d004_BEJ_RZQ",3,"1",3,67129,0,5
"y2_d004_BEJ_RZQ",4,"1",4,81129,1,1
"y2_d004_BEJ_RZQ",4,"1",4,81579,2,2
"y2_d004_BEJ_RZQ",4,"1",4,81579,0,5
"y2_d004_BEJ_RZQ",5,"1",5,99229,1,1
"y2_d004_BEJ_RZQ",5,"1",5,99679,10,4
"y2_d004_BEJ_RZQ",5,"1",5,100579,5,2
"y2_d004_BEJ_RZQ",5,"1",5,100929,0,5
"y2_d004_BEJ_RZQ",6,"\N",6,130229,1,1
"y2_d004_BEJ_RZQ",6,"\N",6,130679,2,2
"y2_d004_BEJ_RZQ",6,"\N",6,130679,0,5
"y2_d004_BEJ_RZQ",7,"2",7,143479,1,1
"y2_d004_BEJ_RZQ",7,"2",7,143929,2,2
"y2_d004_BEJ_RZQ",7,"2",7,143929,0,5
"y2_d004_BEJ_RZQ",8,"2",8,158029,1,1
"y2_d004_BEJ_RZQ",8,"2",8,158479,10,4
"y2_d004_BEJ_RZQ",8,"2",8,163929,9,2
"y2_d004_BEJ_RZQ",8,"2",8,164279,0,5
"y2_d004_BEJ_RZQ",9,"\N",9,189979,1,1
"y2_d004_BEJ_RZQ",9,"\N",9,190429,2,2
"y2_d004_BEJ_RZQ",9,"\N",9,190429,0,5
"y2_d004_BEJ_RZQ",10,"3",10,204479,1,1
"y2_d004_BEJ_RZQ",10,"3",10,204929,2,2
"y2_d004_BEJ_RZQ",10,"3",10,204929,0,5
"y2_d004_BEJ_RZQ",11,"3",11,218129,1,1
