"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d026_JIL_RZQ",1,"1",1,1015,1,1
"y1_d026_JIL_RZQ",1,"1",1,1465,10,4
"y1_d026_JIL_RZQ",1,"1",1,1565,0,5
"y1_d026_JIL_RZQ",2,"1",2,24965,1,1
"y1_d026_JIL_RZQ",2,"1",2,25515,2,2
"y1_d026_JIL_RZQ",2,"1",2,25515,0,5
"y1_d026_JIL_RZQ",3,"1",3,48415,1,1
"y1_d026_JIL_RZQ",3,"1",3,48865,10,4
"y1_d026_JIL_RZQ",3,"1",3,53815,255,11
"y1_d026_JIL_RZQ",3,"1",3,54015,0,5
"y1_d026_JIL_RZQ",4,"2",4,93115,1,1
"y1_d026_JIL_RZQ",4,"2",4,93565,2,2
"y1_d026_JIL_RZQ",4,"2",4,93565,0,5
"y1_d026_JIL_RZQ",5,"2",5,110265,1,1
"y1_d026_JIL_RZQ",5,"2",5,110815,2,2
"y1_d026_JIL_RZQ",5,"2",5,110815,0,5
"y1_d026_JIL_RZQ",6,"2",6,129765,1,1
"y1_d026_JIL_RZQ",6,"2",6,130265,2,2
"y1_d026_JIL_RZQ",6,"2",6,130265,0,5
"y1_d026_JIL_RZQ",7,"2",7,153465,1,1
"y1_d026_JIL_RZQ",7,"2",7,153865,10,4
"y1_d026_JIL_RZQ",7,"2",7,154065,0,5
"y1_d026_JIL_RZQ",8,"2",8,180365,1,1
"y1_d026_JIL_RZQ",8,"2",8,180915,2,2
"y1_d026_JIL_RZQ",8,"2",8,180915,0,5
"y1_d026_JIL_RZQ",9,"3",9,211015,1,1
"y1_d026_JIL_RZQ",9,"3",9,211465,2,2
"y1_d026_JIL_RZQ",9,"3",9,211465,0,5
"y1_d026_JIL_RZQ",10,"3",10,230165,1,1
"y1_d026_JIL_RZQ",10,"3",10,230565,10,4
"y1_d026_JIL_RZQ",10,"3",10,234665,9,2
"y1_d026_JIL_RZQ",10,"3",10,235165,0,5
"y1_d026_JIL_RZQ",11,"4",11,269615,1,1
"y1_d026_JIL_RZQ",11,"4",11,270115,2,2
"y1_d026_JIL_RZQ",11,"4",11,270115,0,5
"y1_d026_JIL_RZQ",12,"4",12,292065,1,1
"y1_d026_JIL_RZQ",12,"4",12,292515,2,2
"y1_d026_JIL_RZQ",12,"4",12,292515,0,5
"y1_d026_JIL_RZQ",13,"4",13,328215,1,1
"y1_d026_JIL_RZQ",13,"4",13,328715,2,2
"y1_d026_JIL_RZQ",13,"4",13,328715,0,5
"y1_d026_JIL_RZQ",14,"4",14,349565,1,1
"y1_d026_JIL_RZQ",14,"4",14,350115,2,2
"y1_d026_JIL_RZQ",14,"4",14,350115,0,5
"y1_d026_JIL_RZQ",15,"4",15,372015,1,1
"y1_d026_JIL_RZQ",15,"4",15,372465,10,4
"y1_d026_JIL_RZQ",15,"4",15,375365,7,2
"y1_d026_JIL_RZQ",15,"4",15,375715,0,5
"y1_d026_JIL_RZQ",16,"5",16,519865,1,1
"y1_d026_JIL_RZQ",16,"5",16,520365,2,2
"y1_d026_JIL_RZQ",16,"5",16,520365,0,5
"y1_d026_JIL_RZQ",17,"5",17,533115,1,1
"y1_d026_JIL_RZQ",17,"5",17,533615,2,2
"y1_d026_JIL_RZQ",17,"5",17,533615,0,5
"y1_d026_JIL_RZQ",18,"5",18,548365,1,1
"y1_d026_JIL_RZQ",18,"5",18,548865,2,2
"y1_d026_JIL_RZQ",18,"5",18,548865,0,5
"y1_d026_JIL_RZQ",19,"5",19,562315,1,1
"y1_d026_JIL_RZQ",19,"5",19,562715,255,16
"y1_d026_JIL_RZQ",19,"5",19,562815,2,2
"y1_d026_JIL_RZQ",19,"5",19,562815,0,5
"y1_d026_JIL_RZQ",20,"5",20,583815,1,1
