"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d056_KJH_RZQ",1,"1",1,52387,1,1
"y1_d056_KJH_RZQ",1,"1",1,52837,2,2
"y1_d056_KJH_RZQ",1,"1",1,52837,0,5
"y1_d056_KJH_RZQ",2,"1",2,65137,1,1
"y1_d056_KJH_RZQ",2,"1",2,65537,10,4
"y1_d056_KJH_RZQ",2,"1",2,65737,0,5
"y1_d056_KJH_RZQ",3,"1",3,84687,1,1
"y1_d056_KJH_RZQ",3,"1",3,85187,2,2
"y1_d056_KJH_RZQ",3,"1",3,85187,0,5
"y1_d056_KJH_RZQ",4,"1",4,99787,1,1
"y1_d056_KJH_RZQ",4,"1",4,100237,2,2
"y1_d056_KJH_RZQ",4,"1",4,100237,0,5
"y1_d056_KJH_RZQ",5,"1",5,127837,1,1
"y1_d056_KJH_RZQ",5,"1",5,128337,2,2
"y1_d056_KJH_RZQ",5,"1",5,128337,0,5
"y1_d056_KJH_RZQ",6,"2",6,160687,1,1
"y1_d056_KJH_RZQ",6,"2",6,161137,2,2
"y1_d056_KJH_RZQ",6,"2",6,161137,0,5
"y1_d056_KJH_RZQ",7,"2",7,174687,1,1
"y1_d056_KJH_RZQ",7,"2",7,175187,2,2
"y1_d056_KJH_RZQ",7,"2",7,175187,0,5
"y1_d056_KJH_RZQ",8,"2",8,188637,1,1
"y1_d056_KJH_RZQ",8,"2",8,189037,10,4
"y1_d056_KJH_RZQ",8,"2",8,189287,0,5
"y1_d056_KJH_RZQ",9,"2",9,207887,1,1
"y1_d056_KJH_RZQ",9,"2",9,208287,10,4
"y1_d056_KJH_RZQ",9,"2",9,208637,0,5
"y1_d056_KJH_RZQ",10,"2",10,229787,1,1
"y1_d056_KJH_RZQ",10,"2",10,230237,10,4
"y1_d056_KJH_RZQ",10,"2",10,230637,0,5
"y1_d056_KJH_RZQ",11,"2",11,253137,1,1
"y1_d056_KJH_RZQ",11,"2",11,253637,2,2
"y1_d056_KJH_RZQ",11,"2",11,253637,0,5
"y1_d056_KJH_RZQ",12,"2",12,274537,1,1
"y1_d056_KJH_RZQ",12,"2",12,274937,10,4
"y1_d056_KJH_RZQ",12,"2",12,275487,0,5
"y1_d056_KJH_RZQ",13,"2",13,295737,1,1
"y1_d056_KJH_RZQ",13,"2",13,296237,2,2
"y1_d056_KJH_RZQ",13,"2",13,296237,0,5
"y1_d056_KJH_RZQ",14,"3",14,328537,1,1
"y1_d056_KJH_RZQ",14,"3",14,329037,2,2
"y1_d056_KJH_RZQ",14,"3",14,329037,0,5
"y1_d056_KJH_RZQ",15,"3",15,343037,1,1
"y1_d056_KJH_RZQ",15,"3",15,343537,2,2
"y1_d056_KJH_RZQ",15,"3",15,343537,0,5
