"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d077_MGJ_RZQ",1,"1",1,38390,1,1
"y2_d077_MGJ_RZQ",1,"1",1,38890,2,2
"y2_d077_MGJ_RZQ",1,"1",1,38890,0,5
"y2_d077_MGJ_RZQ",2,"1",2,50940,1,1
"y2_d077_MGJ_RZQ",2,"1",2,51440,2,2
"y2_d077_MGJ_RZQ",2,"1",2,51440,0,5
"y2_d077_MGJ_RZQ",3,"1",3,72540,1,1
"y2_d077_MGJ_RZQ",3,"1",3,73040,2,2
"y2_d077_MGJ_RZQ",3,"1",3,73040,0,5
"y2_d077_MGJ_RZQ",4,"1",4,85790,1,1
"y2_d077_MGJ_RZQ",4,"1",4,86290,10,4
"y2_d077_MGJ_RZQ",4,"1",4,86440,0,5
"y2_d077_MGJ_RZQ",5,"1",5,108740,1,1
"y2_d077_MGJ_RZQ",5,"1",5,109190,10,4
"y2_d077_MGJ_RZQ",5,"1",5,110840,255,16
"y2_d077_MGJ_RZQ",5,"1",5,111290,4,2
"y2_d077_MGJ_RZQ",5,"1",5,112190,4,3
"y2_d077_MGJ_RZQ",5,"1",5,113240,3,2
"y2_d077_MGJ_RZQ",5,"1",5,113640,0,5
"y2_d077_MGJ_RZQ",6,"2",6,145690,1,1
"y2_d077_MGJ_RZQ",6,"2",6,146140,2,2
"y2_d077_MGJ_RZQ",6,"2",6,146140,0,5
"y2_d077_MGJ_RZQ",7,"2",7,158490,1,1
"y2_d077_MGJ_RZQ",7,"2",7,159040,2,2
"y2_d077_MGJ_RZQ",7,"2",7,159040,0,5
"y2_d077_MGJ_RZQ",8,"2",8,174290,1,1
"y2_d077_MGJ_RZQ",8,"2",8,174790,2,2
"y2_d077_MGJ_RZQ",8,"2",8,174790,0,5
"y2_d077_MGJ_RZQ",9,"2",9,188640,1,1
"y2_d077_MGJ_RZQ",9,"2",9,189190,2,2
"y2_d077_MGJ_RZQ",9,"2",9,189190,0,5
"y2_d077_MGJ_RZQ",10,"3",10,216740,1,1
"y2_d077_MGJ_RZQ",10,"3",10,217190,2,2
"y2_d077_MGJ_RZQ",10,"3",10,217190,0,5
"y2_d077_MGJ_RZQ",11,"3",11,229890,1,1
"y2_d077_MGJ_RZQ",11,"3",11,230440,2,2
"y2_d077_MGJ_RZQ",11,"3",11,230440,0,5
"y2_d077_MGJ_RZQ",12,"3",12,243390,1,1
"y2_d077_MGJ_RZQ",12,"3",12,243840,10,4
"y2_d077_MGJ_RZQ",12,"3",12,243940,0,5
"y2_d077_MGJ_RZQ",13,"3",13,281140,1,1
"y2_d077_MGJ_RZQ",13,"3",13,281690,2,2
"y2_d077_MGJ_RZQ",13,"3",13,281690,0,5
"y2_d077_MGJ_RZQ",14,"4",14,429290,1,1
"y2_d077_MGJ_RZQ",14,"4",14,429740,2,2
"y2_d077_MGJ_RZQ",14,"4",14,429740,0,5
"y2_d077_MGJ_RZQ",15,"4",15,441690,1,1
"y2_d077_MGJ_RZQ",15,"4",15,442140,2,2
"y2_d077_MGJ_RZQ",15,"4",15,442140,0,5
"y2_d077_MGJ_RZQ",16,"4",16,455440,1,1
"y2_d077_MGJ_RZQ",16,"4",16,455890,10,4
"y2_d077_MGJ_RZQ",16,"4",16,455890,0,5
"y2_d077_MGJ_RZQ",17,"4",17,474340,1,1
"y2_d077_MGJ_RZQ",17,"4",17,474840,2,2
"y2_d077_MGJ_RZQ",17,"4",17,474840,0,5
"y2_d077_MGJ_RZQ",18,"4",18,489140,1,1
"y2_d077_MGJ_RZQ",18,"4",18,489540,10,4
"y2_d077_MGJ_RZQ",18,"4",18,492090,255,16
"y2_d077_MGJ_RZQ",18,"4",18,493040,9,2
"y2_d077_MGJ_RZQ",18,"4",18,494340,9,3
"y2_d077_MGJ_RZQ",18,"4",18,495990,4,2
"y2_d077_MGJ_RZQ",18,"4",18,496390,0,5
"y2_d077_MGJ_RZQ",19,"5",19,526590,1,1
