"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d080_PVJ_RZQ",1,"1",1,25110,1,1
"y1_d080_PVJ_RZQ",1,"1",1,25610,2,2
"y1_d080_PVJ_RZQ",1,"1",1,25610,0,5
"y1_d080_PVJ_RZQ",2,"1",2,38110,1,1
"y1_d080_PVJ_RZQ",2,"1",2,38560,2,2
"y1_d080_PVJ_RZQ",2,"1",2,38560,0,5
"y1_d080_PVJ_RZQ",3,"1",3,69460,1,1
"y1_d080_PVJ_RZQ",3,"1",3,69960,2,2
"y1_d080_PVJ_RZQ",3,"1",3,69960,0,5
"y1_d080_PVJ_RZQ",4,"1",4,96660,1,1
"y1_d080_PVJ_RZQ",4,"1",4,97060,10,4
"y1_d080_PVJ_RZQ",4,"1",4,97560,255,16
"y1_d080_PVJ_RZQ",4,"1",4,98060,255,16
"y1_d080_PVJ_RZQ",4,"1",4,98360,255,16
"y1_d080_PVJ_RZQ",4,"1",4,98560,255,16
"y1_d080_PVJ_RZQ",4,"1",4,98760,255,16
"y1_d080_PVJ_RZQ",4,"1",4,98960,255,16
"y1_d080_PVJ_RZQ",4,"1",4,99160,255,16
"y1_d080_PVJ_RZQ",4,"1",4,99960,4,2
"y1_d080_PVJ_RZQ",4,"1",4,100610,4,3
"y1_d080_PVJ_RZQ",4,"1",4,101360,3,2
"y1_d080_PVJ_RZQ",4,"1",4,101660,0,5
"y1_d080_PVJ_RZQ",5,"2",5,141610,1,1
"y1_d080_PVJ_RZQ",5,"2",5,142110,2,2
"y1_d080_PVJ_RZQ",5,"2",5,142110,0,5
"y1_d080_PVJ_RZQ",6,"2",6,156560,1,1
"y1_d080_PVJ_RZQ",6,"2",6,157060,2,2
"y1_d080_PVJ_RZQ",6,"2",6,157060,0,5
"y1_d080_PVJ_RZQ",7,"2",7,172110,1,1
"y1_d080_PVJ_RZQ",7,"2",7,172560,2,2
"y1_d080_PVJ_RZQ",7,"2",7,172560,0,5
"y1_d080_PVJ_RZQ",8,"2",8,187860,1,1
"y1_d080_PVJ_RZQ",8,"2",8,188360,2,2
"y1_d080_PVJ_RZQ",8,"2",8,188360,0,5
"y1_d080_PVJ_RZQ",9,"2",9,206760,1,1
"y1_d080_PVJ_RZQ",9,"2",9,207260,2,2
"y1_d080_PVJ_RZQ",9,"2",9,207260,0,5
"y1_d080_PVJ_RZQ",10,"2",10,227010,1,1
