"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d069_RDO_RZQ",1,"1",1,7085,1,1
"y2_d069_RDO_RZQ",1,"1",1,7535,2,2
"y2_d069_RDO_RZQ",1,"1",1,7535,0,5
"y2_d069_RDO_RZQ",2,"1",2,20585,1,1
"y2_d069_RDO_RZQ",2,"1",2,21035,2,2
"y2_d069_RDO_RZQ",2,"1",2,21035,0,5
"y2_d069_RDO_RZQ",3,"1",3,34085,1,1
"y2_d069_RDO_RZQ",3,"1",3,34585,2,2
"y2_d069_RDO_RZQ",3,"1",3,34585,0,5
"y2_d069_RDO_RZQ",4,"1",4,48085,1,1
"y2_d069_RDO_RZQ",4,"1",4,48635,2,2
"y2_d069_RDO_RZQ",4,"1",4,48635,0,5
"y2_d069_RDO_RZQ",5,"1",5,66985,1,1
"y2_d069_RDO_RZQ",5,"1",5,67435,2,2
"y2_d069_RDO_RZQ",5,"1",5,67435,0,5
"y2_d069_RDO_RZQ",6,"1",6,80685,1,1
"y2_d069_RDO_RZQ",6,"1",6,81135,10,4
"y2_d069_RDO_RZQ",6,"1",6,81235,255,16
"y2_d069_RDO_RZQ",6,"1",6,81785,255,16
"y2_d069_RDO_RZQ",6,"1",6,82135,255,16
"y2_d069_RDO_RZQ",6,"1",6,82385,255,16
"y2_d069_RDO_RZQ",6,"1",6,82585,255,16
"y2_d069_RDO_RZQ",6,"1",6,82735,255,16
"y2_d069_RDO_RZQ",6,"1",6,82885,255,16
"y2_d069_RDO_RZQ",6,"1",6,83035,6,2
"y2_d069_RDO_RZQ",6,"1",6,84135,6,3
"y2_d069_RDO_RZQ",6,"1",6,85235,3,2
"y2_d069_RDO_RZQ",6,"1",6,85535,0,5
"y2_d069_RDO_RZQ",7,"2",7,116785,1,1
"y2_d069_RDO_RZQ",7,"2",7,117335,2,2
"y2_d069_RDO_RZQ",7,"2",7,117335,0,5
"y2_d069_RDO_RZQ",8,"2",8,133285,1,1
"y2_d069_RDO_RZQ",8,"2",8,133835,2,2
"y2_d069_RDO_RZQ",8,"2",8,133835,0,5
"y2_d069_RDO_RZQ",9,"2",9,148685,1,1
"y2_d069_RDO_RZQ",9,"2",9,149085,10,4
"y2_d069_RDO_RZQ",9,"2",9,149185,0,5
"y2_d069_RDO_RZQ",10,"2",10,168885,1,1
"y2_d069_RDO_RZQ",10,"2",10,169335,2,2
"y2_d069_RDO_RZQ",10,"2",10,169335,0,5
"y2_d069_RDO_RZQ",11,"3",11,200035,1,1
"y2_d069_RDO_RZQ",11,"3",11,200435,10,4
"y2_d069_RDO_RZQ",11,"3",11,200485,0,5
"y2_d069_RDO_RZQ",12,"3",12,219535,1,1
"y2_d069_RDO_RZQ",12,"3",12,220085,2,2
"y2_d069_RDO_RZQ",12,"3",12,220085,0,5
"y2_d069_RDO_RZQ",13,"3",13,239585,1,1
"y2_d069_RDO_RZQ",13,"3",13,240135,2,2
"y2_d069_RDO_RZQ",13,"3",13,240135,0,5
"y2_d069_RDO_RZQ",14,"3",14,256935,1,1
"y2_d069_RDO_RZQ",14,"3",14,257435,2,2
"y2_d069_RDO_RZQ",14,"3",14,257435,0,5
"y2_d069_RDO_RZQ",15,"3",15,276685,1,1
"y2_d069_RDO_RZQ",15,"3",15,277185,2,2
"y2_d069_RDO_RZQ",15,"3",15,277185,0,5
"y2_d069_RDO_RZQ",16,"3",16,293835,1,1
"y2_d069_RDO_RZQ",16,"3",16,294385,2,2
"y2_d069_RDO_RZQ",16,"3",16,294385,0,5
"y2_d069_RDO_RZQ",17,"4",17,328535,1,1
"y2_d069_RDO_RZQ",17,"4",17,328935,10,4
"y2_d069_RDO_RZQ",17,"4",17,329035,0,5
"y2_d069_RDO_RZQ",18,"4",18,363035,1,6
"y2_d069_RDO_RZQ",18,"4",18,363735,3,2
"y2_d069_RDO_RZQ",18,"4",18,363935,0,5
"y2_d069_RDO_RZQ",19,"4",19,382735,1,6
"y2_d069_RDO_RZQ",19,"4",19,383285,3,2
"y2_d069_RDO_RZQ",19,"4",19,383685,0,5
"y2_d069_RDO_RZQ",20,"4",20,404385,1,1
"y2_d069_RDO_RZQ",20,"4",20,404885,10,4
"y2_d069_RDO_RZQ",20,"4",20,404985,0,5
"y2_d069_RDO_RZQ",21,"4",21,436535,1,1
"y2_d069_RDO_RZQ",21,"4",21,436935,10,4
"y2_d069_RDO_RZQ",21,"4",21,437335,0,5
"y2_d069_RDO_RZQ",22,"4",22,470435,1,1
"y2_d069_RDO_RZQ",22,"4",22,470835,10,4
"y2_d069_RDO_RZQ",22,"4",22,475035,8,2
"y2_d069_RDO_RZQ",22,"4",22,475385,0,5
"y2_d069_RDO_RZQ",23,"8",23,672185,1,1
"y2_d069_RDO_RZQ",23,"8",23,672685,2,2
"y2_d069_RDO_RZQ",23,"8",23,672685,0,5
"y2_d069_RDO_RZQ",24,"8",24,882749,1,1
"y2_d069_RDO_RZQ",24,"8",24,883249,2,2
"y2_d069_RDO_RZQ",24,"8",24,883249,0,5
"y2_d069_RDO_RZQ",25,"8",25,907749,1,1
"y2_d069_RDO_RZQ",25,"8",25,908299,10,4
"y2_d069_RDO_RZQ",25,"8",25,908299,0,5
"y2_d069_RDO_RZQ",26,"8",26,933299,1,1
"y2_d069_RDO_RZQ",26,"8",26,933799,2,2
"y2_d069_RDO_RZQ",26,"8",26,933799,0,5
"y2_d069_RDO_RZQ",27,"8",27,953699,1,1
"y2_d069_RDO_RZQ",27,"8",27,954149,10,4
"y2_d069_RDO_RZQ",27,"8",27,957899,8,2
"y2_d069_RDO_RZQ",27,"8",27,960199,8,3
"y2_d069_RDO_RZQ",27,"8",27,962699,4,2
"y2_d069_RDO_RZQ",27,"8",27,963249,0,5
"y2_d069_RDO_RZQ",28,"9",28,994899,1,1
"y2_d069_RDO_RZQ",28,"9",28,995449,2,2
"y2_d069_RDO_RZQ",28,"9",28,995449,0,5
"y2_d069_RDO_RZQ",29,"9",29,1013399,1,1
"y2_d069_RDO_RZQ",29,"9",29,1013899,10,4
"y2_d069_RDO_RZQ",29,"9",29,1014099,0,5
"y2_d069_RDO_RZQ",30,"9",30,1042749,1,1
"y2_d069_RDO_RZQ",30,"9",30,1043199,2,2
"y2_d069_RDO_RZQ",30,"9",30,1043199,0,5
"y2_d069_RDO_RZQ",31,"9",31,1076999,1,1
"y2_d069_RDO_RZQ",31,"9",31,1077499,10,4
"y2_d069_RDO_RZQ",31,"9",31,1079949,9,2
"y2_d069_RDO_RZQ",31,"9",31,1081099,0,5
"y2_d069_RDO_RZQ",32,"10",32,1218199,1,1
"y2_d069_RDO_RZQ",32,"10",32,1218749,2,2
"y2_d069_RDO_RZQ",32,"10",32,1218749,0,5
"y2_d069_RDO_RZQ",33,"10",33,1233749,1,1
"y2_d069_RDO_RZQ",33,"10",33,1234299,2,2
"y2_d069_RDO_RZQ",33,"10",33,1234299,0,5
"y2_d069_RDO_RZQ",34,"10",34,1248599,1,1
"y2_d069_RDO_RZQ",34,"10",34,1249149,2,2
"y2_d069_RDO_RZQ",34,"10",34,1249149,0,5
"y2_d069_RDO_RZQ",35,"10",35,1263299,1,1
"y2_d069_RDO_RZQ",35,"10",35,1263849,2,2
"y2_d069_RDO_RZQ",35,"10",35,1263849,0,5
"y2_d069_RDO_RZQ",36,"11",36,1294349,1,1
"y2_d069_RDO_RZQ",36,"11",36,1294799,2,2
"y2_d069_RDO_RZQ",36,"11",36,1294799,0,5
"y2_d069_RDO_RZQ",37,"11",37,1307749,1,1
"y2_d069_RDO_RZQ",37,"11",37,1308199,2,2
"y2_d069_RDO_RZQ",37,"11",37,1308199,0,5
"y2_d069_RDO_RZQ",38,"11",38,1325899,1,1
"y2_d069_RDO_RZQ",38,"11",38,1326449,2,2
"y2_d069_RDO_RZQ",38,"11",38,1326449,0,5
"y2_d069_RDO_RZQ",39,"11",39,1343399,1,1
"y2_d069_RDO_RZQ",39,"11",39,1343999,2,2
"y2_d069_RDO_RZQ",39,"11",39,1343999,0,5
"y2_d069_RDO_RZQ",40,"11",40,1360249,1,1
"y2_d069_RDO_RZQ",40,"11",40,1360649,10,4
"y2_d069_RDO_RZQ",40,"11",40,1365149,9,2
"y2_d069_RDO_RZQ",40,"11",40,1365449,0,5
"y2_d069_RDO_RZQ",41,"12",41,1395499,1,1
"y2_d069_RDO_RZQ",41,"12",41,1395949,2,2
"y2_d069_RDO_RZQ",41,"12",41,1395949,0,5
"y2_d069_RDO_RZQ",42,"12",42,1409249,1,1
"y2_d069_RDO_RZQ",42,"12",42,1409799,2,2
"y2_d069_RDO_RZQ",42,"12",42,1409799,0,5
"y2_d069_RDO_RZQ",43,"12",43,1422399,1,1
"y2_d069_RDO_RZQ",43,"12",43,1422849,10,4
"y2_d069_RDO_RZQ",43,"12",43,1423299,255,16
"y2_d069_RDO_RZQ",43,"12",43,1423699,255,16
"y2_d069_RDO_RZQ",43,"12",43,1424149,255,16
"y2_d069_RDO_RZQ",43,"12",43,1424399,255,16
"y2_d069_RDO_RZQ",43,"12",43,1424649,4,2
"y2_d069_RDO_RZQ",43,"12",43,1426499,4,3
"y2_d069_RDO_RZQ",43,"12",43,1427249,3,2
"y2_d069_RDO_RZQ",43,"12",43,1427299,0,5
"y2_d069_RDO_RZQ",44,"13",44,1562599,1,1
"y2_d069_RDO_RZQ",44,"13",44,1563099,2,2
"y2_d069_RDO_RZQ",44,"13",44,1563099,0,5
"y2_d069_RDO_RZQ",45,"13",45,1578599,1,1
"y2_d069_RDO_RZQ",45,"13",45,1579049,10,4
"y2_d069_RDO_RZQ",45,"13",45,1579049,0,5
"y2_d069_RDO_RZQ",46,"13",46,1597549,1,1
"y2_d069_RDO_RZQ",46,"13",46,1598049,2,2
"y2_d069_RDO_RZQ",46,"13",46,1598049,0,5
"y2_d069_RDO_RZQ",47,"13",47,1616199,1,1
"y2_d069_RDO_RZQ",47,"13",47,1616749,2,2
"y2_d069_RDO_RZQ",47,"13",47,1616749,0,5
"y2_d069_RDO_RZQ",48,"13",48,1651649,1,1
"y2_d069_RDO_RZQ",48,"13",48,1652199,2,2
"y2_d069_RDO_RZQ",48,"13",48,1652199,0,5
"y2_d069_RDO_RZQ",49,"14",49,1682549,1,1
"y2_d069_RDO_RZQ",49,"14",49,1683049,2,2
"y2_d069_RDO_RZQ",49,"14",49,1683049,0,5
"y2_d069_RDO_RZQ",50,"14",50,1699349,1,1
"y2_d069_RDO_RZQ",50,"14",50,1699749,10,4
"y2_d069_RDO_RZQ",50,"14",50,1699899,255,16
"y2_d069_RDO_RZQ",50,"14",50,1700599,255,16
"y2_d069_RDO_RZQ",50,"14",50,1700949,255,16
"y2_d069_RDO_RZQ",50,"14",50,1701249,255,16
"y2_d069_RDO_RZQ",50,"14",50,1702499,4,2
"y2_d069_RDO_RZQ",50,"14",50,1704999,0,5
"y2_d069_RDO_RZQ",51,"15",51,1742449,1,1
"y2_d069_RDO_RZQ",51,"15",51,1742999,2,2
"y2_d069_RDO_RZQ",51,"15",51,1742999,0,5
"y2_d069_RDO_RZQ",52,"15",52,1766899,1,1
"y2_d069_RDO_RZQ",52,"15",52,1767349,2,2
"y2_d069_RDO_RZQ",52,"15",52,1767349,0,5
"y2_d069_RDO_RZQ",53,"15",53,1786399,1,6
"y2_d069_RDO_RZQ",53,"15",53,1786899,3,2
"y2_d069_RDO_RZQ",53,"15",53,1786999,0,5
"y2_d069_RDO_RZQ",54,"15",54,1811149,1,1
"y2_d069_RDO_RZQ",54,"15",54,1811599,10,4
"y2_d069_RDO_RZQ",54,"15",54,1811749,0,5
"y2_d069_RDO_RZQ",55,"15",55,1837299,1,1
"y2_d069_RDO_RZQ",55,"15",55,1837799,10,4
"y2_d069_RDO_RZQ",55,"15",55,1838749,255,16
"y2_d069_RDO_RZQ",55,"15",55,1839349,255,16
"y2_d069_RDO_RZQ",55,"15",55,1839699,255,16
"y2_d069_RDO_RZQ",55,"15",55,1841549,8,2
"y2_d069_RDO_RZQ",55,"15",55,1843599,8,3
"y2_d069_RDO_RZQ",55,"15",55,1845599,255,16
"y2_d069_RDO_RZQ",55,"15",55,1846099,6,2
"y2_d069_RDO_RZQ",55,"15",55,1846299,0,5
"y2_d069_RDO_RZQ",56,"16",56,1879149,1,1
"y2_d069_RDO_RZQ",56,"16",56,1879649,2,2
"y2_d069_RDO_RZQ",56,"16",56,1879649,0,5
"y2_d069_RDO_RZQ",57,"16",57,1898549,1,1
"y2_d069_RDO_RZQ",57,"16",57,1899049,2,2
"y2_d069_RDO_RZQ",57,"16",57,1899049,0,5
"y2_d069_RDO_RZQ",58,"16",58,1926299,1,1
"y2_d069_RDO_RZQ",58,"16",58,1926849,2,2
"y2_d069_RDO_RZQ",58,"16",58,1926849,0,5
"y2_d069_RDO_RZQ",59,"17",59,1960349,1,1
"y2_d069_RDO_RZQ",59,"17",59,1960799,10,4
"y2_d069_RDO_RZQ",59,"17",59,1961099,255,16
"y2_d069_RDO_RZQ",59,"17",59,1961749,255,16
"y2_d069_RDO_RZQ",59,"17",59,1962049,255,16
"y2_d069_RDO_RZQ",59,"17",59,1962349,255,16
"y2_d069_RDO_RZQ",59,"17",59,1962449,4,2
"y2_d069_RDO_RZQ",59,"17",59,1963049,4,3
"y2_d069_RDO_RZQ",59,"17",59,1964049,6,2
"y2_d069_RDO_RZQ",59,"17",59,1964899,0,5
"y2_d069_RDO_RZQ",60,"18",60,2104699,1,1
"y2_d069_RDO_RZQ",60,"18",60,2105199,2,2
"y2_d069_RDO_RZQ",60,"18",60,2105199,0,5
"y2_d069_RDO_RZQ",61,"18",61,2118999,1,1
"y2_d069_RDO_RZQ",61,"18",61,2119449,10,4
"y2_d069_RDO_RZQ",61,"18",61,2119449,0,5
"y2_d069_RDO_RZQ",62,"18",62,2137449,1,1
"y2_d069_RDO_RZQ",62,"18",62,2137999,2,2
"y2_d069_RDO_RZQ",62,"18",62,2137999,0,5
"y2_d069_RDO_RZQ",63,"18",63,2153249,1,1
"y2_d069_RDO_RZQ",63,"18",63,2153749,10,4
"y2_d069_RDO_RZQ",63,"18",63,2159549,9,2
"y2_d069_RDO_RZQ",63,"18",63,2159849,0,5
"y2_d069_RDO_RZQ",64,"19",64,2193849,1,1
"y2_d069_RDO_RZQ",64,"19",64,2194399,2,2
"y2_d069_RDO_RZQ",64,"19",64,2194399,0,5
"y2_d069_RDO_RZQ",65,"19",65,2211799,1,1
"y2_d069_RDO_RZQ",65,"19",65,2212299,2,2
"y2_d069_RDO_RZQ",65,"19",65,2212299,0,5
"y2_d069_RDO_RZQ",66,"19",66,2231149,1,1
"y2_d069_RDO_RZQ",66,"19",66,2231699,2,2
"y2_d069_RDO_RZQ",66,"19",66,2231699,0,5
"y2_d069_RDO_RZQ",67,"19",67,2250299,1,1
"y2_d069_RDO_RZQ",67,"19",67,2250849,2,2
"y2_d069_RDO_RZQ",67,"19",67,2250849,0,5
"y2_d069_RDO_RZQ",68,"19",68,2273599,1,1
"y2_d069_RDO_RZQ",68,"19",68,2274049,2,2
"y2_d069_RDO_RZQ",68,"19",68,2274049,0,5
"y2_d069_RDO_RZQ",69,"19",69,2292649,1,1
"y2_d069_RDO_RZQ",69,"19",69,2293199,2,2
"y2_d069_RDO_RZQ",69,"19",69,2293199,0,5
"y2_d069_RDO_RZQ",70,"20",70,2331449,1,1
"y2_d069_RDO_RZQ",70,"20",70,2331899,2,2
"y2_d069_RDO_RZQ",70,"20",70,2331899,0,5
"y2_d069_RDO_RZQ",71,"20",71,2351299,1,1
"y2_d069_RDO_RZQ",71,"20",71,2351749,10,4
"y2_d069_RDO_RZQ",71,"20",71,2352249,255,16
"y2_d069_RDO_RZQ",71,"20",71,2352699,255,16
"y2_d069_RDO_RZQ",71,"20",71,2353049,255,16
"y2_d069_RDO_RZQ",71,"20",71,2353499,255,16
"y2_d069_RDO_RZQ",71,"20",71,2354899,9,2
"y2_d069_RDO_RZQ",71,"20",71,2356649,9,3
"y2_d069_RDO_RZQ",71,"20",71,2358349,6,2
"y2_d069_RDO_RZQ",71,"20",71,2358649,0,5
"y2_d069_RDO_RZQ",72,"21",72,2401349,1,1
"y2_d069_RDO_RZQ",72,"21",72,2401799,2,2
"y2_d069_RDO_RZQ",72,"21",72,2401799,0,5
"y2_d069_RDO_RZQ",73,"21",73,2431249,1,1
"y2_d069_RDO_RZQ",73,"21",73,2431699,2,2
"y2_d069_RDO_RZQ",73,"21",73,2431699,0,5
"y2_d069_RDO_RZQ",74,"21",74,2455799,1,1
"y2_d069_RDO_RZQ",74,"21",74,2456249,10,4
"y2_d069_RDO_RZQ",74,"21",74,2456249,0,5
"y2_d069_RDO_RZQ",75,"21",75,2486099,1,1
"y2_d069_RDO_RZQ",75,"21",75,2486649,2,2
"y2_d069_RDO_RZQ",75,"21",75,2486649,0,5
"y2_d069_RDO_RZQ",76,"22",76,2520049,1,1
"y2_d069_RDO_RZQ",76,"22",76,2520499,10,4
"y2_d069_RDO_RZQ",76,"22",76,2520649,255,16
"y2_d069_RDO_RZQ",76,"22",76,2520949,255,16
"y2_d069_RDO_RZQ",76,"22",76,2521599,255,16
"y2_d069_RDO_RZQ",76,"22",76,2521949,255,16
"y2_d069_RDO_RZQ",76,"22",76,2522049,3,2
"y2_d069_RDO_RZQ",76,"22",76,2524699,0,5
"y2_d069_RDO_RZQ",77,"23",77,2663599,1,1
"y2_d069_RDO_RZQ",77,"23",77,2664099,2,2
"y2_d069_RDO_RZQ",77,"23",77,2664099,0,5
"y2_d069_RDO_RZQ",78,"23",78,2676599,1,1
"y2_d069_RDO_RZQ",78,"23",78,2677199,10,4
"y2_d069_RDO_RZQ",78,"23",78,2677199,0,5
"y2_d069_RDO_RZQ",79,"23",79,2703799,1,1
"y2_d069_RDO_RZQ",79,"23",79,2704349,10,4
"y2_d069_RDO_RZQ",79,"23",79,2704349,0,5
"y2_d069_RDO_RZQ",80,"23",80,2728649,1,1
"y2_d069_RDO_RZQ",80,"23",80,2729149,2,2
"y2_d069_RDO_RZQ",80,"23",80,2729149,0,5
"y2_d069_RDO_RZQ",81,"23",81,2745949,1,1
