"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d009_TSZ_RZQ",1,"1",1,35392,1,1
"y2_d009_TSZ_RZQ",1,"1",1,35842,2,2
"y2_d009_TSZ_RZQ",1,"1",1,35842,0,5
"y2_d009_TSZ_RZQ",2,"1",2,47842,1,1
"y2_d009_TSZ_RZQ",2,"1",2,48292,2,2
"y2_d009_TSZ_RZQ",2,"1",2,48292,0,5
"y2_d009_TSZ_RZQ",3,"1",3,61242,1,1
"y2_d009_TSZ_RZQ",3,"1",3,61692,2,2
"y2_d009_TSZ_RZQ",3,"1",3,61692,0,5
"y2_d009_TSZ_RZQ",4,"1",4,75492,1,1
"y2_d009_TSZ_RZQ",4,"1",4,75992,2,2
"y2_d009_TSZ_RZQ",4,"1",4,75992,0,5
"y2_d009_TSZ_RZQ",5,"1",5,99242,1,1
"y2_d009_TSZ_RZQ",5,"1",5,99692,10,4
"y2_d009_TSZ_RZQ",5,"1",5,101342,0,5
"y2_d009_TSZ_RZQ",6,"1",6,122892,1,1
"y2_d009_TSZ_RZQ",6,"1",6,123292,10,4
"y2_d009_TSZ_RZQ",6,"1",6,124092,0,5
"y2_d009_TSZ_RZQ",7,"1",7,143642,1,1
"y2_d009_TSZ_RZQ",7,"1",7,144042,10,4
"y2_d009_TSZ_RZQ",7,"1",7,144492,0,5
"y2_d009_TSZ_RZQ",8,"1",8,166142,1,1
"y2_d009_TSZ_RZQ",8,"1",8,166642,2,2
"y2_d009_TSZ_RZQ",8,"1",8,166642,0,5
"y2_d009_TSZ_RZQ",9,"2",9,193892,1,1
"y2_d009_TSZ_RZQ",9,"2",9,194392,2,2
"y2_d009_TSZ_RZQ",9,"2",9,194392,0,5
"y2_d009_TSZ_RZQ",10,"2",10,207842,1,1
"y2_d009_TSZ_RZQ",10,"2",10,208292,2,2
"y2_d009_TSZ_RZQ",10,"2",10,208292,0,5
"y2_d009_TSZ_RZQ",11,"2",11,223042,1,1
"y2_d009_TSZ_RZQ",11,"2",11,223542,2,2
"y2_d009_TSZ_RZQ",11,"2",11,223542,0,5
"y2_d009_TSZ_RZQ",12,"3",12,314798,1,1
"y2_d009_TSZ_RZQ",12,"3",12,315298,2,2
"y2_d009_TSZ_RZQ",12,"3",12,315298,0,5
"y2_d009_TSZ_RZQ",13,"3",13,335598,1,1
"y2_d009_TSZ_RZQ",13,"3",13,336048,2,2
"y2_d009_TSZ_RZQ",13,"3",13,336048,0,5
"y2_d009_TSZ_RZQ",14,"3",14,358248,1,1
"y2_d009_TSZ_RZQ",14,"3",14,358698,2,2
"y2_d009_TSZ_RZQ",14,"3",14,358698,0,5
"y2_d009_TSZ_RZQ",15,"3",15,380648,1,1
"y2_d009_TSZ_RZQ",15,"3",15,381148,2,2
"y2_d009_TSZ_RZQ",15,"3",15,381148,0,5
"y2_d009_TSZ_RZQ",16,"3",16,403348,1,1
"y2_d009_TSZ_RZQ",16,"3",16,403848,2,2
"y2_d009_TSZ_RZQ",16,"3",16,403848,0,5
"y2_d009_TSZ_RZQ",17,"3",17,426898,1,1
"y2_d009_TSZ_RZQ",17,"3",17,427398,2,2
"y2_d009_TSZ_RZQ",17,"3",17,427398,0,5
"y2_d009_TSZ_RZQ",18,"4",18,460498,1,1
"y2_d009_TSZ_RZQ",18,"4",18,460948,2,2
"y2_d009_TSZ_RZQ",18,"4",18,460948,0,5
"y2_d009_TSZ_RZQ",19,"4",19,481398,1,1
"y2_d009_TSZ_RZQ",19,"4",19,481898,2,2
"y2_d009_TSZ_RZQ",19,"4",19,481898,0,5
"y2_d009_TSZ_RZQ",20,"4",20,503748,1,1
"y2_d009_TSZ_RZQ",20,"4",20,504248,2,2
"y2_d009_TSZ_RZQ",20,"4",20,504248,0,5
"y2_d009_TSZ_RZQ",21,"4",21,525848,1,1
"y2_d009_TSZ_RZQ",21,"4",21,526348,2,2
"y2_d009_TSZ_RZQ",21,"4",21,526348,0,5
"y2_d009_TSZ_RZQ",22,"4",22,546548,1,1
"y2_d009_TSZ_RZQ",22,"4",22,546998,2,2
"y2_d009_TSZ_RZQ",22,"4",22,546998,0,5
"y2_d009_TSZ_RZQ",23,"4",23,568698,1,1
"y2_d009_TSZ_RZQ",23,"4",23,569148,2,2
"y2_d009_TSZ_RZQ",23,"4",23,569148,0,5
"y2_d009_TSZ_RZQ",24,"5",24,716158,1,1
"y2_d009_TSZ_RZQ",24,"5",24,716658,2,2
"y2_d009_TSZ_RZQ",24,"5",24,716658,0,5
"y2_d009_TSZ_RZQ",25,"5",25,727058,1,1
"y2_d009_TSZ_RZQ",25,"5",25,727508,2,2
"y2_d009_TSZ_RZQ",25,"5",25,727508,0,5
"y2_d009_TSZ_RZQ",26,"5",26,740908,1,1
"y2_d009_TSZ_RZQ",26,"5",26,741358,2,2
"y2_d009_TSZ_RZQ",26,"5",26,741358,0,5
"y2_d009_TSZ_RZQ",27,"6",27,770208,1,1
"y2_d009_TSZ_RZQ",27,"6",27,770608,10,4
"y2_d009_TSZ_RZQ",27,"6",27,775458,9,2
"y2_d009_TSZ_RZQ",27,"6",27,775658,0,5
"y2_d009_TSZ_RZQ",28,"7",28,806008,1,1
"y2_d009_TSZ_RZQ",28,"7",28,806458,10,4
"y2_d009_TSZ_RZQ",28,"7",28,806508,255,16
"y2_d009_TSZ_RZQ",28,"7",28,807758,255,16
"y2_d009_TSZ_RZQ",28,"7",28,808408,255,16
"y2_d009_TSZ_RZQ",28,"7",28,808858,255,16
"y2_d009_TSZ_RZQ",28,"7",28,809058,5,2
"y2_d009_TSZ_RZQ",28,"7",28,811108,0,5
"y2_d009_TSZ_RZQ",29,"8",29,871208,1,1
"y2_d009_TSZ_RZQ",29,"8",29,871658,2,2
"y2_d009_TSZ_RZQ",29,"8",29,871658,0,5
"y2_d009_TSZ_RZQ",30,"8",30,890808,1,1
"y2_d009_TSZ_RZQ",30,"8",30,891258,2,2
"y2_d009_TSZ_RZQ",30,"8",30,891258,0,5
"y2_d009_TSZ_RZQ",31,"8",31,911058,1,1
"y2_d009_TSZ_RZQ",31,"8",31,911608,2,2
"y2_d009_TSZ_RZQ",31,"8",31,911608,0,5
"y2_d009_TSZ_RZQ",32,"8",32,931658,1,1
"y2_d009_TSZ_RZQ",32,"8",32,932058,10,4
"y2_d009_TSZ_RZQ",32,"8",32,932608,0,5
"y2_d009_TSZ_RZQ",33,"8",33,964858,1,1
"y2_d009_TSZ_RZQ",33,"8",33,965308,2,2
"y2_d009_TSZ_RZQ",33,"8",33,965308,0,5
"y2_d009_TSZ_RZQ",34,"9",34,1121858,1,1
"y2_d009_TSZ_RZQ",34,"9",34,1122358,2,2
"y2_d009_TSZ_RZQ",34,"9",34,1122358,0,5
"y2_d009_TSZ_RZQ",35,"9",35,1135508,1,1
"y2_d009_TSZ_RZQ",35,"9",35,1136008,2,2
"y2_d009_TSZ_RZQ",35,"9",35,1136008,0,5
"y2_d009_TSZ_RZQ",36,"9",36,1153008,1,1
"y2_d009_TSZ_RZQ",36,"9",36,1153508,2,2
"y2_d009_TSZ_RZQ",36,"9",36,1153508,0,5
"y2_d009_TSZ_RZQ",37,"9",37,1167858,1,1
"y2_d009_TSZ_RZQ",37,"9",37,1168308,2,2
"y2_d009_TSZ_RZQ",37,"9",37,1168308,0,5
"y2_d009_TSZ_RZQ",38,"10",38,1202258,1,1
"y2_d009_TSZ_RZQ",38,"10",38,1202758,2,2
"y2_d009_TSZ_RZQ",38,"10",38,1202758,0,5
"y2_d009_TSZ_RZQ",39,"10",39,1223358,1,1
"y2_d009_TSZ_RZQ",39,"10",39,1223858,2,2
"y2_d009_TSZ_RZQ",39,"10",39,1223858,0,5
"y2_d009_TSZ_RZQ",40,"10",40,1250458,1,1
"y2_d009_TSZ_RZQ",40,"10",40,1250958,2,2
"y2_d009_TSZ_RZQ",40,"10",40,1250958,0,5
"y2_d009_TSZ_RZQ",41,"10",41,1272858,1,1
"y2_d009_TSZ_RZQ",41,"10",41,1273308,2,2
"y2_d009_TSZ_RZQ",41,"10",41,1273308,0,5
"y2_d009_TSZ_RZQ",42,"11",42,1316058,1,1
"y2_d009_TSZ_RZQ",42,"11",42,1316558,2,2
"y2_d009_TSZ_RZQ",42,"11",42,1316558,0,5
"y2_d009_TSZ_RZQ",43,"11",43,1344208,1,1
"y2_d009_TSZ_RZQ",43,"11",43,1344708,2,2
"y2_d009_TSZ_RZQ",43,"11",43,1344708,0,5
