"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d038_UKI_RZQ",1,"1",1,1093,1,1
"y2_d038_UKI_RZQ",1,"1",1,1543,2,2
"y2_d038_UKI_RZQ",1,"1",1,1543,0,5
"y2_d038_UKI_RZQ",2,"1",2,11243,1,1
"y2_d038_UKI_RZQ",2,"1",2,11693,2,2
"y2_d038_UKI_RZQ",2,"1",2,11693,0,5
"y2_d038_UKI_RZQ",3,"1",3,21893,1,1
"y2_d038_UKI_RZQ",3,"1",3,22293,10,4
"y2_d038_UKI_RZQ",3,"1",3,23193,0,5
"y2_d038_UKI_RZQ",4,"1",4,39743,1,1
"y2_d038_UKI_RZQ",4,"1",4,40143,10,4
"y2_d038_UKI_RZQ",4,"1",4,40193,255,16
"y2_d038_UKI_RZQ",4,"1",4,41893,255,16
"y2_d038_UKI_RZQ",4,"1",4,42493,4,2
"y2_d038_UKI_RZQ",4,"1",4,42993,4,3
"y2_d038_UKI_RZQ",4,"1",4,43993,3,2
"y2_d038_UKI_RZQ",4,"1",4,44493,0,5
"y2_d038_UKI_RZQ",5,"2",5,68443,1,1
"y2_d038_UKI_RZQ",5,"2",5,68893,2,2
"y2_d038_UKI_RZQ",5,"2",5,68893,0,5
"y2_d038_UKI_RZQ",6,"2",6,83843,1,1
"y2_d038_UKI_RZQ",6,"2",6,84343,2,2
"y2_d038_UKI_RZQ",6,"2",6,84343,0,5
"y2_d038_UKI_RZQ",7,"2",7,93793,1,1
"y2_d038_UKI_RZQ",7,"2",7,94293,10,4
"y2_d038_UKI_RZQ",7,"2",7,96693,255,16
"y2_d038_UKI_RZQ",7,"2",7,97593,255,16
"y2_d038_UKI_RZQ",7,"2",7,98143,255,16
"y2_d038_UKI_RZQ",7,"2",7,98543,8,2
"y2_d038_UKI_RZQ",7,"2",7,101143,8,3
"y2_d038_UKI_RZQ",7,"2",7,102343,6,2
"y2_d038_UKI_RZQ",7,"2",7,102693,0,5
"y2_d038_UKI_RZQ",8,"3",8,131243,1,1
"y2_d038_UKI_RZQ",8,"3",8,131693,2,2
"y2_d038_UKI_RZQ",8,"3",8,131693,0,5
"y2_d038_UKI_RZQ",9,"3",9,150793,1,1
"y2_d038_UKI_RZQ",9,"3",9,151243,10,4
"y2_d038_UKI_RZQ",9,"3",9,152793,6,2
"y2_d038_UKI_RZQ",9,"3",9,154043,6,3
"y2_d038_UKI_RZQ",9,"3",9,155093,255,16
"y2_d038_UKI_RZQ",9,"3",9,155393,3,2
"y2_d038_UKI_RZQ",9,"3",9,155693,0,5
"y2_d038_UKI_RZQ",10,"4",10,298743,1,1
"y2_d038_UKI_RZQ",10,"4",10,299193,2,2
"y2_d038_UKI_RZQ",10,"4",10,299193,0,5
"y2_d038_UKI_RZQ",11,"4",11,310143,1,1
"y2_d038_UKI_RZQ",11,"4",11,310593,10,4
"y2_d038_UKI_RZQ",11,"4",11,310793,0,5
"y2_d038_UKI_RZQ",12,"4",12,328293,1,1
"y2_d038_UKI_RZQ",12,"4",12,328793,2,2
"y2_d038_UKI_RZQ",12,"4",12,328793,0,5
"y2_d038_UKI_RZQ",13,"4",13,342693,1,1
"y2_d038_UKI_RZQ",13,"4",13,343193,2,2
"y2_d038_UKI_RZQ",13,"4",13,343193,0,5
"y2_d038_UKI_RZQ",14,"4",14,359643,1,1
"y2_d038_UKI_RZQ",14,"4",14,360043,10,4
"y2_d038_UKI_RZQ",14,"4",14,362243,7,2
"y2_d038_UKI_RZQ",14,"4",14,362543,0,5
"y2_d038_UKI_RZQ",15,"5",15,386093,1,1
"y2_d038_UKI_RZQ",15,"5",15,386543,2,2
"y2_d038_UKI_RZQ",15,"5",15,386543,0,5
"y2_d038_UKI_RZQ",16,"5",16,397493,1,1
"y2_d038_UKI_RZQ",16,"5",16,398043,2,2
"y2_d038_UKI_RZQ",16,"5",16,398043,0,5
"y2_d038_UKI_RZQ",17,"5",17,410093,1,1
"y2_d038_UKI_RZQ",17,"5",17,410493,10,4
"y2_d038_UKI_RZQ",17,"5",17,410643,0,5
"y2_d038_UKI_RZQ",18,"5",18,432843,1,1
"y2_d038_UKI_RZQ",18,"5",18,433293,10,4
"y2_d038_UKI_RZQ",18,"5",18,435143,255,16
"y2_d038_UKI_RZQ",18,"5",18,436043,255,16
"y2_d038_UKI_RZQ",18,"5",18,436543,7,2
"y2_d038_UKI_RZQ",18,"5",18,437943,7,3
"y2_d038_UKI_RZQ",18,"5",18,439543,6,2
"y2_d038_UKI_RZQ",18,"5",18,439993,0,5
"y2_d038_UKI_RZQ",19,"6",19,467393,1,1
"y2_d038_UKI_RZQ",19,"6",19,467893,2,2
"y2_d038_UKI_RZQ",19,"6",19,467893,0,5
"y2_d038_UKI_RZQ",20,"6",20,483543,1,1
"y2_d038_UKI_RZQ",20,"6",20,484093,2,2
"y2_d038_UKI_RZQ",20,"6",20,484093,0,5
"y2_d038_UKI_RZQ",21,"6",21,503893,1,1
"y2_d038_UKI_RZQ",21,"6",21,504393,2,2
"y2_d038_UKI_RZQ",21,"6",21,504393,0,5
"y2_d038_UKI_RZQ",22,"6",22,524193,1,1
"y2_d038_UKI_RZQ",22,"6",22,524693,2,2
"y2_d038_UKI_RZQ",22,"6",22,524693,0,5
"y2_d038_UKI_RZQ",23,"6",23,545793,1,1
"y2_d038_UKI_RZQ",23,"6",23,546243,2,2
"y2_d038_UKI_RZQ",23,"6",23,546243,0,5
"y2_d038_UKI_RZQ",24,"6",24,565393,1,1
"y2_d038_UKI_RZQ",24,"6",24,565793,10,4
"y2_d038_UKI_RZQ",24,"6",24,569993,255,10
"y2_d038_UKI_RZQ",24,"6",24,570443,255,16
"y2_d038_UKI_RZQ",24,"6",24,571493,255,16
"y2_d038_UKI_RZQ",24,"6",24,571693,7,2
"y2_d038_UKI_RZQ",24,"6",24,572543,7,3
"y2_d038_UKI_RZQ",24,"6",24,573993,6,2
"y2_d038_UKI_RZQ",24,"6",24,574693,0,5
"y2_d038_UKI_RZQ",25,"7",25,614543,1,1
"y2_d038_UKI_RZQ",25,"7",25,615043,10,4
"y2_d038_UKI_RZQ",25,"7",25,615293,0,5
"y2_d038_UKI_RZQ",26,"7",26,635643,1,1
"y2_d038_UKI_RZQ",26,"7",26,636093,2,2
"y2_d038_UKI_RZQ",26,"7",26,636093,0,5
"y2_d038_UKI_RZQ",27,"7",27,655393,1,1
"y2_d038_UKI_RZQ",27,"7",27,655893,2,2
"y2_d038_UKI_RZQ",27,"7",27,655893,0,5
"y2_d038_UKI_RZQ",28,"7",28,680743,1,1
"y2_d038_UKI_RZQ",28,"7",28,681193,2,2
"y2_d038_UKI_RZQ",28,"7",28,681193,0,5
"y2_d038_UKI_RZQ",29,"7",29,703143,1,1
"y2_d038_UKI_RZQ",29,"7",29,703693,2,2
"y2_d038_UKI_RZQ",29,"7",29,703693,0,5
"y2_d038_UKI_RZQ",30,"7",30,726243,1,1
"y2_d038_UKI_RZQ",30,"7",30,726643,10,4
"y2_d038_UKI_RZQ",30,"7",30,730043,6,2
"y2_d038_UKI_RZQ",30,"7",30,731293,6,3
"y2_d038_UKI_RZQ",30,"7",30,732343,255,16
"y2_d038_UKI_RZQ",30,"7",30,732443,4,2
"y2_d038_UKI_RZQ",30,"7",30,733093,0,5
"y2_d038_UKI_RZQ",31,"8",31,770843,1,1
"y2_d038_UKI_RZQ",31,"8",31,771293,2,2
"y2_d038_UKI_RZQ",31,"8",31,771293,0,5
"y2_d038_UKI_RZQ",32,"8",32,787843,1,1
"y2_d038_UKI_RZQ",32,"8",32,788293,10,4
"y2_d038_UKI_RZQ",32,"8",32,788543,0,5
"y2_d038_UKI_RZQ",33,"8",33,821743,1,1
"y2_d038_UKI_RZQ",33,"8",33,822243,2,2
"y2_d038_UKI_RZQ",33,"8",33,822243,0,5
"y2_d038_UKI_RZQ",34,"8",34,839993,1,1
"y2_d038_UKI_RZQ",34,"8",34,840543,2,2
"y2_d038_UKI_RZQ",34,"8",34,840543,0,5
"y2_d038_UKI_RZQ",35,"8",35,861743,1,1
"y2_d038_UKI_RZQ",35,"8",35,862243,2,2
"y2_d038_UKI_RZQ",35,"8",35,862243,0,5
"y2_d038_UKI_RZQ",36,"8",36,888743,1,1
"y2_d038_UKI_RZQ",36,"8",36,889293,2,2
"y2_d038_UKI_RZQ",36,"8",36,889293,0,5
"y2_d038_UKI_RZQ",37,"9",37,922543,1,1
"y2_d038_UKI_RZQ",37,"9",37,923043,2,2
"y2_d038_UKI_RZQ",37,"9",37,923043,0,5
"y2_d038_UKI_RZQ",38,"9",38,940393,1,1
"y2_d038_UKI_RZQ",38,"9",38,940893,2,2
"y2_d038_UKI_RZQ",38,"9",38,940893,0,5
"y2_d038_UKI_RZQ",39,"9",39,964243,1,1
"y2_d038_UKI_RZQ",39,"9",39,964693,2,2
"y2_d038_UKI_RZQ",39,"9",39,964693,0,5
"y2_d038_UKI_RZQ",40,"10",40,1115143,1,1
"y2_d038_UKI_RZQ",40,"10",40,1115593,2,2
"y2_d038_UKI_RZQ",40,"10",40,1115593,0,5
"y2_d038_UKI_RZQ",41,"10",41,1125793,1,1
"y2_d038_UKI_RZQ",41,"10",41,1126243,2,2
"y2_d038_UKI_RZQ",41,"10",41,1126243,0,5
"y2_d038_UKI_RZQ",42,"10",42,1138393,1,1
"y2_d038_UKI_RZQ",42,"10",42,1138843,2,2
"y2_d038_UKI_RZQ",42,"10",42,1138843,0,5
"y2_d038_UKI_RZQ",43,"10",43,1153043,1,1
"y2_d038_UKI_RZQ",43,"10",43,1153493,2,2
"y2_d038_UKI_RZQ",43,"10",43,1153493,0,5
"y2_d038_UKI_RZQ",44,"10",44,1166443,1,1
"y2_d038_UKI_RZQ",44,"10",44,1166893,10,4
"y2_d038_UKI_RZQ",44,"10",44,1166893,0,5
"y2_d038_UKI_RZQ",45,"10",45,1186143,1,1
"y2_d038_UKI_RZQ",45,"10",45,1186543,10,4
"y2_d038_UKI_RZQ",45,"10",45,1186543,0,5
"y2_d038_UKI_RZQ",46,"10",46,1202943,1,1
"y2_d038_UKI_RZQ",46,"10",46,1203443,10,4
"y2_d038_UKI_RZQ",46,"10",46,1203593,0,5
"y2_d038_UKI_RZQ",47,"10",47,1224943,1,1
"y2_d038_UKI_RZQ",47,"10",47,1225343,10,4
"y2_d038_UKI_RZQ",47,"10",47,1229343,7,2
"y2_d038_UKI_RZQ",47,"10",47,1229593,0,5
"y2_d038_UKI_RZQ",48,"11",48,1254393,1,1
"y2_d038_UKI_RZQ",48,"11",48,1254843,2,2
"y2_d038_UKI_RZQ",48,"11",48,1254843,0,5
"y2_d038_UKI_RZQ",49,"11",49,1265243,1,1
"y2_d038_UKI_RZQ",49,"11",49,1265643,10,4
"y2_d038_UKI_RZQ",49,"11",49,1265843,255,16
"y2_d038_UKI_RZQ",49,"11",49,1266343,255,16
"y2_d038_UKI_RZQ",49,"11",49,1266793,255,16
"y2_d038_UKI_RZQ",49,"11",49,1267143,255,16
"y2_d038_UKI_RZQ",49,"11",49,1267643,255,16
"y2_d038_UKI_RZQ",49,"11",49,1270443,8,2
"y2_d038_UKI_RZQ",49,"11",49,1272393,8,3
"y2_d038_UKI_RZQ",49,"11",49,1273943,4,2
"y2_d038_UKI_RZQ",49,"11",49,1274443,0,5
"y2_d038_UKI_RZQ",50,"12",50,1303593,1,1
"y2_d038_UKI_RZQ",50,"12",50,1304043,2,2
"y2_d038_UKI_RZQ",50,"12",50,1304043,0,5
"y2_d038_UKI_RZQ",51,"12",51,1321943,1,1
"y2_d038_UKI_RZQ",51,"12",51,1322443,2,2
"y2_d038_UKI_RZQ",51,"12",51,1322443,0,5
"y2_d038_UKI_RZQ",52,"12",52,1342193,1,1
"y2_d038_UKI_RZQ",52,"12",52,1342643,10,4
"y2_d038_UKI_RZQ",52,"12",52,1342843,0,5
"y2_d038_UKI_RZQ",53,"12",53,1377393,1,1
"y2_d038_UKI_RZQ",53,"12",53,1377843,2,2
"y2_d038_UKI_RZQ",53,"12",53,1377843,0,5
"y2_d038_UKI_RZQ",54,"13",54,1406643,1,1
"y2_d038_UKI_RZQ",54,"13",54,1407093,2,2
"y2_d038_UKI_RZQ",54,"13",54,1407093,0,5
"y2_d038_UKI_RZQ",55,"13",55,1421243,1,1
"y2_d038_UKI_RZQ",55,"13",55,1421693,10,4
"y2_d038_UKI_RZQ",55,"13",55,1421993,0,5
"y2_d038_UKI_RZQ",56,"13",56,1449093,1,1
"y2_d038_UKI_RZQ",56,"13",56,1449543,10,4
"y2_d038_UKI_RZQ",56,"13",56,1449843,0,5
"y2_d038_UKI_RZQ",57,"13",57,1480893,1,1
"y2_d038_UKI_RZQ",57,"13",57,1481343,2,2
"y2_d038_UKI_RZQ",57,"13",57,1481343,0,5
"y2_d038_UKI_RZQ",58,"14",58,1628393,1,1
"y2_d038_UKI_RZQ",58,"14",58,1628893,2,2
"y2_d038_UKI_RZQ",58,"14",58,1628893,0,5
"y2_d038_UKI_RZQ",59,"14",59,1637693,1,1
"y2_d038_UKI_RZQ",59,"14",59,1638243,2,2
"y2_d038_UKI_RZQ",59,"14",59,1638243,0,5
"y2_d038_UKI_RZQ",60,"14",60,1652043,1,1
"y2_d038_UKI_RZQ",60,"14",60,1652493,2,2
