"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d095_WNA_RZQ",1,"1",1,1155,1,1
"y1_d095_WNA_RZQ",1,"1",1,1605,2,2
"y1_d095_WNA_RZQ",1,"1",1,1605,0,5
"y1_d095_WNA_RZQ",2,"1",2,14655,1,1
"y1_d095_WNA_RZQ",2,"1",2,15155,2,2
"y1_d095_WNA_RZQ",2,"1",2,15155,0,5
"y1_d095_WNA_RZQ",3,"1",3,31455,1,1
"y1_d095_WNA_RZQ",3,"1",3,31905,10,4
"y1_d095_WNA_RZQ",3,"1",3,37355,8,2
"y1_d095_WNA_RZQ",3,"1",3,37705,0,5
"y1_d095_WNA_RZQ",4,"2",4,67455,1,1
"y1_d095_WNA_RZQ",4,"2",4,67905,2,2
"y1_d095_WNA_RZQ",4,"2",4,67905,0,5
"y1_d095_WNA_RZQ",5,"2",5,81555,1,1
"y1_d095_WNA_RZQ",5,"2",5,82005,10,4
"y1_d095_WNA_RZQ",5,"2",5,82055,255,16
"y1_d095_WNA_RZQ",5,"2",5,82755,255,16
"y1_d095_WNA_RZQ",5,"2",5,83105,255,16
"y1_d095_WNA_RZQ",5,"2",5,83455,255,16
"y1_d095_WNA_RZQ",5,"2",5,84405,4,2
"y1_d095_WNA_RZQ",5,"2",5,85255,4,3
"y1_d095_WNA_RZQ",5,"2",5,86155,3,2
"y1_d095_WNA_RZQ",5,"2",5,86405,0,5
"y1_d095_WNA_RZQ",6,"3",6,120305,1,1
"y1_d095_WNA_RZQ",6,"3",6,120755,2,2
"y1_d095_WNA_RZQ",6,"3",6,120755,0,5
"y1_d095_WNA_RZQ",7,"3",7,136305,1,1
"y1_d095_WNA_RZQ",7,"3",7,136755,10,4
"y1_d095_WNA_RZQ",7,"3",7,137155,0,5
"y1_d095_WNA_RZQ",8,"3",8,157905,1,1
"y1_d095_WNA_RZQ",8,"3",8,158405,2,2
"y1_d095_WNA_RZQ",8,"3",8,158405,0,5
"y1_d095_WNA_RZQ",9,"3",9,175305,1,1
"y1_d095_WNA_RZQ",9,"3",9,175755,2,2
"y1_d095_WNA_RZQ",9,"3",9,175755,0,5
"y1_d095_WNA_RZQ",10,"3",10,200755,1,1
"y1_d095_WNA_RZQ",10,"3",10,201155,10,4
"y1_d095_WNA_RZQ",10,"3",10,201455,255,16
"y1_d095_WNA_RZQ",10,"3",10,201905,255,16
"y1_d095_WNA_RZQ",10,"3",10,202205,255,16
"y1_d095_WNA_RZQ",10,"3",10,202455,255,16
"y1_d095_WNA_RZQ",10,"3",10,202555,255,16
"y1_d095_WNA_RZQ",10,"3",10,203055,4,2
"y1_d095_WNA_RZQ",10,"3",10,204155,4,3
"y1_d095_WNA_RZQ",10,"3",10,205555,3,2
"y1_d095_WNA_RZQ",10,"3",10,205805,0,5
"y1_d095_WNA_RZQ",11,"4",11,347505,1,1
"y1_d095_WNA_RZQ",11,"4",11,348005,2,2
"y1_d095_WNA_RZQ",11,"4",11,348005,0,5
"y1_d095_WNA_RZQ",12,"4",12,358355,1,1
"y1_d095_WNA_RZQ",12,"4",12,358805,2,2
"y1_d095_WNA_RZQ",12,"4",12,358805,0,5
"y1_d095_WNA_RZQ",13,"4",13,371655,1,1
"y1_d095_WNA_RZQ",13,"4",13,372205,2,2
"y1_d095_WNA_RZQ",13,"4",13,372205,0,5
"y1_d095_WNA_RZQ",14,"4",14,383755,1,1
"y1_d095_WNA_RZQ",14,"4",14,384205,10,4
"y1_d095_WNA_RZQ",14,"4",14,384405,0,5
"y1_d095_WNA_RZQ",15,"4",15,406655,1,1
"y1_d095_WNA_RZQ",15,"4",15,407205,2,2
"y1_d095_WNA_RZQ",15,"4",15,407205,0,5
"y1_d095_WNA_RZQ",16,"4",16,427055,1,1
"y1_d095_WNA_RZQ",16,"4",16,427555,2,2
"y1_d095_WNA_RZQ",16,"4",16,427555,0,5
"y1_d095_WNA_RZQ",17,"5",17,455005,1,1
"y1_d095_WNA_RZQ",17,"5",17,455455,2,2
"y1_d095_WNA_RZQ",17,"5",17,455455,0,5
"y1_d095_WNA_RZQ",18,"5",18,465155,1,1
"y1_d095_WNA_RZQ",18,"5",18,465705,2,2
"y1_d095_WNA_RZQ",18,"5",18,465705,0,5
"y1_d095_WNA_RZQ",19,"5",19,480355,1,1
"y1_d095_WNA_RZQ",19,"5",19,480805,10,4
"y1_d095_WNA_RZQ",19,"5",19,480855,255,16
"y1_d095_WNA_RZQ",19,"5",19,481405,255,16
"y1_d095_WNA_RZQ",19,"5",19,481905,255,16
"y1_d095_WNA_RZQ",19,"5",19,482255,255,16
"y1_d095_WNA_RZQ",19,"5",19,482355,4,2
"y1_d095_WNA_RZQ",19,"5",19,483705,4,3
"y1_d095_WNA_RZQ",19,"5",19,484755,3,2
"y1_d095_WNA_RZQ",19,"5",19,485005,0,5
"y1_d095_WNA_RZQ",20,"6",20,510555,1,1
"y1_d095_WNA_RZQ",20,"6",20,511055,2,2
"y1_d095_WNA_RZQ",20,"6",20,511055,0,5
"y1_d095_WNA_RZQ",21,"6",21,523655,1,1
"y1_d095_WNA_RZQ",21,"6",21,524105,10,4
"y1_d095_WNA_RZQ",21,"6",21,524455,0,5
"y1_d095_WNA_RZQ",22,"6",22,541855,1,1
"y1_d095_WNA_RZQ",22,"6",22,542405,2,2
"y1_d095_WNA_RZQ",22,"6",22,542405,0,5
"y1_d095_WNA_RZQ",23,"\N",23,558305,1,1
"y1_d095_WNA_RZQ",23,"\N",23,558805,10,4
"y1_d095_WNA_RZQ",23,"\N",23,558855,255,16
"y1_d095_WNA_RZQ",23,"\N",23,560355,255,16
"y1_d095_WNA_RZQ",23,"\N",23,560755,1,2
"y1_d095_WNA_RZQ",23,"\N",23,561955,1,3
"y1_d095_WNA_RZQ",23,"\N",23,562755,255,16
"y1_d095_WNA_RZQ",23,"\N",23,562855,3,2
"y1_d095_WNA_RZQ",23,"\N",23,563105,0,5
"y1_d095_WNA_RZQ",24,"7",24,720405,1,1
"y1_d095_WNA_RZQ",24,"7",24,720855,10,4
"y1_d095_WNA_RZQ",24,"7",24,721305,0,5
"y1_d095_WNA_RZQ",25,"7",25,746255,1,1
"y1_d095_WNA_RZQ",25,"7",25,746705,10,4
"y1_d095_WNA_RZQ",25,"7",25,747405,0,5
"y1_d095_WNA_RZQ",26,"7",26,768155,1,1
"y1_d095_WNA_RZQ",26,"7",26,768655,2,2
"y1_d095_WNA_RZQ",26,"7",26,768655,0,5
"y1_d095_WNA_RZQ",27,"7",27,791555,1,1
"y1_d095_WNA_RZQ",27,"7",27,792005,10,4
"y1_d095_WNA_RZQ",27,"7",27,793355,5,2
"y1_d095_WNA_RZQ",27,"7",27,793955,0,5
"y1_d095_WNA_RZQ",28,"8",28,824505,1,1
"y1_d095_WNA_RZQ",28,"8",28,824955,2,2
"y1_d095_WNA_RZQ",28,"8",28,824955,0,5
"y1_d095_WNA_RZQ",29,"8",29,839055,1,1
"y1_d095_WNA_RZQ",29,"8",29,839505,2,2
"y1_d095_WNA_RZQ",29,"8",29,839505,0,5
"y1_d095_WNA_RZQ",30,"8",30,857605,1,1
"y1_d095_WNA_RZQ",30,"8",30,858055,2,2
"y1_d095_WNA_RZQ",30,"8",30,858055,0,5
"y1_d095_WNA_RZQ",31,"8",31,874955,1,1
"y1_d095_WNA_RZQ",31,"8",31,875405,10,4
"y1_d095_WNA_RZQ",31,"8",31,875755,0,5
"y1_d095_WNA_RZQ",32,"8",32,898805,1,1
"y1_d095_WNA_RZQ",32,"8",32,899205,10,4
"y1_d095_WNA_RZQ",32,"8",32,899255,255,16
"y1_d095_WNA_RZQ",32,"8",32,900905,5,2
"y1_d095_WNA_RZQ",32,"8",32,902255,5,3
"y1_d095_WNA_RZQ",32,"8",32,903255,3,2
"y1_d095_WNA_RZQ",32,"8",32,903405,0,5
"y1_d095_WNA_RZQ",33,"9",33,936505,1,1
"y1_d095_WNA_RZQ",33,"9",33,937005,2,2
"y1_d095_WNA_RZQ",33,"9",33,937005,0,5
"y1_d095_WNA_RZQ",34,"9",34,951055,1,1
"y1_d095_WNA_RZQ",34,"9",34,951455,10,4
"y1_d095_WNA_RZQ",34,"9",34,951955,0,5
"y1_d095_WNA_RZQ",35,"9",35,973805,1,1
"y1_d095_WNA_RZQ",35,"9",35,974205,10,4
"y1_d095_WNA_RZQ",35,"9",35,974455,0,5
"y1_d095_WNA_RZQ",36,"9",36,997855,1,1
"y1_d095_WNA_RZQ",36,"9",36,998255,10,4
"y1_d095_WNA_RZQ",36,"9",36,998455,255,16
"y1_d095_WNA_RZQ",36,"9",36,998955,255,16
"y1_d095_WNA_RZQ",36,"9",36,999405,255,16
"y1_d095_WNA_RZQ",36,"9",36,999555,3,2
"y1_d095_WNA_RZQ",36,"9",36,1003005,0,5
"y1_d095_WNA_RZQ",37,"10",37,1130855,1,1
"y1_d095_WNA_RZQ",37,"10",37,1131355,2,2
"y1_d095_WNA_RZQ",37,"10",37,1131355,0,5
"y1_d095_WNA_RZQ",38,"10",38,1140855,1,1
"y1_d095_WNA_RZQ",38,"10",38,1141305,10,4
"y1_d095_WNA_RZQ",38,"10",38,1141555,0,5
"y1_d095_WNA_RZQ",39,"10",39,1158155,1,1
"y1_d095_WNA_RZQ",39,"10",39,1158655,10,4
"y1_d095_WNA_RZQ",39,"10",39,1158705,255,16
"y1_d095_WNA_RZQ",39,"10",39,1159805,255,16
"y1_d095_WNA_RZQ",39,"10",39,1160205,3,9
"y1_d095_WNA_RZQ",39,"10",39,1160605,255,16
"y1_d095_WNA_RZQ",39,"10",39,1161455,3,2
"y1_d095_WNA_RZQ",39,"10",39,1161705,3,3
"y1_d095_WNA_RZQ",39,"10",39,1162555,1,2
"y1_d095_WNA_RZQ",39,"10",39,1162855,0,5
"y1_d095_WNA_RZQ",40,"11",40,1195805,1,1
"y1_d095_WNA_RZQ",40,"11",40,1196355,2,2
"y1_d095_WNA_RZQ",40,"11",40,1196355,0,5
"y1_d095_WNA_RZQ",41,"11",41,1206605,1,1
"y1_d095_WNA_RZQ",41,"11",41,1207205,2,2
"y1_d095_WNA_RZQ",41,"11",41,1207205,0,5
"y1_d095_WNA_RZQ",42,"11",42,1221755,1,1
"y1_d095_WNA_RZQ",42,"11",42,1222205,10,4
"y1_d095_WNA_RZQ",42,"11",42,1228905,7,2
"y1_d095_WNA_RZQ",42,"11",42,1229155,0,5
"y1_d095_WNA_RZQ",43,"12",43,1257355,1,1
"y1_d095_WNA_RZQ",43,"12",43,1257905,2,2
"y1_d095_WNA_RZQ",43,"12",43,1257905,0,5
"y1_d095_WNA_RZQ",44,"12",44,1271655,1,1
"y1_d095_WNA_RZQ",44,"12",44,1272205,2,2
"y1_d095_WNA_RZQ",44,"12",44,1272205,0,5
"y1_d095_WNA_RZQ",45,"12",45,1286655,1,1
"y1_d095_WNA_RZQ",45,"12",45,1287155,2,2
"y1_d095_WNA_RZQ",45,"12",45,1287155,0,5
"y1_d095_WNA_RZQ",46,"12",46,1304555,1,1
"y1_d095_WNA_RZQ",46,"12",46,1305005,2,2
"y1_d095_WNA_RZQ",46,"12",46,1305005,0,5
"y1_d095_WNA_RZQ",47,"12",47,1322405,1,1
"y1_d095_WNA_RZQ",47,"12",47,1322955,2,2
"y1_d095_WNA_RZQ",47,"12",47,1322955,0,5
"y1_d095_WNA_RZQ",48,"12",48,1340305,1,1
"y1_d095_WNA_RZQ",48,"12",48,1340755,10,4
"y1_d095_WNA_RZQ",48,"12",48,1340955,0,5
"y1_d095_WNA_RZQ",49,"12",49,1365505,1,1
"y1_d095_WNA_RZQ",49,"12",49,1365955,10,4
"y1_d095_WNA_RZQ",49,"12",49,1366655,255,16
"y1_d095_WNA_RZQ",49,"12",49,1367105,255,16
"y1_d095_WNA_RZQ",49,"12",49,1367205,4,2
"y1_d095_WNA_RZQ",49,"12",49,1368755,4,3
"y1_d095_WNA_RZQ",49,"12",49,1369855,3,2
"y1_d095_WNA_RZQ",49,"12",49,1370205,0,5
"y1_d095_WNA_RZQ",50,"13",50,1518705,1,1
"y1_d095_WNA_RZQ",50,"13",50,1519155,2,2
"y1_d095_WNA_RZQ",50,"13",50,1519155,0,5
"y1_d095_WNA_RZQ",51,"13",51,1532305,1,1
"y1_d095_WNA_RZQ",51,"13",51,1532755,10,4
"y1_d095_WNA_RZQ",51,"13",51,1533155,0,5
"y1_d095_WNA_RZQ",52,"13",52,1557455,1,1
"y1_d095_WNA_RZQ",52,"13",52,1557855,10,4
"y1_d095_WNA_RZQ",52,"13",52,1557905,255,16
"y1_d095_WNA_RZQ",52,"13",52,1559055,255,16
"y1_d095_WNA_RZQ",52,"13",52,1559955,255,16
"y1_d095_WNA_RZQ",52,"13",52,1560355,255,16
"y1_d095_WNA_RZQ",52,"13",52,1560655,255,16
"y1_d095_WNA_RZQ",52,"13",52,1560905,255,16
"y1_d095_WNA_RZQ",52,"13",52,1561105,255,16
"y1_d095_WNA_RZQ",52,"13",52,1561255,255,16
"y1_d095_WNA_RZQ",52,"13",52,1561455,255,16
"y1_d095_WNA_RZQ",52,"13",52,1562905,9,2
"y1_d095_WNA_RZQ",52,"13",52,1564605,9,3
"y1_d095_WNA_RZQ",52,"13",52,1566405,4,2
"y1_d095_WNA_RZQ",52,"13",52,1566655,0,5
"y1_d095_WNA_RZQ",53,"14",53,1600405,1,1
"y1_d095_WNA_RZQ",53,"14",53,1600905,2,2
"y1_d095_WNA_RZQ",53,"14",53,1600905,0,5
"y1_d095_WNA_RZQ",54,"14",54,1625005,1,1
"y1_d095_WNA_RZQ",54,"14",54,1625405,10,4
"y1_d095_WNA_RZQ",54,"14",54,1625455,255,16
"y1_d095_WNA_RZQ",54,"14",54,1627155,255,16
"y1_d095_WNA_RZQ",54,"14",54,1627705,4,2
"y1_d095_WNA_RZQ",54,"14",54,1628355,4,3
"y1_d095_WNA_RZQ",54,"14",54,1628905,6,2
"y1_d095_WNA_RZQ",54,"14",54,1629505,6,3
"y1_d095_WNA_RZQ",54,"14",54,1630255,3,2
"y1_d095_WNA_RZQ",54,"14",54,1630555,0,5
"y1_d095_WNA_RZQ",55,"15",55,1669055,1,1
"y1_d095_WNA_RZQ",55,"15",55,1669505,2,2
"y1_d095_WNA_RZQ",55,"15",55,1669505,0,5
"y1_d095_WNA_RZQ",56,"15",56,1691505,1,1
"y1_d095_WNA_RZQ",56,"15",56,1691955,2,2
"y1_d095_WNA_RZQ",56,"15",56,1693305,2,3
"y1_d095_WNA_RZQ",56,"15",56,1694155,3,2
"y1_d095_WNA_RZQ",56,"15",56,1694605,0,5
"y1_d095_WNA_RZQ",57,"15",57,1725805,1,1
"y1_d095_WNA_RZQ",57,"15",57,1726305,2,2
"y1_d095_WNA_RZQ",57,"15",57,1726305,0,5
"y1_d095_WNA_RZQ",58,"15",58,1754755,1,1
"y1_d095_WNA_RZQ",58,"15",58,1755255,2,2
"y1_d095_WNA_RZQ",58,"15",58,1755255,0,5
"y1_d095_WNA_RZQ",59,"15",59,1790655,1,1
"y1_d095_WNA_RZQ",59,"15",59,1791155,2,2
"y1_d095_WNA_RZQ",59,"15",59,1791855,2,3
"y1_d095_WNA_RZQ",59,"15",59,1793005,11,9
"y1_d095_WNA_RZQ",59,"15",59,1793555,255,16
"y1_d095_WNA_RZQ",59,"15",59,1798105,6,2
"y1_d095_WNA_RZQ",59,"15",59,1799405,0,5
"y1_d095_WNA_RZQ",60,"16",60,1839005,1,1
"y1_d095_WNA_RZQ",60,"16",60,1839405,10,4
"y1_d095_WNA_RZQ",60,"16",60,1839855,0,5
"y1_d095_WNA_RZQ",61,"16",61,1868305,1,1
"y1_d095_WNA_RZQ",61,"16",61,1868705,10,4
"y1_d095_WNA_RZQ",61,"16",61,1869005,0,5
"y1_d095_WNA_RZQ",62,"16",62,1899905,1,1
"y1_d095_WNA_RZQ",62,"16",62,1900405,2,2
"y1_d095_WNA_RZQ",62,"16",62,1900405,0,5
"y1_d095_WNA_RZQ",63,"16",63,1943255,1,1
"y1_d095_WNA_RZQ",63,"16",63,1943705,10,4
"y1_d095_WNA_RZQ",63,"16",63,1944155,0,5
"y1_d095_WNA_RZQ",64,"16",64,1972905,1,1
"y1_d095_WNA_RZQ",64,"16",64,1973305,10,4
"y1_d095_WNA_RZQ",64,"16",64,1973655,0,5
"y1_d095_WNA_RZQ",65,"16",65,2009855,1,1
