"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d084_YJD_RZQ",1,"1",1,26326,1,1
"y1_d084_YJD_RZQ",1,"1",1,26826,2,2
"y1_d084_YJD_RZQ",1,"1",1,26826,0,5
"y1_d084_YJD_RZQ",2,"1",2,44276,1,1
"y1_d084_YJD_RZQ",2,"1",2,44726,2,2
"y1_d084_YJD_RZQ",2,"1",2,44726,0,5
"y1_d084_YJD_RZQ",3,"1",3,60876,1,1
"y1_d084_YJD_RZQ",3,"1",3,61426,2,2
"y1_d084_YJD_RZQ",3,"1",3,61426,0,5
"y1_d084_YJD_RZQ",4,"1",4,80776,1,1
"y1_d084_YJD_RZQ",4,"1",4,81226,10,4
"y1_d084_YJD_RZQ",4,"1",4,84976,8,2
"y1_d084_YJD_RZQ",4,"1",4,85626,0,5
"y1_d084_YJD_RZQ",5,"2",5,116726,1,1
"y1_d084_YJD_RZQ",5,"2",5,117176,2,2
"y1_d084_YJD_RZQ",5,"2",5,117176,0,5
"y1_d084_YJD_RZQ",6,"2",6,129826,1,1
"y1_d084_YJD_RZQ",6,"2",6,130326,2,2
"y1_d084_YJD_RZQ",6,"2",6,130326,0,5
"y1_d084_YJD_RZQ",7,"2",7,148526,1,1
"y1_d084_YJD_RZQ",7,"2",7,148976,10,4
"y1_d084_YJD_RZQ",7,"2",7,149426,0,5
"y1_d084_YJD_RZQ",8,"2",8,174926,1,1
"y1_d084_YJD_RZQ",8,"2",8,175426,2,2
"y1_d084_YJD_RZQ",8,"2",8,175426,0,5
"y1_d084_YJD_RZQ",9,"3",9,206126,1,1
"y1_d084_YJD_RZQ",9,"3",9,206676,2,2
"y1_d084_YJD_RZQ",9,"3",9,206676,0,5
"y1_d084_YJD_RZQ",10,"3",10,219926,1,1
"y1_d084_YJD_RZQ",10,"3",10,220426,10,4
"y1_d084_YJD_RZQ",10,"3",10,220726,0,5
"y1_d084_YJD_RZQ",11,"3",11,245826,1,1
"y1_d084_YJD_RZQ",11,"3",11,246326,2,2
"y1_d084_YJD_RZQ",11,"3",11,246326,0,5
