"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d027_YUH_RZQ",1,"1",1,53934,1,1
"y2_d027_YUH_RZQ",1,"1",1,54384,2,2
"y2_d027_YUH_RZQ",1,"1",1,54384,0,5
"y2_d027_YUH_RZQ",2,"1",2,70384,1,1
"y2_d027_YUH_RZQ",2,"1",2,70834,2,2
"y2_d027_YUH_RZQ",2,"1",2,70834,0,5
"y2_d027_YUH_RZQ",3,"1",3,86434,1,1
"y2_d027_YUH_RZQ",3,"1",3,86884,2,2
"y2_d027_YUH_RZQ",3,"1",3,86884,0,5
"y2_d027_YUH_RZQ",4,"1",4,105684,1,1
"y2_d027_YUH_RZQ",4,"1",4,106134,2,2
"y2_d027_YUH_RZQ",4,"1",4,106134,0,5
"y2_d027_YUH_RZQ",5,"1",5,123934,1,1
"y2_d027_YUH_RZQ",5,"1",5,124334,10,4
"y2_d027_YUH_RZQ",5,"1",5,124484,0,5
"y2_d027_YUH_RZQ",6,"1",6,146184,1,1
"y2_d027_YUH_RZQ",6,"1",6,146634,2,2
"y2_d027_YUH_RZQ",6,"1",6,146634,0,5
"y2_d027_YUH_RZQ",7,"1",7,164234,1,1
"y2_d027_YUH_RZQ",7,"1",7,164634,10,4
"y2_d027_YUH_RZQ",7,"1",7,164684,0,5
"y2_d027_YUH_RZQ",8,"1",8,186834,1,1
"y2_d027_YUH_RZQ",8,"1",8,187284,10,4
"y2_d027_YUH_RZQ",8,"1",8,192484,8,2
"y2_d027_YUH_RZQ",8,"1",8,192784,0,5
"y2_d027_YUH_RZQ",9,"2",9,225134,1,1
"y2_d027_YUH_RZQ",9,"2",9,225634,2,2
"y2_d027_YUH_RZQ",9,"2",9,225634,0,5
"y2_d027_YUH_RZQ",10,"2",10,244834,1,1
"y2_d027_YUH_RZQ",10,"2",10,245284,2,2
"y2_d027_YUH_RZQ",10,"2",10,245284,0,5
"y2_d027_YUH_RZQ",11,"2",11,260734,1,1
"y2_d027_YUH_RZQ",11,"2",11,261134,10,4
"y2_d027_YUH_RZQ",11,"2",11,261184,0,5
"y2_d027_YUH_RZQ",12,"2",12,284934,1,1
"y2_d027_YUH_RZQ",12,"2",12,285434,2,2
"y2_d027_YUH_RZQ",12,"2",12,285434,0,5
"y2_d027_YUH_RZQ",13,"2",13,302584,1,1
"y2_d027_YUH_RZQ",13,"2",13,303034,2,2
"y2_d027_YUH_RZQ",13,"2",13,303034,0,5
"y2_d027_YUH_RZQ",14,"3",14,331334,1,1
"y2_d027_YUH_RZQ",14,"3",14,331784,2,2
"y2_d027_YUH_RZQ",14,"3",14,331784,0,5
"y2_d027_YUH_RZQ",15,"3",15,346184,1,1
"y2_d027_YUH_RZQ",15,"3",15,346584,10,4
"y2_d027_YUH_RZQ",15,"3",15,346634,0,5
"y2_d027_YUH_RZQ",16,"3",16,367884,1,1
"y2_d027_YUH_RZQ",16,"3",16,368384,2,2
"y2_d027_YUH_RZQ",16,"3",16,368384,0,5
"y2_d027_YUH_RZQ",17,"3",17,385534,1,1
"y2_d027_YUH_RZQ",17,"3",17,386034,2,2
"y2_d027_YUH_RZQ",17,"3",17,386034,0,5
"y2_d027_YUH_RZQ",18,"3",18,402884,1,1
"y2_d027_YUH_RZQ",18,"3",18,403434,2,2
"y2_d027_YUH_RZQ",18,"3",18,403434,0,5
"y2_d027_YUH_RZQ",19,"3",19,422584,1,1
"y2_d027_YUH_RZQ",19,"3",19,423034,10,4
"y2_d027_YUH_RZQ",19,"3",19,423034,0,5
"y2_d027_YUH_RZQ",20,"3",20,443834,1,1
"y2_d027_YUH_RZQ",20,"3",20,444284,2,2
"y2_d027_YUH_RZQ",20,"3",20,444284,0,5
"y2_d027_YUH_RZQ",21,"4",21,479284,1,1
"y2_d027_YUH_RZQ",21,"4",21,479734,2,2
"y2_d027_YUH_RZQ",21,"4",21,479734,0,5
"y2_d027_YUH_RZQ",22,"4",22,504134,1,1
"y2_d027_YUH_RZQ",22,"4",22,504584,2,2
"y2_d027_YUH_RZQ",22,"4",22,504584,0,5
"y2_d027_YUH_RZQ",23,"4",23,529134,1,1
"y2_d027_YUH_RZQ",23,"4",23,529634,2,2
"y2_d027_YUH_RZQ",23,"4",23,530284,2,3
"y2_d027_YUH_RZQ",23,"4",23,531184,3,2
"y2_d027_YUH_RZQ",23,"4",23,531534,0,5
"y2_d027_YUH_RZQ",24,"5",24,693884,1,1
"y2_d027_YUH_RZQ",24,"5",24,694384,2,2
"y2_d027_YUH_RZQ",24,"5",24,694384,0,5
"y2_d027_YUH_RZQ",25,"5",25,708234,1,1
"y2_d027_YUH_RZQ",25,"5",25,708634,10,4
"y2_d027_YUH_RZQ",25,"5",25,708734,0,5
"y2_d027_YUH_RZQ",26,"5",26,730634,1,1
"y2_d027_YUH_RZQ",26,"5",26,731134,2,2
"y2_d027_YUH_RZQ",26,"5",26,731134,0,5
"y2_d027_YUH_RZQ",27,"5",27,749734,1,1
"y2_d027_YUH_RZQ",27,"5",27,750134,10,4
"y2_d027_YUH_RZQ",27,"5",27,750184,255,16
"y2_d027_YUH_RZQ",27,"5",27,752034,255,16
"y2_d027_YUH_RZQ",27,"5",27,752384,4,2
