"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d025_ALA_YJD",1,"1",1,15875,1,1
"y2_d025_ALA_YJD",1,"1",1,16370,2,2
"y2_d025_ALA_YJD",1,"1",1,16370,0,5
"y2_d025_ALA_YJD",2,"1",2,27062,1,1
"y2_d025_ALA_YJD",2,"1",2,27557,2,2
"y2_d025_ALA_YJD",2,"1",2,27557,0,5
"y2_d025_ALA_YJD",3,"1",3,40724,1,1
"y2_d025_ALA_YJD",3,"1",3,41186,10,4
"y2_d025_ALA_YJD",3,"1",3,41582,0,5
"y2_d025_ALA_YJD",4,"2",4,77684,1,1
"y2_d025_ALA_YJD",4,"2",4,78179,2,2
"y2_d025_ALA_YJD",4,"2",4,78179,0,5
"y2_d025_ALA_YJD",5,"2",5,91379,1,1
"y2_d025_ALA_YJD",5,"2",5,91874,2,2
"y2_d025_ALA_YJD",5,"2",5,91874,0,5
"y2_d025_ALA_YJD",6,"2",6,105536,1,1
"y2_d025_ALA_YJD",6,"2",6,106097,2,2
"y2_d025_ALA_YJD",6,"2",6,106097,0,5
"y2_d025_ALA_YJD",7,"2",7,121277,1,1
"y2_d025_ALA_YJD",7,"2",7,121772,2,2
"y2_d025_ALA_YJD",7,"2",7,121772,0,5
"y2_d025_ALA_YJD",8,"3",8,155267,1,1
"y2_d025_ALA_YJD",8,"3",8,155861,2,2
"y2_d025_ALA_YJD",8,"3",8,155861,0,5
"y2_d025_ALA_YJD",9,"3",9,172494,1,1
"y2_d025_ALA_YJD",9,"3",9,173055,2,2
"y2_d025_ALA_YJD",9,"3",9,173055,0,5
"y2_d025_ALA_YJD",10,"3",10,185991,1,1
"y2_d025_ALA_YJD",10,"3",10,186420,10,4
"y2_d025_ALA_YJD",10,"3",10,191931,9,2
"y2_d025_ALA_YJD",10,"3",10,192096,0,5
"y2_d025_ALA_YJD",11,"4",11,330564,1,1
"y2_d025_ALA_YJD",11,"4",11,330993,10,4
"y2_d025_ALA_YJD",11,"4",11,331059,0,5
"y2_d025_ALA_YJD",12,"4",12,350859,1,1
"y2_d025_ALA_YJD",12,"4",12,351321,2,2
"y2_d025_ALA_YJD",12,"4",12,351321,0,5
"y2_d025_ALA_YJD",13,"4",13,365280,1,1
"y2_d025_ALA_YJD",13,"4",13,365775,2,2
"y2_d025_ALA_YJD",13,"4",13,365775,0,5
"y2_d025_ALA_YJD",14,"4",14,381483,1,1
"y2_d025_ALA_YJD",14,"4",14,381945,10,4
"y2_d025_ALA_YJD",14,"4",14,383331,255,16
"y2_d025_ALA_YJD",14,"4",14,384057,255,16
"y2_d025_ALA_YJD",14,"4",14,384981,255,16
"y2_d025_ALA_YJD",14,"4",14,385509,255,16
"y2_d025_ALA_YJD",14,"4",14,385872,255,16
"y2_d025_ALA_YJD",14,"4",14,386169,255,16
"y2_d025_ALA_YJD",14,"4",14,386433,255,16
"y2_d025_ALA_YJD",14,"4",14,386730,8,2
"y2_d025_ALA_YJD",14,"4",14,388149,8,3
"y2_d025_ALA_YJD",14,"4",14,389271,4,2
"y2_d025_ALA_YJD",14,"4",14,389601,0,5
"y2_d025_ALA_YJD",15,"5",15,424581,1,1
"y2_d025_ALA_YJD",15,"5",15,425010,10,4
"y2_d025_ALA_YJD",15,"5",15,431082,9,2
"y2_d025_ALA_YJD",15,"5",15,431181,0,5
"y2_d025_ALA_YJD",16,"6",16,470913,1,6
"y2_d025_ALA_YJD",16,"6",16,471474,3,2
"y2_d025_ALA_YJD",16,"6",16,471705,0,5
"y2_d025_ALA_YJD",17,"6",17,490746,1,1
"y2_d025_ALA_YJD",17,"6",17,491208,2,2
"y2_d025_ALA_YJD",17,"6",17,491208,0,5
"y2_d025_ALA_YJD",18,"6",18,511602,1,1
"y2_d025_ALA_YJD",18,"6",18,512130,2,2
"y2_d025_ALA_YJD",18,"6",18,512130,0,5
"y2_d025_ALA_YJD",19,"6",19,532425,1,1
"y2_d025_ALA_YJD",19,"6",19,532887,2,2
"y2_d025_ALA_YJD",19,"6",19,532887,0,5
"y2_d025_ALA_YJD",20,"6",20,557604,1,1
"y2_d025_ALA_YJD",20,"6",20,558099,2,2
"y2_d025_ALA_YJD",20,"6",20,558099,0,5
"y2_d025_ALA_YJD",21,"6",21,579747,1,1
"y2_d025_ALA_YJD",21,"6",21,580242,2,2
"y2_d025_ALA_YJD",21,"6",21,580242,0,5
"y2_d025_ALA_YJD",22,"7",22,619116,1,1
"y2_d025_ALA_YJD",22,"7",22,619611,2,2
"y2_d025_ALA_YJD",22,"7",22,619611,0,5
"y2_d025_ALA_YJD",23,"7",23,649839,1,1
"y2_d025_ALA_YJD",23,"7",23,650268,10,4
"y2_d025_ALA_YJD",23,"7",23,650466,0,5
"y2_d025_ALA_YJD",24,"7",24,699207,1,1
"y2_d025_ALA_YJD",24,"7",24,699702,2,2
"y2_d025_ALA_YJD",24,"7",24,699702,0,5
"y2_d025_ALA_YJD",25,"7",25,719964,1,1
"y2_d025_ALA_YJD",25,"7",25,720360,10,4
"y2_d025_ALA_YJD",25,"7",25,720558,0,5
"y2_d025_ALA_YJD",26,"7",26,746595,1,1
"y2_d025_ALA_YJD",26,"7",26,746991,10,4
"y2_d025_ALA_YJD",26,"7",26,753228,7,2
"y2_d025_ALA_YJD",26,"7",26,753360,0,5
"y2_d025_ALA_YJD",27,"8",27,901035,1,1
"y2_d025_ALA_YJD",27,"8",27,901530,2,2
"y2_d025_ALA_YJD",27,"8",27,901530,0,5
"y2_d025_ALA_YJD",28,"8",28,915918,1,1
"y2_d025_ALA_YJD",28,"8",28,916347,10,4
"y2_d025_ALA_YJD",28,"8",28,916545,0,5
"y2_d025_ALA_YJD",29,"8",29,934332,1,1
"y2_d025_ALA_YJD",29,"8",29,934827,10,4
"y2_d025_ALA_YJD",29,"8",29,935388,255,16
"y2_d025_ALA_YJD",29,"8",29,936081,255,16
"y2_d025_ALA_YJD",29,"8",29,936411,255,16
"y2_d025_ALA_YJD",29,"8",29,936708,255,16
"y2_d025_ALA_YJD",29,"8",29,936972,255,16
"y2_d025_ALA_YJD",29,"8",29,937236,255,16
"y2_d025_ALA_YJD",29,"8",29,937533,255,16
"y2_d025_ALA_YJD",29,"8",29,938292,7,2
"y2_d025_ALA_YJD",29,"8",29,939546,7,3
"y2_d025_ALA_YJD",29,"8",29,941625,255,16
"y2_d025_ALA_YJD",29,"8",29,941955,4,2
"y2_d025_ALA_YJD",29,"8",29,942054,0,5
"y2_d025_ALA_YJD",30,"9",30,967695,1,1
"y2_d025_ALA_YJD",30,"9",30,968190,2,2
"y2_d025_ALA_YJD",30,"9",30,968190,0,5
"y2_d025_ALA_YJD",31,"9",31,981687,1,1
"y2_d025_ALA_YJD",31,"9",31,982248,2,2
"y2_d025_ALA_YJD",31,"9",31,982248,0,5
"y2_d025_ALA_YJD",32,"9",32,1006272,1,1
"y2_d025_ALA_YJD",32,"9",32,1006833,2,2
"y2_d025_ALA_YJD",32,"9",32,1006833,0,5
"y2_d025_ALA_YJD",33,"9",33,1020297,1,1
"y2_d025_ALA_YJD",33,"9",33,1020726,10,4
"y2_d025_ALA_YJD",33,"9",33,1027260,6,2
"y2_d025_ALA_YJD",33,"9",33,1027359,0,5
"y2_d025_ALA_YJD",34,"10",34,1056333,1,1
"y2_d025_ALA_YJD",34,"10",34,1056828,2,2
"y2_d025_ALA_YJD",34,"10",34,1056828,0,5
"y2_d025_ALA_YJD",35,"10",35,1073922,1,1
"y2_d025_ALA_YJD",35,"10",35,1074450,2,2
"y2_d025_ALA_YJD",35,"10",35,1074450,0,5
"y2_d025_ALA_YJD",36,"10",36,1097550,1,1
"y2_d025_ALA_YJD",36,"10",36,1098045,10,4
"y2_d025_ALA_YJD",36,"10",36,1098342,0,5
"y2_d025_ALA_YJD",37,"10",37,1122267,1,1
"y2_d025_ALA_YJD",37,"10",37,1122696,10,4
"y2_d025_ALA_YJD",37,"10",37,1122828,0,5
"y2_d025_ALA_YJD",38,"10",38,1147380,1,1
"y2_d025_ALA_YJD",38,"10",38,1147908,2,2
"y2_d025_ALA_YJD",38,"10",38,1147908,0,5
"y2_d025_ALA_YJD",39,"10",39,1172923,1,1
"y2_d025_ALA_YJD",39,"10",39,1173484,2,2
"y2_d025_ALA_YJD",39,"10",39,1173484,0,5
"y2_d025_ALA_YJD",40,"10",40,1191964,1,1
"y2_d025_ALA_YJD",40,"10",40,1192393,10,4
"y2_d025_ALA_YJD",40,"10",40,1194736,255,16
"y2_d025_ALA_YJD",40,"10",40,1195132,8,2
"y2_d025_ALA_YJD",40,"10",40,1196683,8,3
"y2_d025_ALA_YJD",40,"10",40,1198597,6,2
"y2_d025_ALA_YJD",40,"10",40,1198795,0,5
"y2_d025_ALA_YJD",41,"11",41,1228561,1,1
"y2_d025_ALA_YJD",41,"11",41,1229089,2,2
"y2_d025_ALA_YJD",41,"11",41,1229089,0,5
"y2_d025_ALA_YJD",42,"11",42,1245985,1,1
"y2_d025_ALA_YJD",42,"11",42,1246447,2,2
"y2_d025_ALA_YJD",42,"11",42,1246447,0,5
"y2_d025_ALA_YJD",43,"11",43,1263376,1,1
"y2_d025_ALA_YJD",43,"11",43,1263871,10,4
"y2_d025_ALA_YJD",43,"11",43,1267864,255,11
"y2_d025_ALA_YJD",43,"11",43,1268293,0,5
"y2_d025_ALA_YJD",44,"12",44,1313503,1,1
"y2_d025_ALA_YJD",44,"12",44,1313998,2,2
"y2_d025_ALA_YJD",44,"12",44,1313998,0,5
"y2_d025_ALA_YJD",45,"12",45,1327264,1,1
"y2_d025_ALA_YJD",45,"12",45,1327693,10,4
"y2_d025_ALA_YJD",45,"12",45,1327990,0,5
"y2_d025_ALA_YJD",46,"12",46,1346305,1,1
"y2_d025_ALA_YJD",46,"12",46,1346866,2,2
"y2_d025_ALA_YJD",46,"12",46,1346866,0,5
"y2_d025_ALA_YJD",47,"12",47,1363993,1,1
"y2_d025_ALA_YJD",47,"12",47,1364554,2,2
"y2_d025_ALA_YJD",47,"12",47,1364554,0,5
"y2_d025_ALA_YJD",48,"13",48,1391185,1,1
"y2_d025_ALA_YJD",48,"13",48,1391647,2,2
"y2_d025_ALA_YJD",48,"13",48,1391647,0,5
"y2_d025_ALA_YJD",49,"13",49,1405771,1,1
"y2_d025_ALA_YJD",49,"13",49,1406332,2,2
"y2_d025_ALA_YJD",49,"13",49,1406332,0,5
"y2_d025_ALA_YJD",50,"13",50,1420753,1,1
"y2_d025_ALA_YJD",50,"13",50,1421281,2,2
"y2_d025_ALA_YJD",50,"13",50,1421281,0,5
"y2_d025_ALA_YJD",51,"14",51,1557835,1,1
"y2_d025_ALA_YJD",51,"14",51,1558330,2,2
"y2_d025_ALA_YJD",51,"14",51,1558330,0,5
"y2_d025_ALA_YJD",52,"14",52,1571101,1,1
"y2_d025_ALA_YJD",52,"14",52,1571629,2,2
"y2_d025_ALA_YJD",52,"14",52,1571629,0,5
"y2_d025_ALA_YJD",53,"14",53,1588657,1,1
"y2_d025_ALA_YJD",53,"14",53,1589119,10,4
"y2_d025_ALA_YJD",53,"14",53,1589251,255,16
"y2_d025_ALA_YJD",53,"14",53,1589746,255,16
"y2_d025_ALA_YJD",53,"14",53,1590175,3,2
"y2_d025_ALA_YJD",53,"14",53,1593838,0,5
"y2_d025_ALA_YJD",54,"15",54,1623373,1,1
"y2_d025_ALA_YJD",54,"15",54,1623802,10,4
"y2_d025_ALA_YJD",54,"15",54,1623934,255,16
"y2_d025_ALA_YJD",54,"15",54,1624627,255,16
"y2_d025_ALA_YJD",54,"15",54,1625056,5,2
"y2_d025_ALA_YJD",54,"15",54,1626706,5,3
"y2_d025_ALA_YJD",54,"15",54,1628092,255,16
"y2_d025_ALA_YJD",54,"15",54,1628224,3,2
"y2_d025_ALA_YJD",54,"15",54,1629280,0,5
"y2_d025_ALA_YJD",55,"16",55,1666108,1,1
"y2_d025_ALA_YJD",55,"16",55,1666570,2,2
"y2_d025_ALA_YJD",55,"16",55,1666570,0,5
"y2_d025_ALA_YJD",56,"16",56,1678846,1,1
"y2_d025_ALA_YJD",56,"16",56,1679341,10,4
"y2_d025_ALA_YJD",56,"16",56,1680430,255,16
"y2_d025_ALA_YJD",56,"16",56,1681123,255,16
"y2_d025_ALA_YJD",56,"16",56,1684819,8,2
"y2_d025_ALA_YJD",56,"16",56,1686172,8,3
"y2_d025_ALA_YJD",56,"16",56,1687657,6,2
"y2_d025_ALA_YJD",56,"16",56,1687921,0,5
"y2_d025_ALA_YJD",57,"17",57,1727224,1,1
"y2_d025_ALA_YJD",57,"17",57,1727653,10,4
"y2_d025_ALA_YJD",57,"17",57,1727851,255,16
"y2_d025_ALA_YJD",57,"17",57,1728280,255,16
"y2_d025_ALA_YJD",57,"17",57,1728808,255,16
"y2_d025_ALA_YJD",57,"17",57,1729270,6,2
"y2_d025_ALA_YJD",57,"17",57,1730392,6,3
"y2_d025_ALA_YJD",57,"17",57,1731019,4,2
"y2_d025_ALA_YJD",57,"17",57,1731646,0,5
"y2_d025_ALA_YJD",58,"18",58,1861864,1,1
"y2_d025_ALA_YJD",58,"18",58,1862392,2,2
"y2_d025_ALA_YJD",58,"18",58,1862392,0,5
"y2_d025_ALA_YJD",59,"18",59,1874074,1,1
"y2_d025_ALA_YJD",59,"18",59,1874635,2,2
"y2_d025_ALA_YJD",59,"18",59,1874635,0,5
"y2_d025_ALA_YJD",60,"18",60,1888891,1,1
"y2_d025_ALA_YJD",60,"18",60,1889386,2,2
"y2_d025_ALA_YJD",60,"18",60,1889386,0,5
"y2_d025_ALA_YJD",61,"18",61,1900903,1,1
"y2_d025_ALA_YJD",61,"18",61,1901398,2,2
"y2_d025_ALA_YJD",61,"18",61,1901398,0,5
"y2_d025_ALA_YJD",62,"18",62,1912123,1,1
"y2_d025_ALA_YJD",62,"18",62,1912552,10,4
"y2_d025_ALA_YJD",62,"18",62,1917205,7,2
"y2_d025_ALA_YJD",62,"18",62,1917601,0,5
"y2_d025_ALA_YJD",63,"19",63,1944562,1,1
"y2_d025_ALA_YJD",63,"19",63,1945156,2,2
"y2_d025_ALA_YJD",63,"19",63,1945156,0,5
"y2_d025_ALA_YJD",64,"19",64,1956805,1,1
"y2_d025_ALA_YJD",64,"19",64,1957333,2,2
"y2_d025_ALA_YJD",64,"19",64,1957333,0,5
"y2_d025_ALA_YJD",65,"19",65,1974691,1,1
"y2_d025_ALA_YJD",65,"19",65,1975252,2,2
"y2_d025_ALA_YJD",65,"19",65,1975252,0,5
"y2_d025_ALA_YJD",66,"19",66,1990663,1,1
"y2_d025_ALA_YJD",66,"19",66,1991125,10,4
"y2_d025_ALA_YJD",66,"19",66,1993204,255,16
"y2_d025_ALA_YJD",66,"19",66,1994194,255,16
"y2_d025_ALA_YJD",66,"19",66,1994788,255,16
"y2_d025_ALA_YJD",66,"19",66,1995184,255,16
"y2_d025_ALA_YJD",66,"19",66,1995217,255,16
"y2_d025_ALA_YJD",66,"19",66,1995448,255,16
"y2_d025_ALA_YJD",66,"19",66,1996009,7,2
"y2_d025_ALA_YJD",66,"19",66,1996768,7,3
