"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d029_CMS_YJD",1,"1",1,41577,1,1
"y1_d029_CMS_YJD",1,"1",1,42027,2,2
"y1_d029_CMS_YJD",1,"1",1,42027,0,5
"y1_d029_CMS_YJD",2,"1",2,54677,1,1
"y1_d029_CMS_YJD",2,"1",2,55077,10,4
"y1_d029_CMS_YJD",2,"1",2,61027,9,2
"y1_d029_CMS_YJD",2,"1",2,61227,0,5
"y1_d029_CMS_YJD",3,"2",3,92877,1,1
"y1_d029_CMS_YJD",3,"2",3,93277,10,4
"y1_d029_CMS_YJD",3,"2",3,93427,0,5
"y1_d029_CMS_YJD",4,"2",4,113977,1,1
"y1_d029_CMS_YJD",4,"2",4,114377,2,2
"y1_d029_CMS_YJD",4,"2",4,114377,0,5
"y1_d029_CMS_YJD",5,"2",5,128027,1,1
"y1_d029_CMS_YJD",5,"2",5,128577,2,2
"y1_d029_CMS_YJD",5,"2",5,128577,0,5
"y1_d029_CMS_YJD",6,"2",6,143927,1,1
"y1_d029_CMS_YJD",6,"2",6,144327,10,4
"y1_d029_CMS_YJD",6,"2",6,144477,0,5
"y1_d029_CMS_YJD",7,"2",7,168827,1,1
"y1_d029_CMS_YJD",7,"2",7,169227,2,2
"y1_d029_CMS_YJD",7,"2",7,169227,0,5
"y1_d029_CMS_YJD",8,"2",8,186677,1,1
"y1_d029_CMS_YJD",8,"2",8,187177,2,2
"y1_d029_CMS_YJD",8,"2",8,187177,0,5
"y1_d029_CMS_YJD",9,"3",9,218477,1,1
"y1_d029_CMS_YJD",9,"3",9,218877,10,4
"y1_d029_CMS_YJD",9,"3",9,220827,255,16
"y1_d029_CMS_YJD",9,"3",9,221527,1,2
"y1_d029_CMS_YJD",9,"3",9,222227,1,3
"y1_d029_CMS_YJD",9,"3",9,223327,3,2
"y1_d029_CMS_YJD",9,"3",9,223927,0,5
"y1_d029_CMS_YJD",10,"4",10,385927,1,1
"y1_d029_CMS_YJD",10,"4",10,386427,2,2
"y1_d029_CMS_YJD",10,"4",10,386427,0,5
"y1_d029_CMS_YJD",11,"4",11,398077,1,1
"y1_d029_CMS_YJD",11,"4",11,398527,2,2
"y1_d029_CMS_YJD",11,"4",11,398527,0,5
"y1_d029_CMS_YJD",12,"4",12,413877,1,1
"y1_d029_CMS_YJD",12,"4",12,414277,10,4
"y1_d029_CMS_YJD",12,"4",12,415927,255,16
"y1_d029_CMS_YJD",12,"4",12,416277,4,2
"y1_d029_CMS_YJD",12,"4",12,417277,4,3
"y1_d029_CMS_YJD",12,"4",12,418177,3,2
"y1_d029_CMS_YJD",12,"4",12,418477,0,5
"y1_d029_CMS_YJD",13,"5",13,448477,1,1
"y1_d029_CMS_YJD",13,"5",13,448927,10,4
"y1_d029_CMS_YJD",13,"5",13,449077,0,5
"y1_d029_CMS_YJD",14,"5",14,481877,1,1
"y1_d029_CMS_YJD",14,"5",14,482327,2,2
"y1_d029_CMS_YJD",14,"5",14,482327,0,5
"y1_d029_CMS_YJD",15,"5",15,501977,1,1
"y1_d029_CMS_YJD",15,"5",15,502377,10,4
"y1_d029_CMS_YJD",15,"5",15,502927,0,5
"y1_d029_CMS_YJD",16,"5",16,529827,1,1
"y1_d029_CMS_YJD",16,"5",16,530277,2,2
"y1_d029_CMS_YJD",16,"5",16,530277,0,5
"y1_d029_CMS_YJD",17,"5",17,551277,1,1
"y1_d029_CMS_YJD",17,"5",17,551727,10,4
"y1_d029_CMS_YJD",17,"5",17,551877,0,5
"y1_d029_CMS_YJD",18,"5",18,579227,1,1
"y1_d029_CMS_YJD",18,"5",18,579727,10,4
"y1_d029_CMS_YJD",18,"5",18,579827,0,5
"y1_d029_CMS_YJD",19,"5",19,601527,1,1
"y1_d029_CMS_YJD",19,"5",19,602077,2,2
"y1_d029_CMS_YJD",19,"5",19,602077,0,5
