"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d011_GEA_YJD",1,"1",1,50073,1,1
"y1_d011_GEA_YJD",1,"1",1,50523,2,2
"y1_d011_GEA_YJD",1,"1",1,50523,0,5
"y1_d011_GEA_YJD",2,"1",2,109523,1,1
"y1_d011_GEA_YJD",2,"1",2,109973,2,2
"y1_d011_GEA_YJD",2,"1",2,109973,0,5
"y1_d011_GEA_YJD",3,"1",3,127123,1,1
"y1_d011_GEA_YJD",3,"1",3,127523,10,4
"y1_d011_GEA_YJD",3,"1",3,130473,4,2
"y1_d011_GEA_YJD",3,"1",3,130723,0,5
"y1_d011_GEA_YJD",4,"2",4,159973,1,1
"y1_d011_GEA_YJD",4,"2",4,160423,2,2
"y1_d011_GEA_YJD",4,"2",4,160423,0,5
"y1_d011_GEA_YJD",5,"2",5,170723,1,1
"y1_d011_GEA_YJD",5,"2",5,171173,10,4
"y1_d011_GEA_YJD",5,"2",5,174623,255,16
"y1_d011_GEA_YJD",5,"2",5,176373,255,16
"y1_d011_GEA_YJD",5,"2",5,177523,9,2
"y1_d011_GEA_YJD",5,"2",5,178373,9,3
"y1_d011_GEA_YJD",5,"2",5,179973,255,16
"y1_d011_GEA_YJD",5,"2",5,180423,4,2
"y1_d011_GEA_YJD",5,"2",5,180423,0,5
"y1_d011_GEA_YJD",6,"3",6,223723,1,1
"y1_d011_GEA_YJD",6,"3",6,224123,10,4
"y1_d011_GEA_YJD",6,"3",6,224523,255,16
"y1_d011_GEA_YJD",6,"3",6,224823,1,9
"y1_d011_GEA_YJD",6,"3",6,226373,1,2
"y1_d011_GEA_YJD",6,"3",6,227423,1,3
"y1_d011_GEA_YJD",6,"3",6,228073,3,2
"y1_d011_GEA_YJD",6,"3",6,228373,0,5
"y1_d011_GEA_YJD",7,"4",7,270523,1,1
"y1_d011_GEA_YJD",7,"4",7,270973,10,4
"y1_d011_GEA_YJD",7,"4",7,271823,0,5
"y1_d011_GEA_YJD",8,"4",8,291973,1,1
"y1_d011_GEA_YJD",8,"4",8,292473,2,2
"y1_d011_GEA_YJD",8,"4",8,292473,0,5
"y1_d011_GEA_YJD",9,"4",9,308923,1,1
"y1_d011_GEA_YJD",9,"4",9,309323,10,4
"y1_d011_GEA_YJD",9,"4",9,310673,255,16
"y1_d011_GEA_YJD",9,"4",9,311323,255,16
"y1_d011_GEA_YJD",9,"4",9,311773,255,16
"y1_d011_GEA_YJD",9,"4",9,312023,5,2
"y1_d011_GEA_YJD",9,"4",9,312823,5,3
"y1_d011_GEA_YJD",9,"4",9,313673,3,2
"y1_d011_GEA_YJD",9,"4",9,314273,0,5
"y1_d011_GEA_YJD",10,"5",10,456223,1,1
"y1_d011_GEA_YJD",10,"5",10,456673,10,4
"y1_d011_GEA_YJD",10,"5",10,460723,7,2
"y1_d011_GEA_YJD",10,"5",10,461373,0,5
"y1_d011_GEA_YJD",11,"6",11,489773,1,1
"y1_d011_GEA_YJD",11,"6",11,490273,2,2
"y1_d011_GEA_YJD",11,"6",11,490273,0,5
"y1_d011_GEA_YJD",12,"6",12,503473,1,1
"y1_d011_GEA_YJD",12,"6",12,503923,10,4
"y1_d011_GEA_YJD",12,"6",12,504373,255,16
"y1_d011_GEA_YJD",12,"6",12,504823,255,16
"y1_d011_GEA_YJD",12,"6",12,506123,5,2
"y1_d011_GEA_YJD",12,"6",12,506723,5,3
"y1_d011_GEA_YJD",12,"6",12,507873,255,16
"y1_d011_GEA_YJD",12,"6",12,508123,3,2
"y1_d011_GEA_YJD",12,"6",12,508423,0,5
"y1_d011_GEA_YJD",13,"7",13,546473,1,1
"y1_d011_GEA_YJD",13,"7",13,546873,10,4
"y1_d011_GEA_YJD",13,"7",13,547073,255,16
"y1_d011_GEA_YJD",13,"7",13,547573,255,16
"y1_d011_GEA_YJD",13,"7",13,547973,255,16
"y1_d011_GEA_YJD",13,"7",13,548473,3,2
