"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d046.5_IHI_YJD",1,"1",1,28282,1,1
"y2_d046.5_IHI_YJD",1,"1",1,28782,2,2
"y2_d046.5_IHI_YJD",1,"1",1,28782,0,5
"y2_d046.5_IHI_YJD",2,"1",2,41482,1,1
"y2_d046.5_IHI_YJD",2,"1",2,41982,2,2
"y2_d046.5_IHI_YJD",2,"1",2,41982,0,5
"y2_d046.5_IHI_YJD",3,"1",3,55282,1,1
"y2_d046.5_IHI_YJD",3,"1",3,55732,10,4
"y2_d046.5_IHI_YJD",3,"1",3,55932,0,5
"y2_d046.5_IHI_YJD",4,"1",4,73582,1,1
"y2_d046.5_IHI_YJD",4,"1",4,73982,10,4
"y2_d046.5_IHI_YJD",4,"1",4,74432,0,5
"y2_d046.5_IHI_YJD",5,"1",5,102582,1,1
"y2_d046.5_IHI_YJD",5,"1",5,103032,10,4
"y2_d046.5_IHI_YJD",5,"1",5,106082,9,2
"y2_d046.5_IHI_YJD",5,"1",5,106232,0,5
"y2_d046.5_IHI_YJD",6,"2",6,132282,1,1
"y2_d046.5_IHI_YJD",6,"2",6,132832,2,2
"y2_d046.5_IHI_YJD",6,"2",6,132832,0,5
"y2_d046.5_IHI_YJD",7,"2",7,142832,1,1
"y2_d046.5_IHI_YJD",7,"2",7,143432,2,2
"y2_d046.5_IHI_YJD",7,"2",7,143432,0,5
"y2_d046.5_IHI_YJD",8,"2",8,154632,1,1
"y2_d046.5_IHI_YJD",8,"2",8,155232,2,2
"y2_d046.5_IHI_YJD",8,"2",8,155232,0,5
"y2_d046.5_IHI_YJD",9,"2",9,165282,1,1
"y2_d046.5_IHI_YJD",9,"2",9,165782,10,4
"y2_d046.5_IHI_YJD",9,"2",9,165982,255,16
"y2_d046.5_IHI_YJD",9,"2",9,166432,255,16
"y2_d046.5_IHI_YJD",9,"2",9,166782,255,16
"y2_d046.5_IHI_YJD",9,"2",9,167132,3,2
"y2_d046.5_IHI_YJD",9,"2",9,170332,0,5
"y2_d046.5_IHI_YJD",10,"3",10,192382,1,1
"y2_d046.5_IHI_YJD",10,"3",10,192932,2,2
"y2_d046.5_IHI_YJD",10,"3",10,192932,0,5
"y2_d046.5_IHI_YJD",11,"3",11,202082,1,1
"y2_d046.5_IHI_YJD",11,"3",11,202682,2,2
"y2_d046.5_IHI_YJD",11,"3",11,202682,0,5
"y2_d046.5_IHI_YJD",12,"3",12,212382,1,1
"y2_d046.5_IHI_YJD",12,"3",12,212782,10,4
"y2_d046.5_IHI_YJD",12,"3",12,212932,0,5
"y2_d046.5_IHI_YJD",13,"3",13,225482,1,1
"y2_d046.5_IHI_YJD",13,"3",13,226032,10,4
"y2_d046.5_IHI_YJD",13,"3",13,228832,9,2
"y2_d046.5_IHI_YJD",13,"3",13,229182,0,5
"y2_d046.5_IHI_YJD",14,"4",14,391282,1,1
"y2_d046.5_IHI_YJD",14,"4",14,391832,2,2
"y2_d046.5_IHI_YJD",14,"4",14,391832,0,5
"y2_d046.5_IHI_YJD",15,"4",15,404182,1,1
"y2_d046.5_IHI_YJD",15,"4",15,404682,2,2
"y2_d046.5_IHI_YJD",15,"4",15,404682,0,5
"y2_d046.5_IHI_YJD",16,"4",16,418432,1,1
"y2_d046.5_IHI_YJD",16,"4",16,418932,2,2
"y2_d046.5_IHI_YJD",16,"4",16,418932,0,5
"y2_d046.5_IHI_YJD",17,"4",17,438682,1,1
"y2_d046.5_IHI_YJD",17,"4",17,439182,2,2
"y2_d046.5_IHI_YJD",17,"4",17,439182,0,5
"y2_d046.5_IHI_YJD",18,"4",18,460482,1,1
"y2_d046.5_IHI_YJD",18,"4",18,460882,10,4
"y2_d046.5_IHI_YJD",18,"4",18,464832,9,2
"y2_d046.5_IHI_YJD",18,"4",18,465332,0,5
"y2_d046.5_IHI_YJD",19,"5",19,498882,1,1
"y2_d046.5_IHI_YJD",19,"5",19,499282,10,4
"y2_d046.5_IHI_YJD",19,"5",19,501832,255,16
"y2_d046.5_IHI_YJD",19,"5",19,502632,8,2
"y2_d046.5_IHI_YJD",19,"5",19,504182,0,5
"y2_d046.5_IHI_YJD",20,"6",20,540032,1,1
"y2_d046.5_IHI_YJD",20,"6",20,540532,2,2
"y2_d046.5_IHI_YJD",20,"6",20,540532,0,5
"y2_d046.5_IHI_YJD",21,"6",21,559282,1,1
"y2_d046.5_IHI_YJD",21,"6",21,559782,2,2
"y2_d046.5_IHI_YJD",21,"6",21,559782,0,5
"y2_d046.5_IHI_YJD",22,"6",22,585232,1,1
"y2_d046.5_IHI_YJD",22,"6",22,585782,2,2
"y2_d046.5_IHI_YJD",22,"6",22,585782,0,5
"y2_d046.5_IHI_YJD",23,"6",23,607482,1,6
"y2_d046.5_IHI_YJD",23,"6",23,608082,3,2
"y2_d046.5_IHI_YJD",23,"6",23,608782,0,5
"y2_d046.5_IHI_YJD",24,"6",24,629032,1,6
"y2_d046.5_IHI_YJD",24,"6",24,629582,3,2
"y2_d046.5_IHI_YJD",24,"6",24,630382,3,3
"y2_d046.5_IHI_YJD",24,"6",24,631382,6,2
"y2_d046.5_IHI_YJD",24,"6",24,633182,0,5
"y2_d046.5_IHI_YJD",25,"6",25,665632,1,1
"y2_d046.5_IHI_YJD",25,"6",25,666082,10,4
"y2_d046.5_IHI_YJD",25,"6",25,666132,255,16
"y2_d046.5_IHI_YJD",25,"6",25,667782,255,16
"y2_d046.5_IHI_YJD",25,"6",25,667882,5,2
"y2_d046.5_IHI_YJD",25,"6",25,669032,5,3
"y2_d046.5_IHI_YJD",25,"6",25,670082,3,2
"y2_d046.5_IHI_YJD",25,"6",25,670332,0,5
"y2_d046.5_IHI_YJD",26,"7",26,803032,1,1
"y2_d046.5_IHI_YJD",26,"7",26,803482,2,2
"y2_d046.5_IHI_YJD",26,"7",26,803482,0,5
"y2_d046.5_IHI_YJD",27,"7",27,813582,1,1
"y2_d046.5_IHI_YJD",27,"7",27,814082,2,2
"y2_d046.5_IHI_YJD",27,"7",27,814082,0,5
"y2_d046.5_IHI_YJD",28,"7",28,823982,1,1
"y2_d046.5_IHI_YJD",28,"7",28,824382,10,4
"y2_d046.5_IHI_YJD",28,"7",28,824782,0,5
"y2_d046.5_IHI_YJD",29,"7",29,855782,1,1
"y2_d046.5_IHI_YJD",29,"7",29,856182,10,4
"y2_d046.5_IHI_YJD",29,"7",29,856482,0,5
"y2_d046.5_IHI_YJD",30,"7",30,874882,1,1
"y2_d046.5_IHI_YJD",30,"7",30,875282,10,4
"y2_d046.5_IHI_YJD",30,"7",30,875432,0,5
"y2_d046.5_IHI_YJD",31,"7",31,891682,1,1
"y2_d046.5_IHI_YJD",31,"7",31,892182,2,2
"y2_d046.5_IHI_YJD",31,"7",31,892182,0,5
"y2_d046.5_IHI_YJD",32,"7",32,906132,1,1
"y2_d046.5_IHI_YJD",32,"7",32,906582,10,4
"y2_d046.5_IHI_YJD",32,"7",32,906632,255,16
"y2_d046.5_IHI_YJD",32,"7",32,907782,255,16
"y2_d046.5_IHI_YJD",32,"7",32,908232,6,2
"y2_d046.5_IHI_YJD",32,"7",32,909482,6,3
"y2_d046.5_IHI_YJD",32,"7",32,910682,3,2
"y2_d046.5_IHI_YJD",32,"7",32,910882,0,5
"y2_d046.5_IHI_YJD",33,"8",33,938682,1,1
"y2_d046.5_IHI_YJD",33,"8",33,939182,10,4
"y2_d046.5_IHI_YJD",33,"8",33,944332,7,2
"y2_d046.5_IHI_YJD",33,"8",33,944882,0,5
"y2_d046.5_IHI_YJD",34,"9",34,976682,1,1
"y2_d046.5_IHI_YJD",34,"9",34,977182,2,2
"y2_d046.5_IHI_YJD",34,"9",34,977182,0,5
"y2_d046.5_IHI_YJD",35,"9",35,988082,1,1
"y2_d046.5_IHI_YJD",35,"9",35,988632,2,2
"y2_d046.5_IHI_YJD",35,"9",35,988632,0,5
"y2_d046.5_IHI_YJD",36,"9",36,1000982,1,1
"y2_d046.5_IHI_YJD",36,"9",36,1001532,2,2
"y2_d046.5_IHI_YJD",36,"9",36,1001532,0,5
"y2_d046.5_IHI_YJD",37,"9",37,1013082,1,1
