"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d046_IHI_YJD",1,"1",1,32730,1,1
"y2_d046_IHI_YJD",1,"1",1,33180,2,2
"y2_d046_IHI_YJD",1,"1",1,33180,0,5
"y2_d046_IHI_YJD",2,"1",2,45380,1,1
"y2_d046_IHI_YJD",2,"1",2,45830,2,2
"y2_d046_IHI_YJD",2,"1",2,45830,0,5
"y2_d046_IHI_YJD",3,"1",3,58830,1,1
"y2_d046_IHI_YJD",3,"1",3,59280,2,2
"y2_d046_IHI_YJD",3,"1",3,59280,0,5
"y2_d046_IHI_YJD",4,"1",4,74580,1,1
"y2_d046_IHI_YJD",4,"1",4,75080,2,2
"y2_d046_IHI_YJD",4,"1",4,75080,0,5
"y2_d046_IHI_YJD",5,"1",5,90480,1,1
"y2_d046_IHI_YJD",5,"1",5,90880,10,4
"y2_d046_IHI_YJD",5,"1",5,91030,255,16
"y2_d046_IHI_YJD",5,"1",5,91580,255,16
"y2_d046_IHI_YJD",5,"1",5,92030,255,16
"y2_d046_IHI_YJD",5,"1",5,92430,255,16
"y2_d046_IHI_YJD",5,"1",5,92580,5,2
"y2_d046_IHI_YJD",5,"1",5,93530,5,3
"y2_d046_IHI_YJD",5,"1",5,94930,3,2
"y2_d046_IHI_YJD",5,"1",5,95130,0,5
"y2_d046_IHI_YJD",6,"2",6,123830,1,1
"y2_d046_IHI_YJD",6,"2",6,124330,2,2
"y2_d046_IHI_YJD",6,"2",6,124330,0,5
"y2_d046_IHI_YJD",7,"2",7,160630,1,6
"y2_d046_IHI_YJD",7,"2",7,161280,3,2
"y2_d046_IHI_YJD",7,"2",7,161680,0,5
"y2_d046_IHI_YJD",8,"3",8,178930,1,1
"y2_d046_IHI_YJD",8,"3",8,179380,10,4
"y2_d046_IHI_YJD",8,"3",8,180080,255,16
"y2_d046_IHI_YJD",8,"3",8,180430,255,16
"y2_d046_IHI_YJD",8,"3",8,180780,255,16
"y2_d046_IHI_YJD",8,"3",8,180980,255,16
"y2_d046_IHI_YJD",8,"3",8,184130,9,2
"y2_d046_IHI_YJD",8,"3",8,185480,9,3
"y2_d046_IHI_YJD",8,"3",8,187130,6,2
"y2_d046_IHI_YJD",8,"3",8,187430,0,5
"y2_d046_IHI_YJD",9,"4",9,220680,1,1
"y2_d046_IHI_YJD",9,"4",9,221130,2,2
"y2_d046_IHI_YJD",9,"4",9,221230,0,5
"y2_d046_IHI_YJD",10,"4",10,239980,1,1
"y2_d046_IHI_YJD",10,"4",10,240480,2,2
"y2_d046_IHI_YJD",10,"4",10,240480,0,5
"y2_d046_IHI_YJD",11,"4",11,263280,1,1
"y2_d046_IHI_YJD",11,"4",11,263730,2,2
"y2_d046_IHI_YJD",11,"4",11,263730,0,5
"y2_d046_IHI_YJD",12,"4",12,282680,1,1
"y2_d046_IHI_YJD",12,"4",12,283130,10,4
"y2_d046_IHI_YJD",12,"4",12,283330,255,16
"y2_d046_IHI_YJD",12,"4",12,283830,255,16
"y2_d046_IHI_YJD",12,"4",12,284780,4,2
"y2_d046_IHI_YJD",12,"4",12,285430,4,3
"y2_d046_IHI_YJD",12,"4",12,286130,6,2
"y2_d046_IHI_YJD",12,"4",12,286880,6,3
"y2_d046_IHI_YJD",12,"4",12,287730,3,2
"y2_d046_IHI_YJD",12,"4",12,287930,0,5
"y2_d046_IHI_YJD",13,"5",13,424530,1,1
"y2_d046_IHI_YJD",13,"5",13,424930,10,4
"y2_d046_IHI_YJD",13,"5",13,427780,255,16
"y2_d046_IHI_YJD",13,"5",13,428830,7,2
"y2_d046_IHI_YJD",13,"5",13,430130,7,3
"y2_d046_IHI_YJD",13,"5",13,432280,255,16
"y2_d046_IHI_YJD",13,"5",13,432580,4,2
"y2_d046_IHI_YJD",13,"5",13,433480,0,5
"y2_d046_IHI_YJD",14,"6",14,461830,1,1
"y2_d046_IHI_YJD",14,"6",14,462330,2,2
"y2_d046_IHI_YJD",14,"6",14,462330,0,5
"y2_d046_IHI_YJD",15,"6",15,471980,1,1
"y2_d046_IHI_YJD",15,"6",15,472480,2,2
"y2_d046_IHI_YJD",15,"6",15,472480,0,5
"y2_d046_IHI_YJD",16,"6",16,482930,1,1
"y2_d046_IHI_YJD",16,"6",16,483380,10,4
"y2_d046_IHI_YJD",16,"6",16,488630,8,2
"y2_d046_IHI_YJD",16,"6",16,489380,0,5
"y2_d046_IHI_YJD",17,"7",17,522530,1,1
"y2_d046_IHI_YJD",17,"7",17,522980,10,4
"y2_d046_IHI_YJD",17,"7",17,523030,255,16
"y2_d046_IHI_YJD",17,"7",17,524230,255,16
"y2_d046_IHI_YJD",17,"7",17,524480,5,9
"y2_d046_IHI_YJD",17,"7",17,524980,5,9
"y2_d046_IHI_YJD",17,"7",17,525830,255,16
"y2_d046_IHI_YJD",17,"7",17,527680,5,2
"y2_d046_IHI_YJD",17,"7",17,528280,0,5
"y2_d046_IHI_YJD",18,"8",18,562580,1,1
"y2_d046_IHI_YJD",18,"8",18,563030,10,4
"y2_d046_IHI_YJD",18,"8",18,563330,0,5
"y2_d046_IHI_YJD",19,"8",19,585380,1,1
"y2_d046_IHI_YJD",19,"8",19,585830,10,4
"y2_d046_IHI_YJD",19,"8",19,585930,255,16
"y2_d046_IHI_YJD",19,"8",19,586680,255,16
"y2_d046_IHI_YJD",19,"8",19,587130,255,16
"y2_d046_IHI_YJD",19,"8",19,587480,255,16
"y2_d046_IHI_YJD",19,"8",19,587680,6,2
"y2_d046_IHI_YJD",19,"8",19,589130,6,3
"y2_d046_IHI_YJD",19,"8",19,590430,255,16
"y2_d046_IHI_YJD",19,"8",19,590830,3,2
"y2_d046_IHI_YJD",19,"8",19,591280,0,5
"y2_d046_IHI_YJD",20,"9",20,628980,1,1
"y2_d046_IHI_YJD",20,"9",20,629480,2,2
"y2_d046_IHI_YJD",20,"9",20,629480,0,5
"y2_d046_IHI_YJD",21,"9",21,659180,1,1
"y2_d046_IHI_YJD",21,"9",21,659630,10,4
"y2_d046_IHI_YJD",21,"9",21,662380,255,11
"y2_d046_IHI_YJD",21,"9",21,662880,0,5
"y2_d046_IHI_YJD",22,"10",22,701230,1,1
"y2_d046_IHI_YJD",22,"10",22,701730,2,2
"y2_d046_IHI_YJD",22,"10",22,701730,0,5
"y2_d046_IHI_YJD",23,"10",23,711680,1,1
"y2_d046_IHI_YJD",23,"10",23,712180,2,2
"y2_d046_IHI_YJD",23,"10",23,712330,0,5
"y2_d046_IHI_YJD",24,"10",24,723030,1,1
"y2_d046_IHI_YJD",24,"10",24,723530,2,2
"y2_d046_IHI_YJD",24,"10",24,723530,0,5
"y2_d046_IHI_YJD",25,"10",25,734430,1,1
"y2_d046_IHI_YJD",25,"10",25,734930,2,2
"y2_d046_IHI_YJD",25,"10",25,734930,0,5
"y2_d046_IHI_YJD",26,"10",26,746530,1,1
"y2_d046_IHI_YJD",26,"10",26,746980,10,4
"y2_d046_IHI_YJD",26,"10",26,747030,255,16
"y2_d046_IHI_YJD",26,"10",26,748030,255,16
"y2_d046_IHI_YJD",26,"10",26,748680,255,16
"y2_d046_IHI_YJD",26,"10",26,749030,6,2
