"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d008_JMJ_YJD",1,"1",1,6641,1,1
"y2_d008_JMJ_YJD",1,"1",1,7141,2,2
"y2_d008_JMJ_YJD",1,"1",1,7141,0,5
"y2_d008_JMJ_YJD",2,"1",2,19841,1,1
"y2_d008_JMJ_YJD",2,"1",2,20341,2,2
"y2_d008_JMJ_YJD",2,"1",2,20341,0,5
"y2_d008_JMJ_YJD",3,"1",3,37191,1,1
"y2_d008_JMJ_YJD",3,"1",3,37641,10,4
"y2_d008_JMJ_YJD",3,"1",3,40091,255,16
"y2_d008_JMJ_YJD",3,"1",3,40891,255,16
"y2_d008_JMJ_YJD",3,"1",3,41441,255,16
"y2_d008_JMJ_YJD",3,"1",3,41791,9,2
"y2_d008_JMJ_YJD",3,"1",3,43041,9,3
"y2_d008_JMJ_YJD",3,"1",3,44241,4,2
"y2_d008_JMJ_YJD",3,"1",3,44641,0,5
"y2_d008_JMJ_YJD",4,"2",4,67941,1,1
"y2_d008_JMJ_YJD",4,"2",4,68391,10,4
"y2_d008_JMJ_YJD",4,"2",4,68491,255,16
"y2_d008_JMJ_YJD",4,"2",4,69441,255,16
"y2_d008_JMJ_YJD",4,"2",4,69941,255,16
"y2_d008_JMJ_YJD",4,"2",4,70491,1,2
"y2_d008_JMJ_YJD",4,"2",4,72541,0,5
"y2_d008_JMJ_YJD",5,"3",5,114691,1,1
"y2_d008_JMJ_YJD",5,"3",5,115091,10,4
"y2_d008_JMJ_YJD",5,"3",5,117841,0,5
"y2_d008_JMJ_YJD",6,"3",6,137641,1,1
"y2_d008_JMJ_YJD",6,"3",6,138091,10,4
"y2_d008_JMJ_YJD",6,"3",6,138991,0,5
"y2_d008_JMJ_YJD",7,"3",7,167791,1,1
"y2_d008_JMJ_YJD",7,"3",7,168241,10,4
"y2_d008_JMJ_YJD",7,"3",7,173641,7,2
"y2_d008_JMJ_YJD",7,"3",7,174591,7,3
"y2_d008_JMJ_YJD",7,"3",7,176341,6,2
"y2_d008_JMJ_YJD",7,"3",7,176991,0,5
"y2_d008_JMJ_YJD",8,"4",8,208641,1,1
"y2_d008_JMJ_YJD",8,"4",8,209141,10,4
"y2_d008_JMJ_YJD",8,"4",8,209641,1,2
"y2_d008_JMJ_YJD",8,"4",8,210541,1,3
"y2_d008_JMJ_YJD",8,"4",8,211491,6,2
"y2_d008_JMJ_YJD",8,"4",8,212491,0,5
"y2_d008_JMJ_YJD",9,"5",9,359391,1,1
"y2_d008_JMJ_YJD",9,"5",9,359841,2,2
"y2_d008_JMJ_YJD",9,"5",9,359841,0,5
"y2_d008_JMJ_YJD",10,"5",10,370541,1,1
"y2_d008_JMJ_YJD",10,"5",10,371041,2,2
"y2_d008_JMJ_YJD",10,"5",10,371041,0,5
"y2_d008_JMJ_YJD",11,"5",11,382491,1,1
"y2_d008_JMJ_YJD",11,"5",11,382891,10,4
"y2_d008_JMJ_YJD",11,"5",11,388141,9,2
"y2_d008_JMJ_YJD",11,"5",11,390741,9,3
