"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d033_KNB_YJD",1,"1",1,6180,1,1
"y2_d033_KNB_YJD",1,"1",1,6642,2,2
"y2_d033_KNB_YJD",1,"1",1,6642,0,5
"y2_d033_KNB_YJD",2,"1",2,21492,1,1
"y2_d033_KNB_YJD",2,"1",2,21954,2,2
"y2_d033_KNB_YJD",2,"1",2,21954,0,5
"y2_d033_KNB_YJD",3,"1",3,42117,1,1
"y2_d033_KNB_YJD",3,"1",3,42612,2,2
"y2_d033_KNB_YJD",3,"1",3,42612,0,5
"y2_d033_KNB_YJD",4,"1",4,58353,1,1
"y2_d033_KNB_YJD",4,"1",4,58815,2,2
"y2_d033_KNB_YJD",4,"1",4,58815,0,5
"y2_d033_KNB_YJD",5,"2",5,91386,1,6
"y2_d033_KNB_YJD",5,"2",5,91947,3,2
"y2_d033_KNB_YJD",5,"2",5,92244,0,5
"y2_d033_KNB_YJD",6,"2",6,108348,1,1
"y2_d033_KNB_YJD",6,"2",6,108843,2,2
"y2_d033_KNB_YJD",6,"2",6,108843,0,5
"y2_d033_KNB_YJD",7,"2",7,129501,1,1
"y2_d033_KNB_YJD",7,"2",7,129963,2,2
"y2_d033_KNB_YJD",7,"2",7,129963,0,5
"y2_d033_KNB_YJD",8,"2",8,148311,1,6
"y2_d033_KNB_YJD",8,"2",8,148839,3,2
"y2_d033_KNB_YJD",8,"2",8,149268,0,5
"y2_d033_KNB_YJD",9,"2",9,171114,1,1
"y2_d033_KNB_YJD",9,"2",9,171510,10,4
"y2_d033_KNB_YJD",9,"2",9,171939,0,5
"y2_d033_KNB_YJD",10,"2",10,203322,1,1
"y2_d033_KNB_YJD",10,"2",10,203784,10,9
"y2_d033_KNB_YJD",10,"2",10,203817,0,5
"y2_d033_KNB_YJD",11,"3",11,239853,1,1
"y2_d033_KNB_YJD",11,"3",11,240381,2,2
"y2_d033_KNB_YJD",11,"3",11,240381,0,5
"y2_d033_KNB_YJD",12,"3",12,259950,1,1
"y2_d033_KNB_YJD",12,"3",12,260412,2,2
"y2_d033_KNB_YJD",12,"3",12,260412,0,5
"y2_d033_KNB_YJD",13,"3",13,322387,1,1
"y2_d033_KNB_YJD",13,"3",13,322849,2,2
"y2_d033_KNB_YJD",13,"3",13,322849,0,5
"y2_d033_KNB_YJD",14,"4",14,397231,1,1
"y2_d033_KNB_YJD",14,"4",14,397693,10,4
