"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d085.5_LFS_YJD",1,"1",1,32322,1,1
"y2_d085.5_LFS_YJD",1,"1",1,32922,2,2
"y2_d085.5_LFS_YJD",1,"1",1,32922,0,5
"y2_d085.5_LFS_YJD",2,"1",2,44472,1,1
"y2_d085.5_LFS_YJD",2,"1",2,44872,10,4
"y2_d085.5_LFS_YJD",2,"1",2,44972,0,5
"y2_d085.5_LFS_YJD",3,"1",3,63222,1,1
"y2_d085.5_LFS_YJD",3,"1",3,63722,2,2
"y2_d085.5_LFS_YJD",3,"1",3,63722,0,5
"y2_d085.5_LFS_YJD",4,"1",4,80672,1,1
"y2_d085.5_LFS_YJD",4,"1",4,81072,10,4
"y2_d085.5_LFS_YJD",4,"1",4,81272,0,5
"y2_d085.5_LFS_YJD",5,"1",5,100522,1,1
"y2_d085.5_LFS_YJD",5,"1",5,100972,10,4
"y2_d085.5_LFS_YJD",5,"1",5,105822,9,2
"y2_d085.5_LFS_YJD",5,"1",5,106172,0,5
"y2_d085.5_LFS_YJD",6,"2",6,132422,1,1
"y2_d085.5_LFS_YJD",6,"2",6,132922,2,2
"y2_d085.5_LFS_YJD",6,"2",6,132922,0,5
"y2_d085.5_LFS_YJD",7,"2",7,143972,1,1
"y2_d085.5_LFS_YJD",7,"2",7,144372,10,4
"y2_d085.5_LFS_YJD",7,"2",7,144522,0,5
"y2_d085.5_LFS_YJD",8,"2",8,315622,1,1
"y2_d085.5_LFS_YJD",8,"2",8,316022,10,4
"y2_d085.5_LFS_YJD",8,"2",8,321022,6,2
"y2_d085.5_LFS_YJD",8,"2",8,321172,0,5
"y2_d085.5_LFS_YJD",9,"3",9,345172,1,1
"y2_d085.5_LFS_YJD",9,"3",9,345722,2,2
"y2_d085.5_LFS_YJD",9,"3",9,345722,0,5
"y2_d085.5_LFS_YJD",10,"3",10,356522,1,1
"y2_d085.5_LFS_YJD",10,"3",10,357072,2,2
"y2_d085.5_LFS_YJD",10,"3",10,357072,0,5
"y2_d085.5_LFS_YJD",11,"3",11,369172,1,1
"y2_d085.5_LFS_YJD",11,"3",11,369722,2,2
"y2_d085.5_LFS_YJD",11,"3",11,369722,0,5
"y2_d085.5_LFS_YJD",12,"3",12,380172,1,1
"y2_d085.5_LFS_YJD",12,"3",12,380622,10,4
"y2_d085.5_LFS_YJD",12,"3",12,381772,0,5
"y2_d085.5_LFS_YJD",13,"3",13,396872,1,1
"y2_d085.5_LFS_YJD",13,"3",13,397372,2,2
"y2_d085.5_LFS_YJD",13,"3",13,397372,0,5
"y2_d085.5_LFS_YJD",14,"3",14,408872,1,1
"y2_d085.5_LFS_YJD",14,"3",14,409272,10,4
"y2_d085.5_LFS_YJD",14,"3",14,409472,0,5
"y2_d085.5_LFS_YJD",15,"3",15,433122,1,1
"y2_d085.5_LFS_YJD",15,"3",15,433572,10,4
"y2_d085.5_LFS_YJD",15,"3",15,433622,255,16
"y2_d085.5_LFS_YJD",15,"3",15,435722,255,16
"y2_d085.5_LFS_YJD",15,"3",15,436122,3,2
"y2_d085.5_LFS_YJD",15,"3",15,437672,0,5
"y2_d085.5_LFS_YJD",16,"4",16,587922,1,1
"y2_d085.5_LFS_YJD",16,"4",16,588422,2,2
"y2_d085.5_LFS_YJD",16,"4",16,588422,0,5
"y2_d085.5_LFS_YJD",17,"4",17,598372,1,1
"y2_d085.5_LFS_YJD",17,"4",17,598772,10,4
"y2_d085.5_LFS_YJD",17,"4",17,602022,9,2
"y2_d085.5_LFS_YJD",17,"4",17,602272,0,5
"y2_d085.5_LFS_YJD",18,"5",18,633122,1,1
"y2_d085.5_LFS_YJD",18,"5",18,633622,2,2
"y2_d085.5_LFS_YJD",18,"5",18,633622,0,5
"y2_d085.5_LFS_YJD",19,"5",19,645122,1,1
"y2_d085.5_LFS_YJD",19,"5",19,645572,10,4
"y2_d085.5_LFS_YJD",19,"5",19,645872,0,5
"y2_d085.5_LFS_YJD",20,"5",20,661472,1,1
"y2_d085.5_LFS_YJD",20,"5",20,661922,2,2
"y2_d085.5_LFS_YJD",20,"5",20,661922,0,5
