"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d006_NSO_YJD",1,"3",16,360626,1,1
"y2_d006_NSO_YJD",1,"3",16,361176,2,2
"y2_d006_NSO_YJD",1,"3",16,364776,0,5
"y2_d006_NSO_YJD",2,"3",17,393476,1,1
"y2_d006_NSO_YJD",2,"3",17,393976,2,2
"y2_d006_NSO_YJD",2,"3",17,393976,0,5
"y2_d006_NSO_YJD",3,"\N",18,426026,1,1
"y2_d006_NSO_YJD",3,"\N",18,426426,10,4
"y2_d006_NSO_YJD",3,"\N",18,427726,0,5
"y2_d006_NSO_YJD",4,"4",19,456426,1,1
"y2_d006_NSO_YJD",4,"4",19,456876,2,2
"y2_d006_NSO_YJD",4,"4",19,456876,0,5
"y2_d006_NSO_YJD",5,"4",20,471576,1,1
"y2_d006_NSO_YJD",5,"4",20,472026,10,4
"y2_d006_NSO_YJD",5,"4",20,472426,255,16
"y2_d006_NSO_YJD",5,"4",20,473176,255,16
"y2_d006_NSO_YJD",5,"4",20,473576,255,16
"y2_d006_NSO_YJD",5,"4",20,473976,255,16
"y2_d006_NSO_YJD",5,"4",20,474126,6,2
"y2_d006_NSO_YJD",5,"4",20,475076,6,3
"y2_d006_NSO_YJD",5,"4",20,476226,3,2
"y2_d006_NSO_YJD",5,"4",20,476726,0,5
"y2_d006_NSO_YJD",6,"\N",21,632626,1,1
"y2_d006_NSO_YJD",6,"\N",21,633126,2,2
"y2_d006_NSO_YJD",6,"\N",21,633126,0,5
"y2_d006_NSO_YJD",7,"5",22,643526,1,1
"y2_d006_NSO_YJD",7,"5",22,643976,10,4
"y2_d006_NSO_YJD",7,"5",22,644626,0,5
"y2_d006_NSO_YJD",8,"5",23,666876,1,1
"y2_d006_NSO_YJD",8,"5",23,667276,10,4
"y2_d006_NSO_YJD",8,"5",23,667476,0,5
"y2_d006_NSO_YJD",9,"5",24,683726,1,1
"y2_d006_NSO_YJD",9,"5",24,684176,2,2
"y2_d006_NSO_YJD",9,"5",24,684176,0,5
"y2_d006_NSO_YJD",10,"\N",25,712876,1,1
"y2_d006_NSO_YJD",10,"\N",25,713326,2,2
"y2_d006_NSO_YJD",10,"\N",25,713326,0,5
"y2_d006_NSO_YJD",11,"6",26,725126,1,1
"y2_d006_NSO_YJD",11,"6",26,725526,10,4
"y2_d006_NSO_YJD",11,"6",26,728876,255,16
"y2_d006_NSO_YJD",11,"6",26,729526,9,2
"y2_d006_NSO_YJD",11,"6",26,731826,9,3
"y2_d006_NSO_YJD",11,"6",26,733526,6,2
"y2_d006_NSO_YJD",11,"6",26,733676,0,5
"y2_d006_NSO_YJD",12,"\N",27,770826,1,1
"y2_d006_NSO_YJD",12,"\N",27,771276,2,2
"y2_d006_NSO_YJD",12,"\N",27,771276,0,5
"y2_d006_NSO_YJD",13,"7",28,792426,1,1
"y2_d006_NSO_YJD",13,"7",28,792826,10,4
"y2_d006_NSO_YJD",13,"7",28,793426,255,16
"y2_d006_NSO_YJD",13,"7",28,793876,255,16
"y2_d006_NSO_YJD",13,"7",28,794326,255,16
"y2_d006_NSO_YJD",13,"7",28,796576,9,2
"y2_d006_NSO_YJD",13,"7",28,798926,9,3
"y2_d006_NSO_YJD",13,"7",28,800576,6,2
"y2_d006_NSO_YJD",13,"7",28,800976,0,5
"y2_d006_NSO_YJD",14,"\N",29,834376,1,1
"y2_d006_NSO_YJD",14,"\N",29,834876,2,2
"y2_d006_NSO_YJD",14,"\N",29,834876,0,5
"y2_d006_NSO_YJD",15,"8",30,856976,1,1
"y2_d006_NSO_YJD",15,"8",30,857426,2,2
"y2_d006_NSO_YJD",15,"8",30,857426,0,5
"y2_d006_NSO_YJD",16,"8",31,876126,1,1
"y2_d006_NSO_YJD",16,"8",31,876626,2,2
"y2_d006_NSO_YJD",16,"8",31,876626,0,5
"y2_d006_NSO_YJD",17,"8",32,899226,1,1
"y2_d006_NSO_YJD",17,"8",32,899676,2,2
"y2_d006_NSO_YJD",17,"8",32,899676,0,5
"y2_d006_NSO_YJD",18,"\N",33,934226,1,1
"y2_d006_NSO_YJD",18,"\N",33,934726,2,2
"y2_d006_NSO_YJD",18,"\N",33,934926,0,5
"y2_d006_NSO_YJD",19,"9",34,953826,1,1
"y2_d006_NSO_YJD",19,"9",34,954326,2,2
"y2_d006_NSO_YJD",19,"9",34,954326,0,5
"y2_d006_NSO_YJD",20,"9",35,979076,1,1
"y2_d006_NSO_YJD",20,"9",35,979476,10,4
"y2_d006_NSO_YJD",20,"9",35,979776,0,5
"y2_d006_NSO_YJD",21,"9",36,1017476,1,1
"y2_d006_NSO_YJD",21,"9",36,1017926,2,2
"y2_d006_NSO_YJD",21,"9",36,1017926,0,5
"y2_d006_NSO_YJD",22,"9",37,1042626,1,1
"y2_d006_NSO_YJD",22,"9",37,1043076,10,4
"y2_d006_NSO_YJD",22,"9",37,1043226,0,5
"y2_d006_NSO_YJD",23,"9",38,1071276,1,1
"y2_d006_NSO_YJD",23,"9",38,1071676,10,4
"y2_d006_NSO_YJD",23,"9",38,1072876,0,5
"y2_d006_NSO_YJD",24,"9",39,1105176,1,1
"y2_d006_NSO_YJD",24,"9",39,1105676,2,2
"y2_d006_NSO_YJD",24,"9",39,1105676,0,5
"y2_d006_NSO_YJD",25,"\N",40,1253926,1,1
"y2_d006_NSO_YJD",25,"\N",40,1254476,2,2
"y2_d006_NSO_YJD",25,"\N",40,1254476,0,5
"y2_d006_NSO_YJD",26,"10",41,1271826,1,1
"y2_d006_NSO_YJD",26,"10",41,1272376,2,2
"y2_d006_NSO_YJD",26,"10",41,1272376,0,5
"y2_d006_NSO_YJD",27,"10",42,1286576,1,1
"y2_d006_NSO_YJD",27,"10",42,1287076,2,2
"y2_d006_NSO_YJD",27,"10",42,1287076,0,5
"y2_d006_NSO_YJD",28,"10",43,1300526,1,1
"y2_d006_NSO_YJD",28,"10",43,1301026,10,4
"y2_d006_NSO_YJD",28,"10",43,1301076,255,16
"y2_d006_NSO_YJD",28,"10",43,1301876,255,16
"y2_d006_NSO_YJD",28,"10",43,1302426,255,16
"y2_d006_NSO_YJD",28,"10",43,1302576,3,9
"y2_d006_NSO_YJD",28,"10",43,1303726,3,2
"y2_d006_NSO_YJD",28,"10",43,1304176,3,3
"y2_d006_NSO_YJD",28,"10",43,1305026,1,2
"y2_d006_NSO_YJD",28,"10",43,1305576,0,5
"y2_d006_NSO_YJD",29,"\N",44,1333576,1,1
"y2_d006_NSO_YJD",29,"\N",44,1334026,2,2
"y2_d006_NSO_YJD",29,"\N",44,1334026,0,5
"y2_d006_NSO_YJD",30,"11",45,1344176,1,1
"y2_d006_NSO_YJD",30,"11",45,1344676,2,2
"y2_d006_NSO_YJD",30,"11",45,1344676,0,5
"y2_d006_NSO_YJD",31,"11",46,1356126,1,1
"y2_d006_NSO_YJD",31,"11",46,1356576,10,4
"y2_d006_NSO_YJD",31,"11",46,1362376,8,2
"y2_d006_NSO_YJD",31,"11",46,1362726,0,5
"y2_d006_NSO_YJD",32,"\N",47,1392276,1,1
"y2_d006_NSO_YJD",32,"\N",47,1392726,2,2
"y2_d006_NSO_YJD",32,"\N",47,1392726,0,5
"y2_d006_NSO_YJD",33,"12",48,1405926,1,1
"y2_d006_NSO_YJD",33,"12",48,1406376,10,4
"y2_d006_NSO_YJD",33,"12",48,1407226,0,5
"y2_d006_NSO_YJD",34,"12",49,1427626,1,1
"y2_d006_NSO_YJD",34,"12",49,1428076,10,4
"y2_d006_NSO_YJD",34,"12",49,1428126,255,16
"y2_d006_NSO_YJD",34,"12",49,1429126,255,16
"y2_d006_NSO_YJD",34,"12",49,1429626,255,16
"y2_d006_NSO_YJD",34,"12",49,1430076,3,2
"y2_d006_NSO_YJD",34,"12",49,1430876,3,3
"y2_d006_NSO_YJD",34,"12",49,1431676,1,2
"y2_d006_NSO_YJD",34,"12",49,1432426,0,5
"y2_d006_NSO_YJD",35,"\N",50,1577826,1,1
"y2_d006_NSO_YJD",35,"\N",50,1578226,10,4
"y2_d006_NSO_YJD",35,"\N",50,1580176,255,16
"y2_d006_NSO_YJD",35,"\N",50,1580926,255,16
"y2_d006_NSO_YJD",35,"\N",50,1582476,8,2
"y2_d006_NSO_YJD",35,"\N",50,1583726,8,3
"y2_d006_NSO_YJD",35,"\N",50,1585376,4,2
"y2_d006_NSO_YJD",35,"\N",50,1585976,0,5
"y2_d006_NSO_YJD",36,"\N",51,1615476,1,1
"y2_d006_NSO_YJD",36,"\N",51,1615976,2,2
"y2_d006_NSO_YJD",36,"\N",51,1615976,0,5
"y2_d006_NSO_YJD",37,"\N",52,1637526,1,6
"y2_d006_NSO_YJD",37,"\N",52,1638126,3,2
"y2_d006_NSO_YJD",37,"\N",52,1638526,0,5
"y2_d006_NSO_YJD",38,"14",53,1660576,1,1
"y2_d006_NSO_YJD",38,"14",53,1661026,10,4
"y2_d006_NSO_YJD",38,"14",53,1664276,255,16
"y2_d006_NSO_YJD",38,"14",53,1664926,7,2
"y2_d006_NSO_YJD",38,"14",53,1665876,7,3
"y2_d006_NSO_YJD",38,"14",53,1667626,6,2
"y2_d006_NSO_YJD",38,"14",53,1668276,0,5
"y2_d006_NSO_YJD",39,"\N",54,1703126,1,1
"y2_d006_NSO_YJD",39,"\N",54,1703676,2,2
"y2_d006_NSO_YJD",39,"\N",54,1703676,0,5
"y2_d006_NSO_YJD",40,"15",55,1729426,1,1
"y2_d006_NSO_YJD",40,"15",55,1729876,2,2
"y2_d006_NSO_YJD",40,"15",55,1730576,2,3
"y2_d006_NSO_YJD",40,"15",55,1731476,3,2
"y2_d006_NSO_YJD",40,"15",55,1732276,0,5
"y2_d006_NSO_YJD",41,"15",56,1759226,1,1
"y2_d006_NSO_YJD",41,"15",56,1759726,2,2
"y2_d006_NSO_YJD",41,"15",56,1759726,0,5
"y2_d006_NSO_YJD",42,"15",57,1779576,1,1
"y2_d006_NSO_YJD",42,"15",57,1780026,2,2
"y2_d006_NSO_YJD",42,"15",57,1780026,0,5
"y2_d006_NSO_YJD",43,"15",58,1800076,1,1
"y2_d006_NSO_YJD",43,"15",58,1800526,2,2
"y2_d006_NSO_YJD",43,"15",58,1800526,0,5
"y2_d006_NSO_YJD",44,"15",59,1823176,1,1
"y2_d006_NSO_YJD",44,"15",59,1823676,2,2
"y2_d006_NSO_YJD",44,"15",59,1823676,0,5
"y2_d006_NSO_YJD",45,"\N",60,1859026,1,1
"y2_d006_NSO_YJD",45,"\N",60,1859476,2,2
"y2_d006_NSO_YJD",45,"\N",60,1859476,0,5
"y2_d006_NSO_YJD",46,"16",61,1890326,1,1
"y2_d006_NSO_YJD",46,"16",61,1890726,10,4
"y2_d006_NSO_YJD",46,"16",61,1890776,255,16
"y2_d006_NSO_YJD",46,"16",61,1892376,255,16
"y2_d006_NSO_YJD",46,"16",61,1893226,4,2
"y2_d006_NSO_YJD",46,"16",61,1894276,4,3
"y2_d006_NSO_YJD",46,"16",61,1894826,3,2
"y2_d006_NSO_YJD",46,"16",61,1895326,0,5
"y2_d006_NSO_YJD",47,"\N",62,1934076,1,1
"y2_d006_NSO_YJD",47,"\N",62,1934576,2,2
"y2_d006_NSO_YJD",47,"\N",62,1934576,0,5
"y2_d006_NSO_YJD",48,"17",63,1949776,1,1
"y2_d006_NSO_YJD",48,"17",63,1950276,2,2
"y2_d006_NSO_YJD",48,"17",63,1950276,0,5
"y2_d006_NSO_YJD",49,"17",64,1970976,1,1
"y2_d006_NSO_YJD",49,"17",64,1971476,2,2
"y2_d006_NSO_YJD",49,"17",64,1971476,0,5
"y2_d006_NSO_YJD",50,"\N",65,2095726,1,1
"y2_d006_NSO_YJD",50,"\N",65,2096226,2,2
"y2_d006_NSO_YJD",50,"\N",65,2096226,0,5
"y2_d006_NSO_YJD",51,"18",66,2107376,1,1
"y2_d006_NSO_YJD",51,"18",66,2107926,2,2
"y2_d006_NSO_YJD",51,"18",66,2107926,0,5
"y2_d006_NSO_YJD",52,"18",67,2121426,1,1
"y2_d006_NSO_YJD",52,"18",67,2121976,2,2
"y2_d006_NSO_YJD",52,"18",67,2121976,0,5
"y2_d006_NSO_YJD",53,"18",68,2134526,1,1
"y2_d006_NSO_YJD",53,"18",68,2134976,2,2
"y2_d006_NSO_YJD",53,"18",68,2134976,0,5
"y2_d006_NSO_YJD",54,"18",69,2148976,1,1
"y2_d006_NSO_YJD",54,"18",69,2149426,10,4
"y2_d006_NSO_YJD",54,"18",69,2149876,0,5
"y2_d006_NSO_YJD",55,"18",70,2169826,1,1
"y2_d006_NSO_YJD",55,"18",70,2170276,10,4
"y2_d006_NSO_YJD",55,"18",70,2170426,0,5
"y2_d006_NSO_YJD",56,"18",71,2187276,1,1
"y2_d006_NSO_YJD",56,"18",71,2187776,2,2
"y2_d006_NSO_YJD",56,"18",71,2187776,0,5
"y2_d006_NSO_YJD",57,"18",72,2199376,1,1
"y2_d006_NSO_YJD",57,"18",72,2199776,10,4
"y2_d006_NSO_YJD",57,"18",72,2200526,0,5
"y2_d006_NSO_YJD",58,"18",73,2238126,1,1
"y2_d006_NSO_YJD",58,"18",73,2238626,2,2
"y2_d006_NSO_YJD",58,"18",73,2238626,0,5
"y2_d006_NSO_YJD",59,"\N",74,2273176,1,1
"y2_d006_NSO_YJD",59,"\N",74,2273626,2,2
"y2_d006_NSO_YJD",59,"\N",74,2273626,0,5
"y2_d006_NSO_YJD",60,"19",75,2290126,1,1
"y2_d006_NSO_YJD",60,"19",75,2290626,10,4
"y2_d006_NSO_YJD",60,"19",75,2291226,0,5
"y2_d006_NSO_YJD",61,"19",76,2324826,1,1
"y2_d006_NSO_YJD",61,"19",76,2325326,2,2
"y2_d006_NSO_YJD",61,"19",76,2325326,0,5
