"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d091_NYA_YJD",1,"1",1,22222,1,1
"y2_d091_NYA_YJD",1,"1",1,22722,2,2
"y2_d091_NYA_YJD",1,"1",1,22722,0,5
"y2_d091_NYA_YJD",2,"1",2,32222,1,1
"y2_d091_NYA_YJD",2,"1",2,32672,10,4
"y2_d091_NYA_YJD",2,"1",2,33072,0,5
"y2_d091_NYA_YJD",3,"1",3,46022,1,1
"y2_d091_NYA_YJD",3,"1",3,46472,10,4
"y2_d091_NYA_YJD",3,"1",3,52222,6,2
"y2_d091_NYA_YJD",3,"1",3,52322,0,5
"y2_d091_NYA_YJD",4,"2",4,83072,1,1
"y2_d091_NYA_YJD",4,"2",4,83572,2,2
"y2_d091_NYA_YJD",4,"2",4,83572,0,5
"y2_d091_NYA_YJD",5,"2",5,96422,1,1
"y2_d091_NYA_YJD",5,"2",5,96972,2,2
"y2_d091_NYA_YJD",5,"2",5,96972,0,5
"y2_d091_NYA_YJD",6,"2",6,110522,1,1
"y2_d091_NYA_YJD",6,"2",6,110972,2,2
"y2_d091_NYA_YJD",6,"2",6,110972,0,5
"y2_d091_NYA_YJD",7,"2",7,124322,1,1
"y2_d091_NYA_YJD",7,"2",7,124822,10,4
"y2_d091_NYA_YJD",7,"2",7,125322,255,16
"y2_d091_NYA_YJD",7,"2",7,125722,255,16
"y2_d091_NYA_YJD",7,"2",7,126122,5,2
"y2_d091_NYA_YJD",7,"2",7,127922,5,3
"y2_d091_NYA_YJD",7,"2",7,129072,3,2
"y2_d091_NYA_YJD",7,"2",7,129222,0,5
"y2_d091_NYA_YJD",8,"3",8,155922,1,1
"y2_d091_NYA_YJD",8,"3",8,156422,2,2
"y2_d091_NYA_YJD",8,"3",8,156422,0,5
"y2_d091_NYA_YJD",9,"3",9,168622,1,1
"y2_d091_NYA_YJD",9,"3",9,169122,2,2
"y2_d091_NYA_YJD",9,"3",9,169122,0,5
"y2_d091_NYA_YJD",10,"3",10,183172,1,1
"y2_d091_NYA_YJD",10,"3",10,183572,10,4
"y2_d091_NYA_YJD",10,"3",10,184322,0,5
"y2_d091_NYA_YJD",11,"3",11,201022,1,1
"y2_d091_NYA_YJD",11,"3",11,201472,2,2
"y2_d091_NYA_YJD",11,"3",11,201472,0,5
"y2_d091_NYA_YJD",12,"3",12,212572,1,1
"y2_d091_NYA_YJD",12,"3",12,213072,2,2
"y2_d091_NYA_YJD",12,"3",12,213072,0,5
"y2_d091_NYA_YJD",13,"4",13,356522,1,1
"y2_d091_NYA_YJD",13,"4",13,357022,2,2
"y2_d091_NYA_YJD",13,"4",13,357022,0,5
"y2_d091_NYA_YJD",14,"4",14,372372,1,1
"y2_d091_NYA_YJD",14,"4",14,372872,2,2
"y2_d091_NYA_YJD",14,"4",14,372872,0,5
"y2_d091_NYA_YJD",15,"4",15,391072,1,1
"y2_d091_NYA_YJD",15,"4",15,391522,10,4
"y2_d091_NYA_YJD",15,"4",15,391922,0,5
"y2_d091_NYA_YJD",16,"4",16,440922,1,1
"y2_d091_NYA_YJD",16,"4",16,441422,2,2
"y2_d091_NYA_YJD",16,"4",16,441422,0,5
"y2_d091_NYA_YJD",17,"4",17,466672,1,1
"y2_d091_NYA_YJD",17,"4",17,467172,2,2
"y2_d091_NYA_YJD",17,"4",17,467172,0,5
"y2_d091_NYA_YJD",18,"4",18,487772,1,1
"y2_d091_NYA_YJD",18,"4",18,488172,10,4
"y2_d091_NYA_YJD",18,"4",18,488322,255,16
"y2_d091_NYA_YJD",18,"4",18,489072,255,16
"y2_d091_NYA_YJD",18,"4",18,489672,255,16
"y2_d091_NYA_YJD",18,"4",18,490072,255,16
"y2_d091_NYA_YJD",18,"4",18,490422,255,16
"y2_d091_NYA_YJD",18,"4",18,490772,255,16
"y2_d091_NYA_YJD",18,"4",18,491472,255,16
"y2_d091_NYA_YJD",18,"4",18,491772,255,16
"y2_d091_NYA_YJD",18,"4",18,492322,9,2
"y2_d091_NYA_YJD",18,"4",18,494422,9,3
"y2_d091_NYA_YJD",18,"4",18,496022,255,16
"y2_d091_NYA_YJD",18,"4",18,496572,6,2
"y2_d091_NYA_YJD",18,"4",18,496722,0,5
"y2_d091_NYA_YJD",19,"5",19,545372,1,1
"y2_d091_NYA_YJD",19,"5",19,545922,2,2
"y2_d091_NYA_YJD",19,"5",19,545922,0,5
"y2_d091_NYA_YJD",20,"5",20,572522,1,1
"y2_d091_NYA_YJD",20,"5",20,572972,10,4
"y2_d091_NYA_YJD",20,"5",20,573022,255,16
"y2_d091_NYA_YJD",20,"5",20,574072,255,16
"y2_d091_NYA_YJD",20,"5",20,574672,4,2
"y2_d091_NYA_YJD",20,"5",20,575172,4,3
"y2_d091_NYA_YJD",20,"5",20,575872,6,2
"y2_d091_NYA_YJD",20,"5",20,576772,6,3
"y2_d091_NYA_YJD",20,"5",20,577472,3,2
"y2_d091_NYA_YJD",20,"5",20,577622,0,5
"y2_d091_NYA_YJD",21,"6",21,608372,1,1
"y2_d091_NYA_YJD",21,"6",21,608872,2,2
