"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d058_POW_YJD",1,"1",1,38909,1,1
"y2_d058_POW_YJD",1,"1",1,39359,2,2
"y2_d058_POW_YJD",1,"1",1,39359,0,5
"y2_d058_POW_YJD",2,"1",2,51709,1,1
"y2_d058_POW_YJD",2,"1",2,52109,10,4
"y2_d058_POW_YJD",2,"1",2,54359,1,2
"y2_d058_POW_YJD",2,"1",2,55259,1,3
"y2_d058_POW_YJD",2,"1",2,55909,3,2
"y2_d058_POW_YJD",2,"1",2,56159,0,5
"y2_d058_POW_YJD",3,"2",3,84459,1,1
"y2_d058_POW_YJD",3,"2",3,84959,2,2
"y2_d058_POW_YJD",3,"2",3,85059,0,5
"y2_d058_POW_YJD",4,"2",4,104409,1,1
"y2_d058_POW_YJD",4,"2",4,104909,2,2
"y2_d058_POW_YJD",4,"2",4,104909,0,5
"y2_d058_POW_YJD",5,"2",5,117809,1,1
"y2_d058_POW_YJD",5,"2",5,118259,10,4
"y2_d058_POW_YJD",5,"2",5,119859,255,16
"y2_d058_POW_YJD",5,"2",5,120909,255,16
"y2_d058_POW_YJD",5,"2",5,121359,9,2
"y2_d058_POW_YJD",5,"2",5,123109,9,3
"y2_d058_POW_YJD",5,"2",5,124359,4,2
"y2_d058_POW_YJD",5,"2",5,124709,0,5
"y2_d058_POW_YJD",6,"3",6,151759,1,1
"y2_d058_POW_YJD",6,"3",6,152209,2,2
"y2_d058_POW_YJD",6,"3",6,152409,0,5
"y2_d058_POW_YJD",7,"3",7,172259,1,1
"y2_d058_POW_YJD",7,"3",7,172659,10,4
"y2_d058_POW_YJD",7,"3",7,173059,0,5
"y2_d058_POW_YJD",8,"3",8,195509,1,1
"y2_d058_POW_YJD",8,"3",8,196059,2,2
"y2_d058_POW_YJD",8,"3",8,196059,0,5
"y2_d058_POW_YJD",9,"3",9,215759,1,6
"y2_d058_POW_YJD",9,"3",9,216459,3,2
"y2_d058_POW_YJD",9,"3",9,217059,0,5
"y2_d058_POW_YJD",10,"3",10,235459,1,1
"y2_d058_POW_YJD",10,"3",10,235909,2,2
"y2_d058_POW_YJD",10,"3",10,235909,0,5
"y2_d058_POW_YJD",11,"4",11,263059,1,1
"y2_d058_POW_YJD",11,"4",11,263509,2,2
"y2_d058_POW_YJD",11,"4",11,263509,0,5
"y2_d058_POW_YJD",12,"4",12,283009,1,1
"y2_d058_POW_YJD",12,"4",12,283509,2,2
"y2_d058_POW_YJD",12,"4",12,283509,0,5
"y2_d058_POW_YJD",13,"4",13,302609,1,1
"y2_d058_POW_YJD",13,"4",13,303109,2,2
"y2_d058_POW_YJD",13,"4",13,303109,0,5
"y2_d058_POW_YJD",14,"4",14,320859,1,1
"y2_d058_POW_YJD",14,"4",14,321309,2,2
"y2_d058_POW_YJD",14,"4",14,321309,0,5
"y2_d058_POW_YJD",15,"4",15,341859,1,1
"y2_d058_POW_YJD",15,"4",15,342359,2,2
"y2_d058_POW_YJD",15,"4",15,342359,0,5
"y2_d058_POW_YJD",16,"5",16,371659,1,1
"y2_d058_POW_YJD",16,"5",16,372159,2,2
"y2_d058_POW_YJD",16,"5",16,372159,0,5
"y2_d058_POW_YJD",17,"5",17,387909,1,1
"y2_d058_POW_YJD",17,"5",17,388359,2,2
"y2_d058_POW_YJD",17,"5",17,388359,0,5
"y2_d058_POW_YJD",18,"5",18,405109,1,1
"y2_d058_POW_YJD",18,"5",18,405609,2,2
"y2_d058_POW_YJD",18,"5",18,405609,0,5
"y2_d058_POW_YJD",19,"6",19,550359,1,1
"y2_d058_POW_YJD",19,"6",19,550859,2,2
"y2_d058_POW_YJD",19,"6",19,550859,0,5
"y2_d058_POW_YJD",20,"6",20,562209,1,1
"y2_d058_POW_YJD",20,"6",20,562609,10,4
"y2_d058_POW_YJD",20,"6",20,562909,255,16
"y2_d058_POW_YJD",20,"6",20,563359,255,16
"y2_d058_POW_YJD",20,"6",20,563659,255,16
"y2_d058_POW_YJD",20,"6",20,563959,255,16
"y2_d058_POW_YJD",20,"6",20,564559,255,16
"y2_d058_POW_YJD",20,"6",20,567459,8,2
"y2_d058_POW_YJD",20,"6",20,568309,0,5
"y2_d058_POW_YJD",21,"7",21,603959,1,1
"y2_d058_POW_YJD",21,"7",21,604459,2,2
"y2_d058_POW_YJD",21,"7",21,604459,0,5
"y2_d058_POW_YJD",22,"7",22,622559,1,1
"y2_d058_POW_YJD",22,"7",22,623059,2,2
"y2_d058_POW_YJD",22,"7",22,623059,0,5
"y2_d058_POW_YJD",23,"7",23,645109,1,1
"y2_d058_POW_YJD",23,"7",23,645559,10,4
"y2_d058_POW_YJD",23,"7",23,648959,7,2
"y2_d058_POW_YJD",23,"7",23,651009,7,3
"y2_d058_POW_YJD",23,"7",23,653259,255,16
"y2_d058_POW_YJD",23,"7",23,654209,255,16
"y2_d058_POW_YJD",23,"7",23,654659,4,2
"y2_d058_POW_YJD",23,"7",23,655109,0,5
"y2_d058_POW_YJD",24,"8",24,686409,1,6
"y2_d058_POW_YJD",24,"8",24,687059,3,2
"y2_d058_POW_YJD",24,"8",24,687209,0,5
"y2_d058_POW_YJD",25,"8",25,710209,1,1
"y2_d058_POW_YJD",25,"8",25,710809,2,2
"y2_d058_POW_YJD",25,"8",25,710809,0,5
"y2_d058_POW_YJD",26,"8",26,733859,1,1
"y2_d058_POW_YJD",26,"8",26,734309,10,4
"y2_d058_POW_YJD",26,"8",26,739959,8,2
"y2_d058_POW_YJD",26,"8",26,740959,8,3
"y2_d058_POW_YJD",26,"8",26,742609,6,2
"y2_d058_POW_YJD",26,"8",26,742909,0,5
