"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d054_PTB_YJD",1,"1",1,17580,1,1
"y2_d054_PTB_YJD",1,"1",1,18030,2,2
"y2_d054_PTB_YJD",1,"1",1,18030,0,5
"y2_d054_PTB_YJD",2,"1",2,32180,1,1
"y2_d054_PTB_YJD",2,"1",2,32630,2,2
"y2_d054_PTB_YJD",2,"1",2,32630,0,5
"y2_d054_PTB_YJD",3,"1",3,47980,1,1
"y2_d054_PTB_YJD",3,"1",3,48430,10,4
"y2_d054_PTB_YJD",3,"1",3,48530,0,5
"y2_d054_PTB_YJD",4,"1",4,68280,1,1
"y2_d054_PTB_YJD",4,"1",4,68680,10,4
"y2_d054_PTB_YJD",4,"1",4,69130,255,16
"y2_d054_PTB_YJD",4,"1",4,69630,255,16
"y2_d054_PTB_YJD",4,"1",4,70030,255,16
"y2_d054_PTB_YJD",4,"1",4,70530,255,16
"y2_d054_PTB_YJD",4,"1",4,70830,6,2
"y2_d054_PTB_YJD",4,"1",4,71430,6,3
"y2_d054_PTB_YJD",4,"1",4,72530,3,2
"y2_d054_PTB_YJD",4,"1",4,72930,0,5
"y2_d054_PTB_YJD",5,"2",5,104680,1,1
"y2_d054_PTB_YJD",5,"2",5,105180,2,2
"y2_d054_PTB_YJD",5,"2",5,105180,0,5
"y2_d054_PTB_YJD",6,"2",6,118280,1,1
"y2_d054_PTB_YJD",6,"2",6,118780,2,2
"y2_d054_PTB_YJD",6,"2",6,118780,0,5
"y2_d054_PTB_YJD",7,"2",7,136280,1,1
"y2_d054_PTB_YJD",7,"2",7,136780,2,2
"y2_d054_PTB_YJD",7,"2",7,136780,0,5
"y2_d054_PTB_YJD",8,"2",8,156580,1,1
"y2_d054_PTB_YJD",8,"2",8,157030,10,4
"y2_d054_PTB_YJD",8,"2",8,160730,255,11
"y2_d054_PTB_YJD",8,"2",8,161180,0,5
"y2_d054_PTB_YJD",9,"3",9,206230,1,1
"y2_d054_PTB_YJD",9,"3",9,206630,10,4
"y2_d054_PTB_YJD",9,"3",9,206880,0,5
"y2_d054_PTB_YJD",10,"3",10,226680,1,1
"y2_d054_PTB_YJD",10,"3",10,227130,2,2
"y2_d054_PTB_YJD",10,"3",10,227130,0,5
"y2_d054_PTB_YJD",11,"3",11,246080,1,1
"y2_d054_PTB_YJD",11,"3",11,246530,2,2
"y2_d054_PTB_YJD",11,"3",11,246530,0,5
"y2_d054_PTB_YJD",12,"3",12,263580,1,1
"y2_d054_PTB_YJD",12,"3",12,264030,2,2
"y2_d054_PTB_YJD",12,"3",12,264030,0,5
"y2_d054_PTB_YJD",13,"3",13,282480,1,1
"y2_d054_PTB_YJD",13,"3",13,282980,10,4
"y2_d054_PTB_YJD",13,"3",13,283080,0,5
"y2_d054_PTB_YJD",14,"3",14,309280,1,1
"y2_d054_PTB_YJD",14,"3",14,309780,2,2
"y2_d054_PTB_YJD",14,"3",14,309780,0,5
"y2_d054_PTB_YJD",15,"3",15,327230,1,1
"y2_d054_PTB_YJD",15,"3",15,327780,2,2
"y2_d054_PTB_YJD",15,"3",15,327780,0,5
"y2_d054_PTB_YJD",16,"4",16,357580,1,1
"y2_d054_PTB_YJD",16,"4",16,358080,2,2
"y2_d054_PTB_YJD",16,"4",16,358080,0,5
"y2_d054_PTB_YJD",17,"4",17,372780,1,1
