game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
y2_d043_RZQ_YJD,1,5,1,30501,1,1
y2_d043_RZQ_YJD,1,5,1,31101,2,2
y2_d043_RZQ_YJD,1,5,1,31101,0,5
y2_d043_RZQ_YJD,2,5,2,45051,1,1
y2_d043_RZQ_YJD,2,5,2,45501,2,2
y2_d043_RZQ_YJD,2,5,2,45501,0,5
y2_d043_RZQ_YJD,3,5,3,61201,1,1
y2_d043_RZQ_YJD,3,5,3,61601,10,4
y2_d043_RZQ_YJD,3,5,3,61751,255,16
y2_d043_RZQ_YJD,3,5,3,62101,255,16
y2_d043_RZQ_YJD,3,5,3,62451,255,16
y2_d043_RZQ_YJD,3,5,3,62801,255,16
y2_d043_RZQ_YJD,3,5,3,66601,9,2
y2_d043_RZQ_YJD,3,5,3,67901,9,3
y2_d043_RZQ_YJD,3,5,3,68851,255,16
y2_d043_RZQ_YJD,3,5,3,69201,3,9
y2_d043_RZQ_YJD,3,5,3,72851,3,2
y2_d043_RZQ_YJD,3,5,3,73351,0,5
y2_d043_RZQ_YJD,4,6,4,104051,1,1
y2_d043_RZQ_YJD,4,6,4,104551,2,9
y2_d043_RZQ_YJD,4,6,4,107601,2,7
y2_d043_RZQ_YJD,4,6,4,110751,0,5
y2_d043_RZQ_YJD,5,6,5,140801,1,1
y2_d043_RZQ_YJD,5,6,5,141201,10,4
y2_d043_RZQ_YJD,5,6,5,141401,0,5
y2_d043_RZQ_YJD,6,6,6,172901,1,1
y2_d043_RZQ_YJD,6,6,6,173401,2,2
y2_d043_RZQ_YJD,6,6,6,173401,0,5
y2_d043_RZQ_YJD,7,6,7,194101,1,1
y2_d043_RZQ_YJD,7,6,7,194601,2,2
y2_d043_RZQ_YJD,7,6,7,194601,0,5
y2_d043_RZQ_YJD,8,7,8,227051,1,1
y2_d043_RZQ_YJD,8,7,8,227501,2,2
y2_d043_RZQ_YJD,8,7,8,227501,0,5
y2_d043_RZQ_YJD,9,7,9,246301,1,1
y2_d043_RZQ_YJD,9,7,9,246751,2,2
y2_d043_RZQ_YJD,9,7,9,247401,2,3
y2_d043_RZQ_YJD,9,7,9,248201,5,2
y2_d043_RZQ_YJD,9,7,9,248901,0,5
y2_d043_RZQ_YJD,10,8,10,384751,1,1
y2_d043_RZQ_YJD,10,8,10,385201,2,2
y2_d043_RZQ_YJD,10,8,10,385201,0,5
y2_d043_RZQ_YJD,11,8,11,397101,1,1
y2_d043_RZQ_YJD,11,8,11,397601,2,2
y2_d043_RZQ_YJD,11,8,11,397601,0,5
y2_d043_RZQ_YJD,12,8,12,409751,1,1
y2_d043_RZQ_YJD,12,8,12,410151,10,4
y2_d043_RZQ_YJD,12,8,12,414951,255,11
y2_d043_RZQ_YJD,12,8,12,415401,0,5
y2_d043_RZQ_YJD,13,9,13,450301,1,1
y2_d043_RZQ_YJD,13,9,13,450751,10,4
y2_d043_RZQ_YJD,13,9,13,453601,7,2
y2_d043_RZQ_YJD,13,9,13,454201,0,5
y2_d043_RZQ_YJD,14,10,14,480601,1,1
y2_d043_RZQ_YJD,14,10,14,481201,2,2
y2_d043_RZQ_YJD,14,10,14,481251,0,5
y2_d043_RZQ_YJD,15,10,15,496651,1,1
y2_d043_RZQ_YJD,15,10,15,497151,2,2
y2_d043_RZQ_YJD,15,10,15,497151,0,5
y2_d043_RZQ_YJD,16,10,16,512751,1,1
y2_d043_RZQ_YJD,16,10,16,513201,2,2
y2_d043_RZQ_YJD,16,10,16,513201,0,5
y2_d043_RZQ_YJD,17,11,17,540851,1,1
y2_d043_RZQ_YJD,17,11,17,541351,2,2
y2_d043_RZQ_YJD,17,11,17,541351,0,5
y2_d043_RZQ_YJD,18,11,18,553251,1,1
y2_d043_RZQ_YJD,18,11,18,553701,2,2
y2_d043_RZQ_YJD,18,11,18,553701,0,5
y2_d043_RZQ_YJD,19,11,19,565901,1,1
y2_d043_RZQ_YJD,19,11,19,566401,2,2
y2_d043_RZQ_YJD,19,11,19,566401,0,5
y2_d043_RZQ_YJD,20,11,20,581551,1,1
y2_d043_RZQ_YJD,20,11,20,582051,2,2
y2_d043_RZQ_YJD,20,11,20,582051,0,5
y2_d043_RZQ_YJD,21,11,21,593401,1,1
y2_d043_RZQ_YJD,21,11,21,593851,2,2
y2_d043_RZQ_YJD,21,11,21,593851,0,5
y2_d043_RZQ_YJD,22,11,22,606201,1,1
y2_d043_RZQ_YJD,22,11,22,606651,2,2
y2_d043_RZQ_YJD,22,11,22,606651,0,5
y2_d043_RZQ_YJD,23,11,23,621901,1,1
y2_d043_RZQ_YJD,23,11,23,622351,10,4
y2_d043_RZQ_YJD,23,11,23,622551,0,5
y2_d043_RZQ_YJD,24,11,24,639451,1,1
y2_d043_RZQ_YJD,24,11,24,639951,2,2
y2_d043_RZQ_YJD,24,11,24,639951,0,5
y2_d043_RZQ_YJD,25,12,25,781151,1,1
y2_d043_RZQ_YJD,25,12,25,781601,2,2
y2_d043_RZQ_YJD,25,12,25,781601,0,5
y2_d043_RZQ_YJD,26,12,26,794201,1,1
y2_d043_RZQ_YJD,26,12,26,794651,10,4
y2_d043_RZQ_YJD,26,12,26,794801,0,5
y2_d043_RZQ_YJD,27,12,27,815451,1,1
y2_d043_RZQ_YJD,27,12,27,815951,2,2
y2_d043_RZQ_YJD,27,12,27,815951,0,5
y2_d043_RZQ_YJD,28,12,28,830951,1,1
y2_d043_RZQ_YJD,28,12,28,831451,2,2
y2_d043_RZQ_YJD,28,12,28,831451,0,5
