game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
y2_d028_VMN_YJD,1,1,1,5058,1,1
y2_d028_VMN_YJD,1,1,1,5553,2,2
y2_d028_VMN_YJD,1,1,1,5553,0,5
y2_d028_VMN_YJD,2,1,2,19512,1,1
y2_d028_VMN_YJD,2,1,2,19941,10,4
y2_d028_VMN_YJD,2,1,2,20106,0,5
y2_d028_VMN_YJD,3,1,3,49608,1,1
y2_d028_VMN_YJD,3,1,3,50103,2,2
y2_d028_VMN_YJD,3,1,3,50103,0,5
y2_d028_VMN_YJD,4,1,4,64128,1,1
y2_d028_VMN_YJD,4,1,4,64656,2,2
y2_d028_VMN_YJD,4,1,4,64656,0,5
y2_d028_VMN_YJD,5,1,5,75942,1,1
y2_d028_VMN_YJD,5,1,5,76371,10,4
y2_d028_VMN_YJD,5,1,5,76569,0,5
y2_d028_VMN_YJD,6,1,6,100098,1,1
y2_d028_VMN_YJD,6,1,6,100593,2,2
y2_d028_VMN_YJD,6,1,6,100593,0,5
y2_d028_VMN_YJD,7,1,7,114189,1,1
y2_d028_VMN_YJD,7,1,7,114618,10,4
y2_d028_VMN_YJD,7,1,7,118578,255,16
y2_d028_VMN_YJD,7,1,7,119568,255,16
y2_d028_VMN_YJD,7,1,7,120030,255,16
y2_d028_VMN_YJD,7,1,7,122670,8,2
y2_d028_VMN_YJD,7,1,7,123396,8,3
y2_d028_VMN_YJD,7,1,7,125574,6,2
y2_d028_VMN_YJD,7,1,7,127257,6,3
y2_d028_VMN_YJD,7,1,7,128973,3,2
y2_d028_VMN_YJD,7,1,7,129171,0,5
y2_d028_VMN_YJD,8,2,8,163821,1,1
y2_d028_VMN_YJD,8,2,8,164316,2,2
y2_d028_VMN_YJD,8,2,8,164316,0,5
y2_d028_VMN_YJD,9,2,9,180585,1,1
y2_d028_VMN_YJD,9,2,9,181047,10,4
y2_d028_VMN_YJD,9,2,9,186195,9,2
y2_d028_VMN_YJD,9,2,9,187119,9,3
y2_d028_VMN_YJD,9,2,9,188967,255,16
y2_d028_VMN_YJD,9,2,9,189528,255,16
y2_d028_VMN_YJD,9,2,9,190023,2,2
y2_d028_VMN_YJD,9,2,9,190353,0,5
y2_d028_VMN_YJD,10,3,10,230316,1,1
y2_d028_VMN_YJD,10,3,10,230844,2,2
y2_d028_VMN_YJD,10,3,10,230844,0,5
y2_d028_VMN_YJD,11,3,11,249357,1,1
y2_d028_VMN_YJD,11,3,11,249885,2,2
y2_d028_VMN_YJD,11,3,11,249885,0,5
y2_d028_VMN_YJD,12,3,12,281004,1,1
y2_d028_VMN_YJD,12,3,12,281433,10,4
y2_d028_VMN_YJD,12,3,12,281631,0,5
y2_d028_VMN_YJD,13,3,13,308890,1,1
y2_d028_VMN_YJD,13,3,13,309385,2,2
y2_d028_VMN_YJD,13,3,13,309385,0,5
y2_d028_VMN_YJD,14,3,14,330109,1,1
y2_d028_VMN_YJD,14,3,14,330538,10,4
y2_d028_VMN_YJD,14,3,14,330637,0,5
y2_d028_VMN_YJD,15,3,15,359116,1,1
y2_d028_VMN_YJD,15,3,15,359578,10,4
y2_d028_VMN_YJD,15,3,15,359776,0,5
y2_d028_VMN_YJD,16,3,16,387430,1,1
y2_d028_VMN_YJD,16,3,16,387859,10,4
y2_d028_VMN_YJD,16,3,16,387892,255,16
y2_d028_VMN_YJD,16,3,16,389212,255,16
y2_d028_VMN_YJD,16,3,16,389806,4,2
y2_d028_VMN_YJD,16,3,16,390895,4,3
y2_d028_VMN_YJD,16,3,16,391654,3,2
