"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y2_d075_VZE_YJD",1,"1",1,42551,1,1
"y2_d075_VZE_YJD",1,"1",1,43013,2,2
"y2_d075_VZE_YJD",1,"1",1,43013,0,5
"y2_d075_VZE_YJD",2,"1",2,54299,1,1
"y2_d075_VZE_YJD",2,"1",2,54761,2,2
"y2_d075_VZE_YJD",2,"1",2,54761,0,5
"y2_d075_VZE_YJD",3,"1",3,66344,1,1
"y2_d075_VZE_YJD",3,"1",3,66839,2,2
"y2_d075_VZE_YJD",3,"1",3,66839,0,5
"y2_d075_VZE_YJD",4,"1",4,80105,1,1
"y2_d075_VZE_YJD",4,"1",4,80567,2,2
"y2_d075_VZE_YJD",4,"1",4,80567,0,5
"y2_d075_VZE_YJD",5,"1",5,94724,1,1
"y2_d075_VZE_YJD",5,"1",5,95120,10,4
"y2_d075_VZE_YJD",5,"1",5,100367,8,2
"y2_d075_VZE_YJD",5,"1",5,101027,0,5
"y2_d075_VZE_YJD",6,"2",6,130133,1,1
"y2_d075_VZE_YJD",6,"2",6,130661,2,2
"y2_d075_VZE_YJD",6,"2",6,130661,0,5
"y2_d075_VZE_YJD",7,"2",7,144818,1,1
"y2_d075_VZE_YJD",7,"2",7,145280,2,2
"y2_d075_VZE_YJD",7,"2",7,145280,0,5
"y2_d075_VZE_YJD",8,"2",8,158381,1,1
"y2_d075_VZE_YJD",8,"2",8,158843,2,2
"y2_d075_VZE_YJD",8,"2",8,158843,0,5
"y2_d075_VZE_YJD",9,"2",9,173528,1,1
"y2_d075_VZE_YJD",9,"2",9,173990,2,2
"y2_d075_VZE_YJD",9,"2",9,173990,0,5
"y2_d075_VZE_YJD",10,"3",10,206759,1,1
"y2_d075_VZE_YJD",10,"3",10,207155,10,4
"y2_d075_VZE_YJD",10,"3",10,207221,255,16
"y2_d075_VZE_YJD",10,"3",10,208871,6,2
"y2_d075_VZE_YJD",10,"3",10,210323,6,3
"y2_d075_VZE_YJD",10,"3",10,211379,3,2
"y2_d075_VZE_YJD",10,"3",10,211544,0,5
"y2_d075_VZE_YJD",11,"4",11,387765,1,1
"y2_d075_VZE_YJD",11,"4",11,388194,10,4
"y2_d075_VZE_YJD",11,"4",11,388590,0,5
"y2_d075_VZE_YJD",12,"4",12,407961,1,1
"y2_d075_VZE_YJD",12,"4",12,408357,10,4
"y2_d075_VZE_YJD",12,"4",12,408555,0,5
"y2_d075_VZE_YJD",13,"4",13,429213,1,1
"y2_d075_VZE_YJD",13,"4",13,429708,2,2
"y2_d075_VZE_YJD",13,"4",13,429708,0,5
"y2_d075_VZE_YJD",14,"4",14,446571,1,1
"y2_d075_VZE_YJD",14,"4",14,447033,2,2
"y2_d075_VZE_YJD",14,"4",14,447033,0,5
"y2_d075_VZE_YJD",15,"5",15,474951,1,1
"y2_d075_VZE_YJD",15,"5",15,475446,2,2
"y2_d075_VZE_YJD",15,"5",15,475446,0,5
"y2_d075_VZE_YJD",16,"5",16,489075,1,1
"y2_d075_VZE_YJD",16,"5",16,489504,10,4
"y2_d075_VZE_YJD",16,"5",16,489570,255,16
"y2_d075_VZE_YJD",16,"5",16,491253,255,16
"y2_d075_VZE_YJD",16,"5",16,491781,4,2
"y2_d075_VZE_YJD",16,"5",16,492936,4,3
"y2_d075_VZE_YJD",16,"5",16,493695,3,2
"y2_d075_VZE_YJD",16,"5",16,493959,0,5
"y2_d075_VZE_YJD",17,"6",17,522141,1,1
"y2_d075_VZE_YJD",17,"6",17,522636,2,2
"y2_d075_VZE_YJD",17,"6",17,522636,0,5
"y2_d075_VZE_YJD",18,"6",18,536298,1,1
"y2_d075_VZE_YJD",18,"6",18,536826,2,2
"y2_d075_VZE_YJD",18,"6",18,536826,0,5
"y2_d075_VZE_YJD",19,"6",19,552237,1,1
"y2_d075_VZE_YJD",19,"6",19,552666,10,4
"y2_d075_VZE_YJD",19,"6",19,553029,0,5
