"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d058_WZR_YJD",1,"\N",1,34889,1,1
"y1_d058_WZR_YJD",1,"\N",1,35351,2,2
"y1_d058_WZR_YJD",1,"\N",1,35351,0,5
"y1_d058_WZR_YJD",2,"\N",2,48947,1,1
"y1_d058_WZR_YJD",2,"\N",2,49475,2,2
"y1_d058_WZR_YJD",2,"\N",2,49475,0,5
"y1_d058_WZR_YJD",3,"\N",3,64490,1,1
"y1_d058_WZR_YJD",3,"\N",3,64985,2,2
"y1_d058_WZR_YJD",3,"\N",3,64985,0,5
"y1_d058_WZR_YJD",4,"\N",4,81716,1,1
"y1_d058_WZR_YJD",4,"\N",4,82145,10,4
"y1_d058_WZR_YJD",4,"\N",4,82871,0,5
"y1_d058_WZR_YJD",5,"\N",5,102737,1,1
"y1_d058_WZR_YJD",5,"\N",5,103199,2,2
"y1_d058_WZR_YJD",5,"\N",5,103199,0,5
"y1_d058_WZR_YJD",6,"\N",6,158441,1,1
"y1_d058_WZR_YJD",6,"\N",6,158903,2,2
"y1_d058_WZR_YJD",6,"\N",6,158903,0,5
"y1_d058_WZR_YJD",7,"\N",7,177581,1,1
"y1_d058_WZR_YJD",7,"\N",7,178076,2,2
"y1_d058_WZR_YJD",7,"\N",7,178076,0,5
"y1_d058_WZR_YJD",8,"\N",8,196853,1,1
"y1_d058_WZR_YJD",8,"\N",8,197315,10,4
"y1_d058_WZR_YJD",8,"\N",8,198338,0,5
"y1_d058_WZR_YJD",9,"\N",9,223814,1,1
"y1_d058_WZR_YJD",9,"\N",9,224309,10,4
"y1_d058_WZR_YJD",9,"\N",9,225068,255,16
"y1_d058_WZR_YJD",9,"\N",9,225530,255,16
"y1_d058_WZR_YJD",9,"\N",9,225728,5,2
"y1_d058_WZR_YJD",9,"\N",9,226685,5,3
"y1_d058_WZR_YJD",9,"\N",9,227180,4,2
"y1_d058_WZR_YJD",9,"\N",9,227675,4,3
"y1_d058_WZR_YJD",9,"\N",9,228632,3,2
"y1_d058_WZR_YJD",9,"\N",9,229193,0,5
"y1_d058_WZR_YJD",10,"\N",10,266846,1,1
"y1_d058_WZR_YJD",10,"\N",10,267341,2,2
"y1_d058_WZR_YJD",10,"\N",10,267341,0,5
"y1_d058_WZR_YJD",11,"\N",11,285821,1,1
"y1_d058_WZR_YJD",11,"\N",11,286283,10,4
"y1_d058_WZR_YJD",11,"\N",11,289055,255,16
"y1_d058_WZR_YJD",11,"\N",11,290111,255,16
"y1_d058_WZR_YJD",11,"\N",11,290738,255,16
"y1_d058_WZR_YJD",11,"\N",11,292355,8,2
"y1_d058_WZR_YJD",11,"\N",11,293510,8,3
"y1_d058_WZR_YJD",11,"\N",11,295259,6,2
"y1_d058_WZR_YJD",11,"\N",11,298196,0,5
"y1_d058_WZR_YJD",12,"\N",12,335156,1,1
"y1_d058_WZR_YJD",12,"\N",12,335651,2,2
"y1_d058_WZR_YJD",12,"\N",12,335651,0,5
"y1_d058_WZR_YJD",13,"\N",13,356639,1,1
"y1_d058_WZR_YJD",13,"\N",13,357068,10,4
"y1_d058_WZR_YJD",13,"\N",13,361622,8,2
"y1_d058_WZR_YJD",13,"\N",13,363437,8,3
"y1_d058_WZR_YJD",13,"\N",13,365252,6,2
"y1_d058_WZR_YJD",13,"\N",13,365450,0,5
"y1_d058_WZR_YJD",14,"\N",14,400034,1,1
"y1_d058_WZR_YJD",14,"\N",14,400562,2,2
"y1_d058_WZR_YJD",14,"\N",14,400562,0,5
"y1_d058_WZR_YJD",15,"\N",15,422441,1,1
"y1_d058_WZR_YJD",15,"\N",15,422969,2,2
"y1_d058_WZR_YJD",15,"\N",15,422969,0,5
"y1_d058_WZR_YJD",16,"\N",16,444122,1,1
"y1_d058_WZR_YJD",16,"\N",16,444617,2,2
"y1_d058_WZR_YJD",16,"\N",16,444617,0,5
"y1_d058_WZR_YJD",17,"\N",17,466001,1,1
"y1_d058_WZR_YJD",17,"\N",17,466529,2,2
"y1_d058_WZR_YJD",17,"\N",17,466529,0,5
