"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d069_ACN_QEA","QEA","ACN",1,1,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2455",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",1,2,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2455",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",1,3,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2455",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",2,4,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1416",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",69,134,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1147",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",69,135,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1147",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",70,136,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1147",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",70,137,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1147",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",70,138,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1147",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",70,139,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1924",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",71,140,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2472",NA,NA,NA
"y1_d069_ACN_QEA","QEA","ACN",71,141,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1276","ACN-2472",NA,NA
"y1_d069_ACN_QEA","QEA","ACN",72,142,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1276","ACN-2472",NA,NA
"y1_d069_ACN_QEA","QEA","ACN",72,143,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1623",NA,"ACN-1276","ACN-2472"
"y1_d069_ACN_QEA","QEA","ACN",72,144,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1623",NA,"ACN-1276","ACN-2472"
"y1_d069_ACN_QEA","QEA","ACN",72,145,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1623",NA,"ACN-1276","ACN-2472"
"y1_d069_ACN_QEA","QEA","ACN",72,146,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1433",NA,"ACN-1623",NA
"y1_d069_ACN_QEA","QEA","ACN",73,147,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1433",NA,"ACN-1623",NA
"y1_d069_ACN_QEA","QEA","ACN",73,148,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1433",NA,"ACN-1623",NA
"y1_d069_ACN_QEA","QEA","ACN",73,149,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-1433",NA,"ACN-1623",NA
"y1_d069_ACN_QEA","QEA","ACN",74,150,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2455",NA,NA,"ACN-1623"
"y1_d069_ACN_QEA","QEA","ACN",74,151,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2455",NA,NA,"ACN-1623"
"y1_d069_ACN_QEA","QEA","ACN",74,152,"top","QEA-0410","QEA-0071","QEA-0263","QEA-0277","QEA-0232","QEA-0027","QEA-0364","QEA-0365","QEA-0249","ACN-2455",NA,NA,"ACN-1623"
"y1_d069_ACN_QEA","QEA","ACN",74,153,"bottom","ACN-1762","ACN-1433","ACN-2472","ACN-1276","ACN-1924","ACN-1623","ACN-1180","ACN-1147","ACN-2455","QEA-0120",NA,NA,NA
