"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d054_APZ_QEA","QEA","APZ",1,1,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",1,2,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",1,3,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",1,4,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",1,5,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",1,6,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",1,7,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1778",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",2,8,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-2377",NA,"APZ-1778",NA
"y1_d054_APZ_QEA","QEA","APZ",3,9,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1543","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",3,10,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1543","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",3,11,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1543","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",3,12,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1543","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",5,14,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-2380","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",5,15,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1612","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",5,16,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1612","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",5,17,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1612","APZ-2377",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",5,18,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1612",NA,"APZ-2377",NA
"y1_d054_APZ_QEA","QEA","APZ",6,19,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1612",NA,"APZ-2377",NA
"y1_d054_APZ_QEA","QEA","APZ",6,20,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0365",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",7,21,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0365",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",8,22,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0369",NA,"QEA-0365",NA
"y1_d054_APZ_QEA","QEA","APZ",8,23,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0235",NA,NA,"QEA-0365"
"y1_d054_APZ_QEA","QEA","APZ",8,24,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0235",NA,NA,"QEA-0365"
"y1_d054_APZ_QEA","QEA","APZ",9,25,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0180",NA,NA,"QEA-0235"
"y1_d054_APZ_QEA","QEA","APZ",9,26,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0180",NA,NA,"QEA-0235"
"y1_d054_APZ_QEA","QEA","APZ",9,27,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0180",NA,NA,"QEA-0235"
"y1_d054_APZ_QEA","QEA","APZ",10,28,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0252","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",10,29,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0252","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",10,30,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0252","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",11,31,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0263","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",11,33,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0263","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",11,34,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0263","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",12,35,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0263","QEA-0180",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",12,36,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1200",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",13,37,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1200",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",13,38,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1351",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",13,39,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1351",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",13,40,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1351",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",14,41,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1351",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",14,42,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1184",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",14,43,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1184",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",14,44,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1184",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",14,45,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1184",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",15,46,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1184",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,47,"top","QEA-0410","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0424","QEA-0252","APZ-1755","APZ-1184",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,48,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,49,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,50,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,51,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,52,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",16,53,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",17,54,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0120",NA,NA,NA
"y1_d054_APZ_QEA","QEA","APZ",17,55,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0027","QEA-0120",NA,NA
"y1_d054_APZ_QEA","QEA","APZ",18,56,"bottom","APZ-1020","APZ-1612","APZ-2377","APZ-1755","APZ-1351","APZ-1184","APZ-1778","APZ-1543","APZ-2380","QEA-0027","QEA-0120",NA,NA
