"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d003_CGA_QEA","QEA","CGA",1,1,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1458",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",1,2,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1458",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",1,3,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1458",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",1,4,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1458",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",1,5,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1458",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",2,6,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-2010",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",2,7,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-2010",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",2,8,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-2010",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",3,9,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1547",NA,NA,NA
"y1_d003_CGA_QEA","QEA","CGA",3,10,"top","QEA-0301","QEA-0071","QEA-0263","QEA-0365","QEA-0369","QEA-0027","QEA-0235","QEA-0117","QEA-0249","CGA-1547",NA,NA,NA
