"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d086_CRQ_QEA","QEA","CRQ",1,1,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2111",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",1,2,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2111",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",1,3,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2111",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",1,4,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2111",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",2,5,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2150",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",2,6,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2150",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",2,7,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2150",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",2,8,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-2150",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",3,9,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-1849",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",3,10,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-1849",NA,NA,NA
"y1_d086_CRQ_QEA","QEA","CRQ",3,11,"top","QEA-0245","QEA-0218","QEA-0369","QEA-0365","QEA-0201","QEA-0277","QEA-0424","QEA-0421","QEA-0249","CRQ-1849",NA,NA,NA
