"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d081_FBP_QEA","QEA","FBP",1,1,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1349",NA,NA,NA
"y1_d081_FBP_QEA","QEA","FBP",1,2,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1349",NA,NA,NA
"y1_d081_FBP_QEA","QEA","FBP",1,3,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1349",NA,NA,NA
"y1_d081_FBP_QEA","QEA","FBP",1,4,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1349",NA,NA,NA
"y1_d081_FBP_QEA","QEA","FBP",2,5,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1154",NA,"FBP-1349",NA
"y1_d081_FBP_QEA","QEA","FBP",2,6,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1154",NA,"FBP-1349",NA
"y1_d081_FBP_QEA","QEA","FBP",2,7,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1154",NA,"FBP-1349",NA
"y1_d081_FBP_QEA","QEA","FBP",2,8,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1154",NA,"FBP-1349",NA
"y1_d081_FBP_QEA","QEA","FBP",2,9,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1154",NA,"FBP-1349",NA
"y1_d081_FBP_QEA","QEA","FBP",2,10,"top","QEA-0394","QEA-0218","QEA-0263","QEA-0365","QEA-0277","QEA-0027","QEA-0364","QEA-0421","QEA-0249","FBP-1154",NA,"FBP-1349",NA
