"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d012_IXC_QEA","QEA","IXC",1,1,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2110",NA,NA,NA
"y1_d012_IXC_QEA","QEA","IXC",1,2,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2110",NA,NA,NA
"y1_d012_IXC_QEA","QEA","IXC",1,3,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2110",NA,NA,NA
"y1_d012_IXC_QEA","QEA","IXC",1,4,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2110",NA,NA,NA
"y1_d012_IXC_QEA","QEA","IXC",2,5,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2149","IXC-2110",NA,NA
"y1_d012_IXC_QEA","QEA","IXC",2,6,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2149","IXC-2110",NA,NA
"y1_d012_IXC_QEA","QEA","IXC",3,8,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2149","IXC-2110",NA,NA
"y1_d012_IXC_QEA","QEA","IXC",3,9,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2106",NA,"IXC-2110",NA
"y1_d012_IXC_QEA","QEA","IXC",3,10,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2106",NA,"IXC-2110",NA
"y1_d012_IXC_QEA","QEA","IXC",3,11,"top","QEA-0404","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0364","QEA-0235","QEA-0252","IXC-2106",NA,"IXC-2110",NA
