"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d060.5_JNJ_QEA","QEA","JNJ",51,187,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1549",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",51,188,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1549",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",52,189,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1549",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",52,190,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1549",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",53,191,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1549",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",54,192,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1549",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",54,193,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1459",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",54,194,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1459",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",54,195,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1459",NA,NA,NA
"y1_d060.5_JNJ_QEA","QEA","JNJ",55,196,"top","QEA-0217","QEA-0071","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0424","QEA-0252","QEA-0249","JNJ-1459",NA,NA,NA
