"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d060_JNJ_QEA","QEA","JNJ",1,1,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1549",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",1,2,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1549",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",1,3,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1549",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",2,4,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1459",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",2,5,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1459",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",2,6,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1459",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",2,7,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1459",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",3,8,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1354",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",3,9,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1354",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",3,10,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1354",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",4,11,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1593","JNJ-1354",NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",4,12,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1593","JNJ-1354",NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",4,13,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1593","JNJ-1354",NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",4,14,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1593","JNJ-1354",NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",4,15,"top","QEA-0407","QEA-0120","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0424","QEA-0252","QEA-0364","JNJ-1593","JNJ-1354",NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",5,16,"bottom","JNJ-1297","JNJ-1128","JNJ-1593","JNJ-1459","JNJ-1199","JNJ-1825","JNJ-1546","JNJ-1549","JNJ-1930","QEA-0365",NA,NA,NA
"y1_d060_JNJ_QEA","QEA","JNJ",5,17,"bottom","JNJ-1297","JNJ-1128","JNJ-1593","JNJ-1459","JNJ-1199","JNJ-1825","JNJ-1546","JNJ-1549","JNJ-1930","QEA-0365",NA,NA,NA
