"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d066_OWH_QEA","QEA","OWH",NA,1,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0232","QEA-0369","QEA-0249","QEA-0235","QEA-0252","OWH-1836",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",1,2,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0232","QEA-0369","QEA-0249","QEA-0235","QEA-0252","OWH-1836",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",NA,15,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0365",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",NA,16,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0365",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",5,17,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0369",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",5,18,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0369",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",6,19,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0369",NA,NA,NA
"y1_d066_OWH_QEA","QEA","OWH",6,20,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0235",NA,"QEA-0369",NA
"y1_d066_OWH_QEA","QEA","OWH",6,21,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0235",NA,"QEA-0369",NA
"y1_d066_OWH_QEA","QEA","OWH",7,22,"bottom","OWH-1545","OWH-1707","OWH-2133","OWH-1836","OWH-2006","OWH-1028","OWH-1045","OWH-1692","OWH-1191","QEA-0235",NA,"QEA-0369",NA
