"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d017_OXG_QEA","QEA","OXG",1,2,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0018",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",1,3,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0018",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",1,4,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0018",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",1,5,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0018",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",3,6,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0018",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",5,12,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0171",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",5,13,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0171",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",6,16,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0131","OXG-0171",NA,NA
"y1_d017_OXG_QEA","QEA","OXG",6,17,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0131","OXG-0171",NA,NA
"y1_d017_OXG_QEA","QEA","OXG",7,18,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0118","OXG-0131","OXG-0171",NA
"y1_d017_OXG_QEA","QEA","OXG",7,19,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0118","OXG-0131","OXG-0171",NA
"y1_d017_OXG_QEA","QEA","OXG",7,20,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0118","OXG-0131","OXG-0171",NA
"y1_d017_OXG_QEA","QEA","OXG",7,21,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0118","OXG-0131","OXG-0171",NA
"y1_d017_OXG_QEA","QEA","OXG",8,22,"top","QEA-0013","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0027","QEA-0235","QEA-0117","QEA-0252","OXG-0118","OXG-0131","OXG-0171",NA
"y1_d017_OXG_QEA","QEA","OXG",8,23,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0365",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",8,24,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0365",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",8,25,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0365",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",8,26,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0369",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",8,27,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0369",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",9,28,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0369",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",9,29,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0369",NA,NA,NA
"y1_d017_OXG_QEA","QEA","OXG",9,30,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0263","QEA-0369",NA,NA
"y1_d017_OXG_QEA","QEA","OXG",9,31,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0263","QEA-0369",NA,NA
"y1_d017_OXG_QEA","QEA","OXG",9,32,"bottom","OXG-0116","OXG-0086","OXG-0261","OXG-0171","OXG-0162","OXG-0118","OXG-0018","OXG-0396","OXG-0134","QEA-0263","QEA-0369",NA,NA
