"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d033_REC_QEA","QEA","REC",NA,25,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0235",NA,"QEA-0365",NA
"y1_d033_REC_QEA","QEA","REC",70,246,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1999",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",71,247,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1999",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",71,248,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1399",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",71,249,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1399",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",72,250,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1399",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",72,251,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1399",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",72,252,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-1399",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",72,253,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-2470",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",72,254,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-2470",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",73,255,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0365","QEA-0180","QEA-0369","QEA-0249","QEA-0235","QEA-0252","REC-2470",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",73,256,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0365",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",74,257,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0365",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",74,258,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0365",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",74,259,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0365",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",74,260,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0365",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",74,261,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0365",NA,NA,NA
"y1_d033_REC_QEA","QEA","REC",75,262,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0369",NA,"QEA-0365",NA
"y1_d033_REC_QEA","QEA","REC",75,263,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0369",NA,"QEA-0365",NA
"y1_d033_REC_QEA","QEA","REC",75,264,"bottom","REC-2056","REC-1613","REC-2381","REC-1352","REC-1399","REC-1185","REC-2470","REC-1999","REC-1542","QEA-0369",NA,"QEA-0365",NA
