"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d048_STK_QEA","QEA","STK",1,1,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1713",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",1,2,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1713",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",1,3,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1713",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",1,4,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1713",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",1,5,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1713",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",1,6,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1713",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",2,7,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1023",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",2,8,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-1023",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",3,9,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2291",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",3,10,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2291",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",3,11,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2291",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",3,12,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2291",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",4,13,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2096",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",4,14,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2096",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",5,15,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0365",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",5,16,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0365",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",5,17,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0365",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",5,18,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0365",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",6,19,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0369",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",6,20,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0369",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",6,21,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0369",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",6,22,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0369",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",6,23,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0369",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",6,24,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0369",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",7,25,"bottom","STK-1988","STK-2260","STK-2585","STK-1350","STK-2291","STK-1651","STK-2228","STK-1023","STK-1713","QEA-0249","QEA-0369",NA,NA
"y1_d048_STK_QEA","QEA","STK",8,26,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2228",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",8,27,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2228",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",8,28,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2228",NA,NA,NA
"y1_d048_STK_QEA","QEA","STK",9,29,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2585","STK-2228",NA,NA
"y1_d048_STK_QEA","QEA","STK",9,30,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2585","STK-2228",NA,NA
"y1_d048_STK_QEA","QEA","STK",9,31,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2585","STK-2228",NA,NA
"y1_d048_STK_QEA","QEA","STK",9,32,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2585","STK-2228",NA,NA
"y1_d048_STK_QEA","QEA","STK",9,33,"top","QEA-0010","QEA-0071","QEA-0180","QEA-0365","QEA-0369","QEA-0027","QEA-0364","QEA-0235","QEA-0249","STK-2585","STK-2228",NA,NA
