"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d043_WJU_QEA","QEA","WJU",1,1,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",1,2,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",1,3,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",1,4,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",2,5,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",2,6,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",2,7,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,8,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,9,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,10,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,11,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,12,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,13,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",3,14,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1528",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",4,15,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0364",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",5,16,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",5,17,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",5,18,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",5,19,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",6,20,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",6,21,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",6,22,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",6,23,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",6,24,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",6,25,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",6,26,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",7,27,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0252","QEA-0249","QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",7,28,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0252","QEA-0249","QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",7,29,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0252","QEA-0249","QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",7,30,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0252","QEA-0249","QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",7,31,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0252","QEA-0249","QEA-0369",NA
"y1_d043_WJU_QEA","QEA","WJU",10,35,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0071",NA,NA,"QEA-0252"
"y1_d043_WJU_QEA","QEA","WJU",10,36,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0071",NA,NA,"QEA-0252"
"y1_d043_WJU_QEA","QEA","WJU",10,38,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1579",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",10,39,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1579",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",11,40,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1579",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",11,41,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1579",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",NA,42,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1579",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",11,43,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1579",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",12,44,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1265","WJU-1579",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",12,45,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1265","WJU-1579",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",12,47,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1265","WJU-1579",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",13,48,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1346",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",13,49,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1346",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",13,50,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1346",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",13,51,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1346",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",13,52,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1386",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",14,53,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1386",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",14,54,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1386",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",14,55,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1386",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",14,56,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1386",NA,"WJU-1579",NA
"y1_d043_WJU_QEA","QEA","WJU",14,57,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0263",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",14,58,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0263",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",15,59,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0263",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",15,60,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0263",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",15,61,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0263",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",15,62,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0263",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",16,63,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0027","QEA-0263",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",16,64,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0027","QEA-0263",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",16,65,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0027","QEA-0263",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",16,66,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0027","QEA-0263",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",16,67,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0120",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",16,68,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0120",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",17,69,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0120",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",17,70,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0120",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",18,71,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0120",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",18,72,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0120",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",18,73,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0364","QEA-0120",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",18,74,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0364","QEA-0120",NA,NA
"y1_d043_WJU_QEA","QEA","WJU",18,75,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369","QEA-0364","QEA-0120",NA
"y1_d043_WJU_QEA","QEA","WJU",19,76,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369","QEA-0364","QEA-0120",NA
"y1_d043_WJU_QEA","QEA","WJU",19,77,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369","QEA-0364","QEA-0120",NA
"y1_d043_WJU_QEA","QEA","WJU",19,78,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369","QEA-0364","QEA-0120",NA
"y1_d043_WJU_QEA","QEA","WJU",20,80,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0369","QEA-0364","QEA-0120",NA
"y1_d043_WJU_QEA","QEA","WJU",20,81,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369","QEA-0364"
"y1_d043_WJU_QEA","QEA","WJU",21,82,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369","QEA-0364"
"y1_d043_WJU_QEA","QEA","WJU",21,83,"bottom","WJU-1694","WJU-1224","WJU-1346","WJU-1579","WJU-1528","WJU-1386","WJU-2497","WJU-1348","WJU-1265","QEA-0249",NA,"QEA-0369","QEA-0364"
"y1_d043_WJU_QEA","QEA","WJU",21,84,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-2497",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",21,85,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-2497",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",22,86,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-2497",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",22,87,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1224",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",22,88,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1224",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",23,89,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1224",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",23,90,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1224",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",23,91,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",23,92,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",23,93,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1348",NA,NA,NA
"y1_d043_WJU_QEA","QEA","WJU",23,94,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,"WJU-1348",NA
"y1_d043_WJU_QEA","QEA","WJU",24,95,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,"WJU-1348",NA
"y1_d043_WJU_QEA","QEA","WJU",24,96,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,"WJU-1348",NA
"y1_d043_WJU_QEA","QEA","WJU",24,97,"top","QEA-0313","QEA-0120","QEA-0263","QEA-0369","QEA-0180","QEA-0027","QEA-0364","QEA-0252","QEA-0249","WJU-1257",NA,"WJU-1348",NA
