"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d094_XAX_QEA","QEA","XAX",1,1,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2378",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",1,2,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2378",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",2,3,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1460",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",2,4,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1460",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",2,5,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1460",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",2,6,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1460",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",2,7,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1460",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",3,8,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1882",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",3,9,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1882",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",3,10,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1882",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",3,11,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1882",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",3,12,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1882",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",4,13,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1967","XAX-1882",NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,14,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,15,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,16,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,17,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,18,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,19,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",5,20,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0365",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",6,21,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0182",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",7,22,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0369",NA,"QEA-0182",NA
"y1_d094_XAX_QEA","QEA","XAX",7,23,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0369",NA,"QEA-0182",NA
"y1_d094_XAX_QEA","QEA","XAX",7,24,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0369",NA,"QEA-0182",NA
"y1_d094_XAX_QEA","QEA","XAX",7,25,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0369",NA,"QEA-0182",NA
"y1_d094_XAX_QEA","QEA","XAX",8,26,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0263",NA,"QEA-0182",NA
"y1_d094_XAX_QEA","QEA","XAX",9,27,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0071",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",9,28,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0071",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",9,29,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0071",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,30,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,31,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,32,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,33,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,34,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,35,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",10,36,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1799",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",11,37,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1158","XAX-1799",NA,NA
"y1_d094_XAX_QEA","QEA","XAX",11,38,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1158","XAX-1799",NA,NA
"y1_d094_XAX_QEA","QEA","XAX",11,39,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1158","XAX-1799",NA,NA
"y1_d094_XAX_QEA","QEA","XAX",11,40,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1158",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",11,41,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1158",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",11,42,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1158",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",12,43,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1217","XAX-1158",NA,NA
"y1_d094_XAX_QEA","QEA","XAX",12,44,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1217",NA,"XAX-1158",NA
"y1_d094_XAX_QEA","QEA","XAX",12,45,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1217",NA,"XAX-1158",NA
"y1_d094_XAX_QEA","QEA","XAX",12,46,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1217",NA,"XAX-1158",NA
"y1_d094_XAX_QEA","QEA","XAX",12,47,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1217",NA,NA,"XAX-1158"
"y1_d094_XAX_QEA","QEA","XAX",12,48,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-1217",NA,NA,"XAX-1158"
"y1_d094_XAX_QEA","QEA","XAX",13,49,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2387",NA,"XAX-1217",NA
"y1_d094_XAX_QEA","QEA","XAX",14,50,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2586",NA,"XAX-1217",NA
"y1_d094_XAX_QEA","QEA","XAX",14,51,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2586",NA,"XAX-1217",NA
"y1_d094_XAX_QEA","QEA","XAX",14,52,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2586",NA,"XAX-1217",NA
"y1_d094_XAX_QEA","QEA","XAX",14,53,"top","QEA-0294","QEA-0071","QEA-0263","QEA-0201","QEA-0369","QEA-0027","QEA-0365","QEA-0182","QEA-0424","XAX-2586",NA,"XAX-1217",NA
"y1_d094_XAX_QEA","QEA","XAX",15,54,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0249",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",15,55,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0249",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",15,56,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0249",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",15,57,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0249",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",15,58,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0249",NA,NA,NA
"y1_d094_XAX_QEA","QEA","XAX",16,59,"bottom","XAX-1977","XAX-1967","XAX-1882","XAX-1217","XAX-1799","XAX-2586","XAX-2387","XAX-2378","XAX-1460","QEA-0424","QEA-0249",NA,NA
