"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d013_BVD_RZQ","RZQ","BVD",1,1,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1722",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",1,2,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1722",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",1,3,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1722",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",1,4,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1722",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",2,5,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1877",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",2,6,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1877",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",2,7,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1877",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,8,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,9,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,10,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,11,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,12,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,13,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",3,14,"top","RZQ-0158","RZQ-0006","RZQ-0333","RZQ-0275","RZQ-0040","RZQ-0355","RZQ-0409","RZQ-0231","RZQ-0346","BVD-1069",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",4,15,"bottom","BVD-2202","BVD-2292","BVD-2185","BVD-2177","BVD-1489","BVD-1069","BVD-1877","BVD-1474","BVD-1722","RZQ-0333",NA,NA,NA
"y2_d013_BVD_RZQ","RZQ","BVD",6,18,"bottom","BVD-2202","BVD-2292","BVD-2185","BVD-2177","BVD-1489","BVD-1069","BVD-1877","BVD-1474","BVD-1722","RZQ-0409",NA,"RZQ-0355",NA
