"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d021_DMS_RZQ","RZQ","DMS",11,1,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0346",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",11,2,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0346",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",11,3,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0346",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",12,4,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0169",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",12,5,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0169",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",12,6,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0169",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",12,7,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0169",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",12,8,"bottom","DMS-2419","DMS-1342","DMS-1249","DMS-1108","DMS-2354","DMS-1242","DMS-1197","DMS-1575","DMS-2214","RZQ-0169",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,9,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,10,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,11,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,12,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,13,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,14,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",13,15,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-2214",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",14,16,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-1249",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",14,17,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-1249",NA,NA,NA
"y2_d021_DMS_RZQ","RZQ","DMS",14,18,"top","RZQ-0267","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0143","RZQ-0275","RZQ-0346","DMS-1249",NA,NA,NA
