"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d017_GIS_RZQ","RZQ","GIS",1,1,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1420",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",1,2,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1420",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",1,3,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1420",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",1,4,"bottom","GIS-1598","GIS-1060","GIS-2008","GIS-2043","GIS-1176","GIS-1300","GIS-2221","GIS-1420","GIS-1035","RZQ-0347",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",1,4,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1420",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",1,5,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1420",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",2,6,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-2043",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",2,7,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-2043",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",2,8,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-2043",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",2,9,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-2043",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",3,10,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1035",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",3,11,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1035",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",3,12,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1035",NA,NA,NA
"y2_d017_GIS_RZQ","RZQ","GIS",3,13,"top","RZQ-0082","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0310","RZQ-0346","GIS-1035",NA,NA,NA
