"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d062_HCI_RZQ","RZQ","HCI",1,1,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-1255",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",1,2,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-1255",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",2,3,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2125",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",2,4,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2125",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",2,5,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2125",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",2,6,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2125",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",2,7,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2125",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",3,8,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2077",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",3,9,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2077",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",3,10,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2077",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",3,11,"top","RZQ-0339","RZQ-0239","RZQ-0381","RZQ-0347","RZQ-0258","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0214","HCI-2077",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",4,12,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0274",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",4,13,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0274",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",4,14,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0274",NA,NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",5,15,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0355","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",NA,16,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0355","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",5,17,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0355","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",6,18,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0333","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",NA,19,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0333","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",6,20,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0333","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",NA,21,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0333","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",6,22,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0333","RZQ-0274",NA,NA
"y1_d062_HCI_RZQ","RZQ","HCI",6,23,"bottom","HCI-1554","HCI-1497","HCI-1323","HCI-2125","HCI-2098","HCI-1491","HCI-2523","HCI-1255","HCI-1436","RZQ-0333","RZQ-0274",NA,NA
