"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d066_HKR_RZQ","RZQ","HKR",1,1,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1786",NA,NA,NA
"y2_d066_HKR_RZQ","RZQ","HKR",2,2,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1484",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",2,3,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1484",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",2,4,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1484",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",2,5,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1484",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",3,6,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1921",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",3,7,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1921",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",3,8,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1921",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,9,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,10,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,11,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,12,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,13,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,14,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",4,15,"top","RZQ-0325","RZQ-0006","RZQ-0040","RZQ-0415","RZQ-0347","RZQ-0355","RZQ-0279","RZQ-0310","RZQ-0346","HKR-1984",NA,"HKR-1786",NA
"y2_d066_HKR_RZQ","RZQ","HKR",5,16,"bottom","HKR-2522","HKR-1615","HKR-1484","HKR-1289","HKR-1856","HKR-1921","HKR-1872","HKR-1786","HKR-1590","RZQ-0347",NA,NA,NA
"y2_d066_HKR_RZQ","RZQ","HKR",5,17,"bottom","HKR-2522","HKR-1615","HKR-1484","HKR-1289","HKR-1856","HKR-1921","HKR-1872","HKR-1786","HKR-1590","RZQ-0347",NA,NA,NA
"y2_d066_HKR_RZQ","RZQ","HKR",5,18,"bottom","HKR-2522","HKR-1615","HKR-1484","HKR-1289","HKR-1856","HKR-1921","HKR-1872","HKR-1786","HKR-1590","RZQ-0347",NA,NA,NA
