"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d037_HMN_RZQ","RZQ","HMN",1,1,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1212",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",1,2,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1212",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",2,3,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1397",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",2,4,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1397",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",2,5,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1397",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",2,6,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1397",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",3,7,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1140",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",3,8,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1140",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",3,9,"top","RZQ-0351","RZQ-0239","RZQ-0381","RZQ-0355","RZQ-0214","RZQ-0388","RZQ-0333","RZQ-0274","RZQ-0014","HMN-1140",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",4,10,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0274",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",4,11,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0274",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",4,12,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0274",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",4,13,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0274",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",5,14,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0355",NA,"RZQ-0274",NA
"y1_d037_HMN_RZQ","RZQ","HMN",6,15,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0333",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,16,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,17,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,18,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,19,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,20,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,21,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",7,22,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0214",NA,NA,NA
"y1_d037_HMN_RZQ","RZQ","HMN",8,23,"bottom","HMN-1770","HMN-2390","HMN-1594","HMN-1397","HMN-1106","HMN-1883","HMN-1633","HMN-1226","HMN-1212","RZQ-0239","RZQ-0214",NA,NA
