"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d057.5_IAK_RZQ","RZQ","IAK",1,1,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-1196",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",1,2,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-1196",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",2,3,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-1920",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",2,4,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-1920",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",2,5,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-1920",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",2,6,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-1920",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",3,7,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-2490",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",3,8,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-2490",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",3,9,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-2490",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",3,10,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-2490",NA,NA,NA
"y2_d057.5_IAK_RZQ","RZQ","IAK",3,11,"top","RZQ-0119","RZQ-0318","RZQ-0222","RZQ-0415","RZQ-0040","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0346","IAK-2490",NA,NA,NA
