"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d057_IAK_RZQ","RZQ","IAK",1,1,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1196",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",1,2,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1196",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",1,3,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1196",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",1,4,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1196",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",1,5,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1196",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",1,6,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1196",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",2,7,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1920",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",2,8,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1920",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",2,9,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-1920",NA,NA,NA
"y2_d057_IAK_RZQ","RZQ","IAK",3,10,"top","RZQ-0292","RZQ-0006","RZQ-0222","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0279","RZQ-0143","RZQ-0231","IAK-2490",NA,NA,NA
