"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d030_IKJ_RZQ","RZQ","IKJ",1,1,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2180",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",1,2,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2180",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",2,3,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2078",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",2,4,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2078",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",2,5,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2078",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",2,6,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2078",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,7,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,8,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,9,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,10,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,11,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,12,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",3,13,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2524",NA,"IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",4,14,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2091","IKJ-2524","IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",4,15,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2091","IKJ-2524","IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",4,16,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-2091","IKJ-2524","IKJ-2078",NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",5,17,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-1852","IKJ-2091",NA,"IKJ-2524"
"y2_d030_IKJ_RZQ","RZQ","IKJ",5,18,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-1852","IKJ-2091",NA,"IKJ-2524"
"y2_d030_IKJ_RZQ","RZQ","IKJ",5,19,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-1852","IKJ-2091",NA,"IKJ-2524"
"y2_d030_IKJ_RZQ","RZQ","IKJ",5,20,"top","RZQ-0082","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0040","RZQ-0355","RZQ-0231","RZQ-0143","RZQ-0346","IKJ-1852","IKJ-2091",NA,"IKJ-2524"
"y2_d030_IKJ_RZQ","RZQ","IKJ",6,21,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0347",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",6,22,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0347",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",6,23,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0347",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",6,24,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0347",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",6,25,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0347",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",7,26,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0355",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",7,27,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0355",NA,NA,NA
"y2_d030_IKJ_RZQ","RZQ","IKJ",7,28,"bottom","IKJ-2198","IKJ-2091","IKJ-2126","IKJ-2252","IKJ-2218","IKJ-1852","IKJ-2524","IKJ-2078","IKJ-2099","RZQ-0355",NA,NA,NA
