"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d049_JZK_RZQ","RZQ","JZK",1,1,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-2557",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",1,2,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-2557",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",2,3,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1781",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",2,4,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1781",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",2,5,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1781",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",2,6,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1781",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",3,7,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1481",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",3,8,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1481",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",3,9,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1481",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",3,10,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1481",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",3,11,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1481",NA,NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",4,12,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1925","JZK-1481",NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",4,13,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1925","JZK-1481",NA,NA
"y1_d049_JZK_RZQ","RZQ","JZK",4,14,"top","RZQ-0291","RZQ-0169","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","JZK-1925","JZK-1481",NA,NA
