"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d063_KIR_RZQ","RZQ","KIR",1,1,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2527",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",1,2,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2527",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",1,3,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2527",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",2,4,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-1886",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",3,5,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-1912","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",3,6,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-1912","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",3,7,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-1912","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",4,8,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2355","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",4,9,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2355","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",4,10,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2355","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",4,11,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2355","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",4,12,"top","RZQ-0325","RZQ-0186","RZQ-0040","RZQ-0415","RZQ-0385","RZQ-0310","RZQ-0231","RZQ-0279","RZQ-0346","KIR-2355","KIR-1886",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",5,13,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0310",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",5,14,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0310",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",5,15,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0310",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",5,16,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0310",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",5,17,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0310",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",5,18,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0310",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",6,19,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0279",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",6,20,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0279",NA,NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",7,21,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0415","RZQ-0279",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",7,22,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0415","RZQ-0279",NA,NA
"y2_d063_KIR_RZQ","RZQ","KIR",8,23,"bottom","KIR-1951","KIR-2427","KIR-1250","KIR-1243","KIR-2355","KIR-1477","KIR-1886","KIR-2527","KIR-1636","RZQ-0346",NA,"RZQ-0415",NA
