"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d058_KJH_RZQ","RZQ","KJH",1,1,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-2558",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",1,2,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-2558",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",2,3,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-1629",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",2,4,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-1629",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",3,5,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-1482",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",3,6,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-1482",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",3,7,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-1482",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",3,8,"top","RZQ-0368","RZQ-0239","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0274","RZQ-0400","KJH-1482",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",4,9,"bottom","KJH-1051","KJH-1375","KJH-2452","KJH-2558","KJH-1215","KJH-1629","KJH-1482","KJH-1782","KJH-1357","RZQ-0274",NA,NA,NA
"y1_d058_KJH_RZQ","RZQ","KJH",4,10,"bottom","KJH-1051","KJH-1375","KJH-2452","KJH-2558","KJH-1215","KJH-1629","KJH-1482","KJH-1782","KJH-1357","RZQ-0274",NA,NA,NA
