"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d008_MCJ_RZQ","RZQ","MCJ",NA,65,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1112","MCJ-1010",NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",NA,68,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1112","MCJ-1010",NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",NA,237,"top","RZQ-0314","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",57,253,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1009",NA,"MCJ-2450",NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",57,254,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0417",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",57,255,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0417",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",57,256,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0417",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",57,257,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0417",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",57,258,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0417",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",58,259,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0355",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",58,260,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0355",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",58,261,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0355",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",58,262,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0355",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",58,263,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0355",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",58,264,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0355",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",59,265,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0059",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",59,266,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0059",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",59,267,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0059",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",59,268,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0059",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",60,269,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0059",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,270,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0059",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,271,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0381","RZQ-0059",NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,272,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,273,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,274,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,275,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,276,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",61,277,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",62,278,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",63,279,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",63,280,"bottom","MCJ-2115","MCJ-1370","MCJ-2450","MCJ-2556","MCJ-1214","MCJ-1112","MCJ-1889","MCJ-2358","MCJ-1010","RZQ-0214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",64,281,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",64,282,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",64,283,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",65,284,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1214",NA,NA,NA
"y1_d008_MCJ_RZQ","RZQ","MCJ",65,285,"top","RZQ-0237","RZQ-0239","RZQ-0381","RZQ-0258","RZQ-0214","RZQ-0355","RZQ-0059","RZQ-0014","RZQ-0417","MCJ-1214",NA,NA,NA
