"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d047_MHY_RZQ","RZQ","MHY",1,1,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1634",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",1,2,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1634",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",1,3,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1634",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",2,4,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1398",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",2,5,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1398",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",2,6,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1398",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",2,7,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1398",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",2,8,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1398",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,9,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,10,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,11,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,12,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,13,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,14,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",3,15,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1021",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",4,16,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1238","MHY-1021",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",4,17,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1238","MHY-1021",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",4,18,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1238","MHY-1021",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",4,19,"top","RZQ-0246","RZQ-0038","RZQ-0381","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0333","RZQ-0274","RZQ-0014","MHY-1238","MHY-1021",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",5,20,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0274",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",5,21,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0274",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",5,22,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0274",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",5,23,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0274",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",5,24,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0274",NA,NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",6,25,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0038","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",6,26,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0038","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",NA,27,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0038","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",6,28,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0038","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",6,29,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0038","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",7,30,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0355","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",7,31,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0355","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",7,32,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0355","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",NA,33,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0355","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",7,34,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0355","RZQ-0274",NA,NA
"y1_d047_MHY_RZQ","RZQ","MHY",7,35,"bottom","MHY-1771","MHY-1238","MHY-1331","MHY-1107","MHY-2352","MHY-1884","MHY-1398","MHY-1021","MHY-1634","RZQ-0355","RZQ-0274",NA,NA
