"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d075_PHS_RZQ","RZQ","PHS",1,1,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1784",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",1,2,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1784",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",1,3,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1784",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",1,4,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1784",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",2,5,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1928",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",3,6,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1359",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",3,7,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1359",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",3,8,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1359",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",3,9,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1359",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",3,10,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1359",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",4,11,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1377",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",4,12,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1377",NA,NA,NA
"y1_d075_PHS_RZQ","RZQ","PHS",4,13,"top","RZQ-0339","RZQ-0183","RZQ-0333","RZQ-0347","RZQ-0214","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0401","PHS-1377",NA,NA,NA
