"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d080_PVJ_RZQ","RZQ","PVJ",1,1,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1588",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",1,2,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1588",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",1,3,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1588",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",1,4,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1588",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,5,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,6,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,7,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,8,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,9,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,10,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",2,11,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2316",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",3,12,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1659",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",3,13,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1659",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",3,14,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1659",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",NA,15,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0355",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",4,16,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0355",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",4,17,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0355",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",4,18,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0355",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",4,19,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0355",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",5,21,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0333",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",5,22,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0333",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",5,23,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0333",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",5,24,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0333",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",5,25,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0333",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",6,26,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0274",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",6,27,"bottom","PVJ-2365","PVJ-1432","PVJ-1136","PVJ-1049","PVJ-2075","PVJ-1588","PVJ-2157","PVJ-2316","PVJ-1659","RZQ-0274",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",7,28,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2157",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",7,29,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2157",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",7,30,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2157",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",7,31,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2157",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",7,32,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-2157",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",8,33,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1136",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",8,34,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1136",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",8,35,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1136",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",9,36,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1049",NA,NA,NA
"y1_d080_PVJ_RZQ","RZQ","PVJ",9,37,"top","RZQ-0339","RZQ-0183","RZQ-0214","RZQ-0258","RZQ-0347","RZQ-0355","RZQ-0014","RZQ-0274","RZQ-0233","PVJ-1049",NA,NA,NA
