"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d094_QZE_RZQ","RZQ","QZE",1,1,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-1638",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",1,2,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-1638",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",1,3,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-1638",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",1,4,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-1638",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",1,5,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-1638",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",1,6,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-1638",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",2,7,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-2394",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",2,8,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-2394",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",2,9,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-2394",NA,NA,NA
"y2_d094_QZE_RZQ","RZQ","QZE",2,10,"top","RZQ-0324","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0409","RZQ-0279","QZE-2394",NA,NA,NA
