"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d068_RDO_RZQ","RZQ","RDO",1,1,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-1507",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",1,2,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-1507",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",1,3,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-1507",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",1,4,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-1507",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",1,5,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-1507",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",1,6,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-1507",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",2,7,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2171","RDO-1507",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",2,8,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2171","RDO-1507",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",2,9,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2171","RDO-1507",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",3,10,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2132","RDO-1507",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",3,11,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2132","RDO-1507",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",3,12,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2132","RDO-1507",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",4,13,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0347",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",4,14,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0347",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",5,15,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0317","RZQ-0347",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",5,16,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0317","RZQ-0347",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",5,17,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0317","RZQ-0347",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",5,18,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0317","RZQ-0347",NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",6,19,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0415",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",6,20,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0415",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",7,21,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0040",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",7,22,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0040",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",7,23,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0040",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",8,24,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0346",NA,"RZQ-0040",NA
"y2_d068_RDO_RZQ","RZQ","RDO",8,25,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0346",NA,"RZQ-0040",NA
"y2_d068_RDO_RZQ","RZQ","RDO",8,26,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0346",NA,"RZQ-0040",NA
"y2_d068_RDO_RZQ","RZQ","RDO",9,27,"bottom","RDO-1700","RDO-2022","RDO-2009","RDO-1995","RDO-2132","RDO-1507","RDO-1421","RDO-2171","RDO-1818","RZQ-0279",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",10,28,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2222",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",10,29,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2222",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",10,30,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2222",NA,NA,NA
"y2_d068_RDO_RZQ","RZQ","RDO",10,31,"top","RZQ-0292","RZQ-0318","RZQ-0040","RZQ-0347","RZQ-0275","RZQ-0317","RZQ-0415","RZQ-0310","RZQ-0279","RDO-2222",NA,NA,NA
