"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d008_TSZ_RZQ","RZQ","TSZ",1,1,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-1892",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",2,2,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2189",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",2,3,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2189",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",2,4,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2189",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",2,5,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2189",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,6,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,7,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,8,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,9,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,10,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,11,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",3,12,"top","RZQ-0158","RZQ-0169","RZQ-0333","RZQ-0275","RZQ-0326","RZQ-0355","RZQ-0409","RZQ-0310","RZQ-0231","TSZ-2241",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",4,13,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0310",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",5,14,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0333",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",5,15,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0333",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",5,16,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0333",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",5,17,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0333",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",5,18,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0333",NA,NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",6,19,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0355","RZQ-0333",NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",6,20,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0355","RZQ-0333",NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",6,21,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0355","RZQ-0333",NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",6,22,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0355","RZQ-0333",NA,NA
"y2_d008_TSZ_RZQ","RZQ","TSZ",6,23,"bottom","TSZ-2118","TSZ-2051","TSZ-1120","TSZ-2189","TSZ-1991","TSZ-1361","TSZ-1278","TSZ-1892","TSZ-2241","RZQ-0355","RZQ-0333",NA,NA
