"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d065_UEX_RZQ","RZQ","UEX",1,4,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2569",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",2,5,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2569",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",2,6,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2569",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",3,7,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2569",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",3,8,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-1111",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",3,9,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-1111",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",3,10,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2518","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",4,11,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2518","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",4,12,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2518","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",4,13,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2518","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",4,14,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2239","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",5,15,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2239","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",5,16,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2239","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",5,17,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2239","UEX-1111",NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",5,18,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0258",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",6,19,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0258",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",6,20,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0258",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",6,21,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0258",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",6,22,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0003",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",7,23,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0003",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",7,24,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0003",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",7,25,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0003",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",8,26,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0233",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",8,27,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0233",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",8,28,"bottom","UEX-2461","UEX-2060","UEX-2518","UEX-2569","UEX-1422","UEX-1111","UEX-2239","UEX-2073","UEX-2031","RZQ-0233",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",8,29,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2209",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",9,30,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2209",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",9,31,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2209",NA,NA,NA
"y1_d065_UEX_RZQ","RZQ","UEX",9,32,"top","RZQ-0351","RZQ-0169","RZQ-0003","RZQ-0233","RZQ-0347","RZQ-0258","RZQ-0059","RZQ-0274","RZQ-0214","UEX-2209",NA,NA,NA
