"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d038_UKI_RZQ","RZQ","UKI",1,1,"top","RZQ-0416","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-1641",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,1,"bottom","UKI-1536","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0231",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,1,"bottom","UKI-1536","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0143",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,1,"top","RZQ-0416","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2443","UKI-1940","UKI-1388",NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,1,"top","RZQ-0416","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-1134","UKI-2288",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,1,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2443",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,2,"top","RZQ-0416","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2443","UKI-1940","UKI-1388",NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,2,"bottom","UKI-1536","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0231",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,2,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2443",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,2,"bottom","UKI-1536","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0143",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,3,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2443",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",1,4,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2443",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",2,5,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2288",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",2,6,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2288",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",2,7,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-2288",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",3,8,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-1839","UKI-2288",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",3,9,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-1839","UKI-2288",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",4,10,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0347",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",4,11,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0347",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",4,12,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0347",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",4,13,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0347",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",4,14,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0347",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",5,15,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0231",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",5,16,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0231",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",5,17,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0231",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",5,18,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839",NA,"RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",6,19,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0333","RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",6,20,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0333","RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",6,21,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0333","RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",6,22,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0333","RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",6,23,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0333","RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",6,24,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0333","RZQ-0231",NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",7,25,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0355",NA,"RZQ-0333",NA
"y2_d038_UKI_RZQ","RZQ","UKI",7,26,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0355",NA,"RZQ-0333",NA
"y2_d038_UKI_RZQ","RZQ","UKI",7,27,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0355",NA,"RZQ-0333",NA
"y2_d038_UKI_RZQ","RZQ","UKI",7,28,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0355",NA,"RZQ-0333",NA
"y2_d038_UKI_RZQ","RZQ","UKI",7,29,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0355",NA,"RZQ-0333",NA
"y2_d038_UKI_RZQ","RZQ","UKI",7,30,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0355",NA,"RZQ-0333",NA
"y2_d038_UKI_RZQ","RZQ","UKI",8,31,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0006",NA,"RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",8,32,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0006",NA,"RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",8,33,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0006",NA,"RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",8,34,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0006",NA,"RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",8,35,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0006",NA,"RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",8,36,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0006",NA,"RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",9,37,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0143","RZQ-0006","RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",9,38,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0143","RZQ-0006","RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",9,39,"bottom","UKI-2137","UKI-1505","UKI-1641","UKI-1940","UKI-1388","UKI-2288","UKI-1906","UKI-2443","UKI-1839","RZQ-0143","RZQ-0006","RZQ-0333","RZQ-0231"
"y2_d038_UKI_RZQ","RZQ","UKI",10,40,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-1134",NA,NA,NA
"y2_d038_UKI_RZQ","RZQ","UKI",10,41,"top","RZQ-0267","RZQ-0006","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0231","UKI-1134",NA,NA,NA
